Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2025-02-13,35.060001,44,34.99000,36,369091
1.0,2025-02-14,37,38.25,35.50500,36.65000,242680
2.0,2025-02-18,40.53000,47.15000,39,47.15000,444500
3.0,2025-02-19,46.51000,48.5,45.5,46,220700
4.0,2025-02-20,48.98000,49.49000,46.71000,48.26000,446200
5.0,2025-02-21,48.99000,50.69000,48,50.37000,1252100
6.0,2025-02-24,52,53,46.21000,48.60000,33848500
7.0,2025-02-25,48.30000,55.0099983,47.81000,48.16000,8198900
8.0,2025-02-26,46.15000,49.91000,45.30000,46.58000,8389000
9.0,2025-02-27,46.040001,47.87000,41.58000,45.16000,9676100
10.0,2025-02-28,45.23000,48.70000,43.75,46.85000,7713800
11.0,2025-03-03,48.49000,50.88000,47.60500,50.31000,4813000
12.0,2025-03-04,46.69000,50.099998,45.097000,48.69000,6074700
13.0,2025-03-05,47.60000,49.39800,46.5,48.47000,5071800
14.0,2025-03-06,47.41000,49.060001,45.24000,46.5,4157300
15.0,2025-03-07,49.20000,51.13000,47.16000,51,7825500
16.0,2025-03-10,50.49000,53.67000,49.55000,53,5223800
17.0,2025-03-11,51.84000,53.19000,49.82000,52.16000,3153400
18.0,2025-03-12,53,53.099998,50.38000,50.44000,2177500
19.0,2025-03-13,50,50.87000,47.86000,48.44000,3547400
20.0,2025-03-14,49.43000,54.94000,49.43000,54.82000,4847600
21.0,2025-03-17,54.80000,58.36000,54.74500,55.65000,2930700
22.0,2025-03-18,55.14000,57.89000,54.57000,56.42000,2587300
23.0,2025-03-19,56.30000,57.60500,55.67000,56.33000,2520700
24.0,2025-03-20,56.51000,57.17000,54.92000,56.21000,2701900
25.0,2025-03-21,55.099998,55.45000,51.91500,53.96000,6372200
26.0,2025-03-24,54.61000,55.68500,51.84000,52.99000,3562800
27.0,2025-03-25,52.13000,53.18000,51.76000,52.20000,3079000
28.0,2025-03-26,53.53000,53.70000,51.98000,52.62000,1242400
29.0,2025-03-27,51.95000,54.24000,51.71000,52.88000,1618100
30.0,2025-03-28,52.21000,52.89000,48.45500,48.97000,3987300
31.0,2025-03-31,47.41000,48.39500,47.020000,47.61000,2113400
32.0,2025-04-01,47.55000,49.36000,46.58000,48.11000,2115600
33.0,2025-04-02,46.92000,48.71000,46.51000,47.67000,1725300
34.0,2025-04-03,44.80000,44.80000,37.55000,38.26000,7372000
35.0,2025-04-04,35.72000,35.87000,28.36000,30.11000,11428600
36.0,2025-04-07,29.22000,32.98000,27.88500,31.48000,6238600
37.0,2025-04-08,33,35.84000,31.65500,32.35000,5979600
38.0,2025-04-09,31.92000,39.65000,31.26000,36.58000,5601600
39.0,2025-04-10,34.60000,35.029999,30.51000,31.075001,4153400
40.0,2025-04-11,30.56000,32.049999,28.27000,31.97000,4856000
41.0,2025-04-14,33.75,36.17000,32.48000,33.55000,4102300
42.0,2025-04-15,33.30000,34.56000,32.89000,33.23000,1936800
43.0,2025-04-16,32.30000,33.12000,30.75,32.029999,2321000
44.0,2025-04-17,31.75,32.66000,30.39000,31.29000,2057200
45.0,2025-04-21,31.070000,31.070000,28.94000,29.81000,2579400
46.0,2025-04-22,30.26000,31.12000,29.31500,29.62000,2883700
47.0,2025-04-23,31.98500,32.77800,30.20000,30.36000,2750200
48.0,2025-04-24,30.81000,32.98000,30.31000,32.29000,2590500
49.0,2025-04-25,32.26000,33.37000,31.60000,32.85000,1322100
50.0,2025-04-28,32.63000,33,31.66000,32.27000,1421000
51.0,2025-04-29,31.39000,33.040001,31.39000,32.94000,1385900
52.0,2025-04-30,31.84000,32.47000,31.010000,32.11000,2322100
53.0,2025-05-01,32.48000,34.19000,32.48000,32.59000,1910200
54.0,2025-05-02,33.11000,35.41000,33.049999,34.40000,2193700
55.0,2025-05-05,33.83000,35.23000,33.52500,34.61000,1993800
56.0,2025-05-06,34.020000,34.43000,33.46000,33.83000,1707600
57.0,2025-05-07,34,35.56000,33.37800,34.97000,3640000
58.0,2025-05-08,34.97000,37.76000,33.13000,36.66000,4969000
59.0,2025-05-09,37.96000,38.79000,37.28000,37.74000,2039200
60.0,2025-05-12,41.14000,42.24000,40,41.27000,5374400
61.0,2025-05-13,41.85000,43.80000,41.30000,42,2186700
62.0,2025-05-14,42,43.43000,41.0099983,41.93000,1828400
