DateTime,Open,High,Low,Close,Volume
2021-06-01,21.9735,22.9,20.43,22.65,9159412
2021-06-02,23.66,24.95,22.65,23.21,14678906
2021-06-03,22.84,23.5,22.35,22.68,5878965
2021-06-04,22.8707,22.8707,20.0,20.82,13434192
2021-06-07,20.7032,21.466,20.31,21.21,4755359
2021-06-08,21.02,24.2,20.65,23.89,11306944
2021-06-09,24.25,24.46,22.23,22.71,9407273
2021-06-10,22.83,23.4,21.43,23.02,6496517
2021-06-11,23.1,23.3,22.1583,22.4,2769374
2021-06-14,22.25,22.58,21.39,21.82,4099761
2021-06-15,21.59,21.68,20.69,20.8,3531161
2021-06-16,21.21,22.64,21.1,21.83,9596000
2021-06-17,22.0,23.27,21.4,22.7,7359620
2021-06-18,22.72,23.68,22.22,23.04,5991468
2021-06-21,22.82,23.2,22.22,22.51,3590288
2021-06-22,22.66,22.82,21.09,21.2,6586293
2021-06-23,21.33,21.7,20.9,21.4,5328526
2021-06-24,21.52,21.65,20.81,20.87,6475128
2021-06-25,19.77,19.8999,18.5,18.5,36679200
2021-06-28,18.17,19.97,17.65,19.26,56820953
2021-06-29,20.52,20.99,18.64,18.87,57158301
2021-06-30,19.326,19.8,19.0,19.17,27479590
2021-07-01,19.23,19.24,18.16,18.25,19956831
2021-07-02,18.275,18.58,17.75,18.08,24439099
2021-07-06,18.085,18.085,17.22,17.35,20245518
2021-07-07,17.56,17.58,16.8,16.94,17529988
2021-07-08,16.3,16.8,16.1,16.62,18443672
2021-07-09,16.92,17.3,16.43,16.45,17662998
2021-07-12,16.5102,16.84,16.22,16.42,14070972
2021-07-13,16.38,16.62,15.8,16.0,16623011
2021-07-14,16.049,16.2148,15.37,15.52,19069006
2021-07-15,15.6203,16.42,15.45,15.99,16185950
2021-07-16,16.1,16.19,15.22,15.3,14214582
2021-07-19,15.0,15.53,14.87,15.17,14780944
2021-07-20,15.18,15.29,14.9392,15.06,11683025
2021-07-21,15.14,16.65,15.1041,16.56,27892403
2021-07-22,16.49,16.6,15.71,16.05,18833283
2021-07-23,15.89,16.049,15.4401,15.7,10369990
2021-07-26,15.76,16.09,15.48,15.51,8994913
2021-07-27,15.49,15.5,14.72,14.92,16735407
2021-07-28,15.12,15.479,15.08,15.37,10131615
2021-07-29,15.8748,16.24,15.51,15.6,12748306
2021-07-30,15.355,15.79,15.35,15.44,6653691
2021-08-02,15.58,16.32,15.41,15.73,15097636
2021-08-03,15.77,16.0494,15.01,15.11,16166804
2021-08-04,15.23,16.58,15.2,16.39,25718482
2021-08-05,16.605,16.73,15.88,16.06,14501528
2021-08-06,16.06,16.9399,16.06,16.71,13993713
2021-08-09,16.99,17.32,16.56,16.91,15571348
2021-08-10,17.02,17.27,16.56,16.99,12830221
2021-08-11,17.16,17.27,16.515,16.9,17104651
2021-08-12,16.97,17.52,16.74,17.46,36817117
2021-08-13,15.35,15.53,14.91,14.99,59983497
2021-08-16,15.005,15.14,14.18,14.29,26227173
2021-08-17,14.08,14.7,13.56,13.75,31924957
2021-08-18,13.98,14.58,13.85,14.22,20754545
2021-08-19,13.99,14.12,13.77,13.82,15576723
2021-08-20,13.98,14.27,13.9,14.04,17617968
2021-08-23,14.265,14.5,14.22,14.43,13277123
2021-08-24,14.48,14.93,14.47,14.76,13649869
2021-08-25,14.8,15.08,14.51,14.85,13785302
2021-08-26,14.7631,14.79,14.2,14.36,16743847
2021-08-27,14.31,14.41,14.04,14.04,19756406
2021-08-30,14.1789,14.3796,14.0105,14.19,15445674
2021-08-31,14.18,14.25,13.97,14.18,14530694
2021-09-01,14.1432,14.69,14.11,14.57,16856454
2021-09-02,14.6,15.2,14.4,15.06,19577967
2021-09-03,15.02,15.53,14.92,15.16,18898034
2021-09-07,15.5,16.13,15.46,15.84,22137180
2021-09-08,15.81,16.006,15.135,15.47,15621429
2021-09-09,15.31,15.84,15.26,15.69,18395844
2021-09-10,15.77,15.91,15.23,15.29,17029524
2021-09-13,15.33,15.39,14.67,15.01,21090041
2021-09-14,15.0219,15.33,14.38,14.5,25594112
2021-09-15,14.84,15.5,14.6308,15.45,35734090
2021-09-16,15.4712,15.66,15.23,15.5,24121286
2021-09-17,15.5197,15.58,15.06,15.09,55126327
2021-09-20,14.58,14.91,14.42,14.57,27954604
2021-09-21,14.62,15.28,14.56,15.17,23601545
2021-09-22,15.86,17.085,15.61,16.84,55383320
2021-09-23,17.2,17.35,16.67,17.14,29369467
2021-09-24,16.86,17.79,16.62,17.64,22922963
2021-09-27,17.66,18.08,16.85,17.7,35517597
2021-09-28,17.4,17.67,16.795,17.04,25569467
2021-09-29,16.35,17.17,16.01,16.01,38323164
2021-09-30,15.9,16.06,15.3,15.88,39462082
2021-10-01,15.88,16.49,15.75,16.45,18850301
2021-10-04,16.29,16.68,15.8801,16.09,21849738
2021-10-05,16.145,16.76,16.08,16.25,13941176
2021-10-06,16.0,16.64,15.92,16.62,11896359
2021-10-07,16.9365,17.09,16.34,16.4,15267783
2021-10-08,16.5271,16.65,16.17,16.21,11328487
2021-10-11,16.9,18.51,16.83,18.39,69669569
2021-10-12,18.17,19.02,17.84,18.97,47239712
2021-10-13,19.0,19.31,18.49,18.92,31335891
2021-10-14,19.8,19.81,18.945,19.62,33917700
2021-10-15,19.56,19.86,19.32,19.38,22190294
2021-10-18,19.18,21.0,19.12,20.85,48538220
2021-10-19,21.04,21.08,20.185,20.22,26292179
2021-10-20,20.365,21.19,19.87,21.05,25757098
2021-10-21,20.89,21.775,20.765,20.99,24771685
2021-10-22,20.86,21.06,20.2,20.58,18994501
2021-10-25,20.62,21.08,20.1,20.69,15053118
2021-10-26,20.945,20.97,19.46,19.96,26725452
2021-10-27,20.0,20.48,19.14,19.25,17585735
2021-10-28,19.555,20.2,19.48,19.91,15070737
2021-10-29,19.8,20.16,19.69,20.09,11471990
2021-11-01,20.53,22.81,20.28,22.62,52780203
2021-11-02,22.67,22.93,21.6,22.68,35482291
2021-11-03,22.67,23.63,22.44,22.96,26468770
2021-11-04,23.18,23.55,22.83,23.29,18496827
2021-11-05,22.89,23.2189,22.24,22.57,19635293
2021-11-08,22.63,23.07,22.445,22.74,16884909
2021-11-09,23.14,23.25,21.61,22.14,24572965
2021-11-10,21.14,21.85,19.85,20.42,46108421
2021-11-11,23.99,24.65,22.6,22.97,72680129
2021-11-12,23.17,23.6,22.17,22.76,29275453
2021-11-15,22.975,24.12,22.75,22.92,30384268
2021-11-16,22.6,22.63,21.42,21.67,41386826
2021-11-17,21.85,22.04,21.025,21.12,18998311
2021-11-18,21.2,21.32,20.2,20.57,25447516
2021-11-19,20.11,21.1,19.94,20.37,25321177
2021-11-22,20.52,20.6,18.32,18.75,39765950
2021-11-23,18.5342,18.655,17.38,17.81,31341659
2021-11-24,17.45,18.58,17.351,18.33,28778552
2021-11-26,17.875,18.32,17.8,18.21,13253059
2021-11-29,18.58,18.69,17.87,18.43,23366894
2021-11-30,18.25,18.54,17.13,17.2,67190100
2021-12-01,17.4122,17.91,16.23,16.39,34620746
2021-12-02,16.41,16.625,15.96,16.43,27033830
2021-12-03,16.43,16.44,14.62,15.19,64350690
2021-12-06,15.06,15.84,14.5,15.72,34134776
2021-12-07,16.14,16.72,16.12,16.62,30846576
2021-12-08,16.79,17.165,16.25,16.94,25262614
2021-12-09,16.66,16.91,15.55,15.66,32398875
2021-12-10,15.79,15.87,14.87,15.01,41344197
2021-12-13,14.89,15.25,14.02,14.58,40507489
2021-12-14,14.27,14.72,14.16,14.48,26707766
2021-12-15,14.44,15.28,14.03,15.16,33540357
2021-12-16,15.356,15.44,14.18,14.27,43017956
2021-12-17,14.08,14.77,13.66,14.65,44408693
2021-12-20,14.48,15.21,14.28,14.59,31658626
2021-12-21,14.87,15.17,14.72,14.97,27695629
2021-12-22,14.86,15.37,14.73,14.99,24332110
