DateTime,Open,High,Low,Close,Volume
2022-04-29,8.49,8.49,5.75,6.5,100600
2022-05-02,12.2,12.38,8.04,10.95,17842700
2022-05-03,15.92,18.14,12.45,12.62,28541200
2022-05-04,10.93,14.9,10.54,14.51,4531600
2022-05-05,14.75,16.88,13.86,14.98,3599000
2022-05-06,14.34,15.41,12.56,13.47,2212500
2022-05-09,13.52,14.08,10.11,10.35,992100
2022-05-10,10.46,11.73,8.88,8.94,634800
2022-05-11,8.36,9.0,7.01,7.19,561900
2022-05-12,6.3,6.89,5.33,6.62,1085700
2022-05-13,6.36,7.255,6.36,6.79,582400
2022-05-16,6.75,7.18,5.86,6.1,489900
2022-05-17,7.02,7.15,6.01,6.22,1359200
2022-05-18,6.06,6.27,5.15,5.19,642600
2022-05-19,5.23,5.33,4.81,4.86,610700
2022-05-20,4.75,5.05,4.34,4.79,778800
2022-05-23,4.8,5.36,4.51,5.14,552800
2022-05-24,5.1,5.7,4.82,5.45,570800
2022-05-25,5.59,6.06,5.3,5.95,477900
2022-05-26,5.94,6.8,5.88,6.52,415000
2022-05-27,6.66,8.0,6.51,7.91,687400
2022-05-31,8.0,8.1,7.0,7.68,605100
2022-06-01,7.53,8.73,7.211,8.57,977000
2022-06-02,8.45,8.45,7.342,7.95,783900
2022-06-03,7.73,8.3,7.69,7.94,863000
2022-06-06,7.95,8.12,4.1,4.1,3144000
2022-06-07,4.44,4.48,3.81,4.0,1677100
2022-06-08,4.0,4.335,3.9,4.18,1080300
2022-06-09,4.78,5.24,4.13,4.2,2956500
2022-06-10,4.06,4.12,3.527,3.62,1274400
2022-06-13,3.4,3.58,3.12,3.2,782700
2022-06-14,3.24,3.32,2.89,2.93,591300
2022-06-15,2.92,3.12,2.64,2.84,861000
2022-06-16,2.74,2.74,2.55,2.67,703400
2022-06-17,2.67,5.07,2.64,4.0,23696200
2022-06-21,4.07,4.07,3.615,3.75,2224700
2022-06-22,3.74,3.84,3.58,3.59,801400
2022-06-23,3.57,3.6,3.3,3.45,467100
2022-06-24,3.44,3.59,3.15,3.2,454800
2022-06-27,3.41,3.41,2.94,2.94,519600
2022-06-28,2.93,3.2,2.92,2.95,571600
2022-06-29,2.99,3.028,2.65,2.715,421100
2022-06-30,2.82,2.855,2.66,2.68,439900
2022-07-01,2.58,2.67,2.4,2.59,532500
2022-07-05,2.57,3.1,2.5,3.07,622400
2022-07-06,3.1,3.1,2.88,3.03,196500
2022-07-07,2.95,3.14,2.76,3.14,317700
2022-07-08,3.09,3.14,2.93,3.1,174400
2022-07-11,3.02,3.43,2.86,3.25,723800
2022-07-12,3.28,3.5,2.96,3.5,532200
2022-07-13,3.24,3.6,3.11,3.37,241600
2022-07-14,3.27,3.49,3.022,3.23,226500
2022-07-15,3.22,3.69,3.21,3.52,436800
2022-07-18,3.57,3.8,3.32,3.63,617500
2022-07-19,3.65,3.72,3.46,3.68,308400
2022-07-20,3.69,4.25,3.68,4.25,506800
2022-07-21,4.16,4.53,4.04,4.17,392800
2022-07-22,4.13,4.195,3.43,3.73,458300
2022-07-25,3.73,4.16,3.58,4.1,341600
2022-07-26,4.05,4.05,3.53,3.6,179900
2022-07-27,3.62,3.88,3.61,3.79,220700
2022-07-28,3.71,3.71,3.45,3.69,177100
2022-07-29,3.65,3.805,3.48,3.5,241200
2022-08-01,3.46,3.75,3.32,3.65,188500
2022-08-02,3.65,3.93,3.56,3.93,288700
2022-08-03,3.84,3.95,3.53,3.8,257200
2022-08-04,3.78,3.8,3.56,3.7,136600
2022-08-05,3.69,3.81,3.55,3.77,143600
2022-08-08,3.76,3.805,3.47,3.51,232600
2022-08-09,3.51,3.51,3.15,3.21,284700
2022-08-10,3.22,3.57,3.182,3.57,313500
2022-08-11,3.6,3.77,3.23,3.57,480100
2022-08-12,3.59,3.76,3.42,3.66,334600
2022-08-15,3.62,3.75,3.421,3.75,231000
2022-08-16,3.74,3.74,3.541,3.68,273000
2022-08-17,3.62,3.644,3.42,3.42,114000
2022-08-18,3.37,3.49,3.31,3.36,224000
2022-08-19,3.31,3.44,3.23,3.23,160900
2022-08-22,3.15,3.319,2.85,2.855,277500
2022-08-23,2.96,3.05,2.92,2.965,80200
2022-08-24,3.11,3.135,2.87,3.01,133500
2022-08-25,3.05,3.17,2.97,3.15,128400
2022-08-26,3.12,3.12,2.95,2.95,122300
2022-08-29,2.88,2.94,2.8,2.86,127800
2022-08-30,2.95,3.03,2.83,2.88,122600
2022-08-31,2.92,2.99,2.81,2.85,153100
2022-09-01,2.94,3.43,2.8,3.2,389000
2022-09-02,3.26,3.38,3.11,3.31,164900
2022-09-06,3.17,3.265,2.87,2.91,189700
2022-09-07,2.9,3.05,2.85,3.01,88600
