DateTime,Open,High,Low,Close,Volume
2017-10-02,203.0,204.0,201.0,201.6,1825
2017-10-03,201.82,202.0,201.58,202.0,665
2017-10-04,202.0,203.0,201.86,202.2,2780
2017-10-05,203.0,203.0,202.0,202.0,10625
2017-10-06,202.4,203.0,202.1,202.64,7230
2017-10-09,203.0,217.0,202.4,202.4,2470
2017-10-10,202.72,202.72,202.0,202.2,6410
2017-10-11,202.2,202.4,201.6,201.8,21130
2017-10-12,203.0,203.0,202.0,202.4,3995
2017-10-13,202.8,203.0,202.2,202.4,9950
2017-10-16,204.0,204.0,202.6,202.6,960
2017-10-17,204.0,204.0,202.6,203.4,1345
2017-10-18,203.8,204.0,203.2,203.4,7305
2017-10-19,204.0,204.0,203.0,203.0,1655
2017-10-20,204.0,205.8,203.4,203.6,1975
2017-10-23,205.0,205.0,203.4,204.6,2960
2017-10-24,205.0,205.0,204.0,204.8,4870
2017-10-25,205.0,205.0,204.0,204.5,2555
2017-10-26,205.0,205.0,204.0,204.54,1445
2017-10-27,206.0,206.0,204.0,205.0,3930
2017-10-30,205.6,205.6,204.2,204.32,450
2017-10-31,204.2,205.0,204.0,204.84,3190
2017-11-01,204.2,205.6,204.2,205.38,1580
2017-11-02,205.6,205.6,204.6,205.0,3390
2017-11-03,204.6,205.0,204.4,205.0,5280
2017-11-06,205.0,205.4,204.0,204.98,620
2017-11-07,204.26,205.0,204.2,205.0,1535
2017-11-08,204.6,205.0,204.0,205.0,1080
2017-11-09,205.0,205.0,204.2,204.2,4225
2017-11-10,204.8,204.8,204.0,204.4,3950
2017-11-13,204.6,204.6,204.0,204.58,1355
2017-11-14,204.8,204.8,203.8,204.0,11360
2017-11-15,203.8,203.8,201.78,202.0,3675
2017-11-16,202.58,203.0,201.4,201.4,1025
2017-11-17,201.7,201.7,199.4,200.7,22110
2017-11-20,201.4,201.7,199.4,199.64,2355
2017-11-21,200.6,201.0,199.98,200.0,1775
2017-11-22,200.0,201.3,200.0,200.0,570
2017-11-24,201.6,201.6,199.8,200.5,2545
2017-11-27,201.2,202.0,199.6,200.4,6960
2017-11-28,201.2,201.2,198.0,200.0,18845
2017-11-29,199.8,199.92,198.0,199.4,11345
2017-11-30,203.0,203.0,199.0,199.0,2520
2017-12-01,200.0,200.0,198.6,198.8,2655
2017-12-04,198.8,200.0,197.8,198.4,3450
2017-12-05,198.8,199.6,198.2,198.8,3415
2017-12-06,199.0,199.0,198.0,198.4,4840
2017-12-07,198.6,198.6,197.4,197.8,7365
2017-12-08,198.6,198.6,197.0,197.4,4510
2017-12-11,197.6,198.2,197.6,198.0,4700
2017-12-12,199.6,200.6,198.2,199.6,9590
2017-12-13,199.0,200.0,198.4,199.0,4000
2017-12-14,199.6,204.0,199.0,200.6,6710
2017-12-15,201.0,203.4,200.2,200.2,7795
2017-12-18,202.2,202.2,200.4,201.1,3085
2017-12-19,202.6,203.98,199.6,200.2,34665
2017-12-20,201.8,201.8,199.6,200.4,9760
2017-12-21,200.0,200.8,200.0,200.6,6160
2017-12-22,201.0,202.2,200.7,200.8,22670
2017-12-26,203.0,203.0,201.0,201.4,885
2017-12-27,201.0,201.8,201.0,201.3,1015
2017-12-28,201.4,201.52,200.0,201.0,1655
2017-12-29,202.6,202.6,200.8,201.8,2035
2018-01-02,202.8,202.8,201.1,201.4,1815
2018-01-03,201.4,202.0,200.8,201.2,17965
2018-01-04,201.2,201.6,200.8,201.2,1555
2018-01-05,201.6,202.0,201.0,201.4,20765
2018-01-08,201.2,201.8,201.2,201.4,8470
2018-01-09,201.6,201.6,200.6,201.0,5470
2018-01-10,201.6,201.8,201.0,201.2,81320
2018-01-11,201.6,201.6,200.98,201.2,6125
2018-01-12,201.2,201.8,200.78,201.0,17540
2018-01-16,201.2,202.2,201.0,201.2,13615
2018-01-17,201.0,201.8,200.2,200.6,4785
2018-01-18,200.8,202.0,200.6,201.0,8520
2018-01-19,201.8,201.8,200.8,201.2,14835
2018-01-22,201.6,201.6,200.8,201.6,6790
2018-01-23,201.6,201.8,200.0,201.6,23570
2018-01-24,202.0,202.0,200.8,201.3,3540
2018-01-25,201.48,201.58,200.6,201.0,10730
2018-01-26,200.6,201.4,200.6,201.2,6560
2018-01-29,201.0,201.6,200.8,201.2,3350
2018-01-30,201.2,201.4,200.2,201.0,6765
2018-01-31,201.8,201.8,200.8,201.2,2140
2018-02-01,201.0,201.6,201.0,201.4,2975
2018-02-02,201.6,201.6,200.0,200.8,3415
2018-02-05,201.0,201.0,200.0,200.0,10780
2018-02-06,199.4,200.2,199.4,199.8,7610
2018-02-07,199.8,200.94,199.4,200.0,8650
2018-02-08,199.6,200.4,199.6,200.0,3690
2018-02-09,200.8,200.8,199.0,199.2,5795
