Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2018-01-02,235.74,236.6,235.36,236.56,86655700
1.0,2018-01-03,236.73,238.21,236.73,238.06,90070400
2.0,2018-01-04,238.7,239.55,238.12,239.06,80636400
3.0,2018-01-05,239.85,240.78,239.36,240.65,83524000
4.0,2018-01-08,240.56,241.25,240.27,241.1,57319200
5.0,2018-01-09,241.52,242.27,241.24,241.64,57254000
6.0,2018-01-10,240.88,241.54,240.21,241.27,69574300
7.0,2018-01-11,241.83,243.03,241.66,243.03,62361500
8.0,2018-01-12,243.3,244.78,243.0,244.62,90816100
9.0,2018-01-16,245.87,246.53,243.08,243.78,106555100
10.0,2018-01-17,244.71,246.49,243.78,246.1,113258800
11.0,2018-01-18,245.99,246.41,245.2,245.69,100728000
12.0,2018-01-19,246.27,246.81,245.69,246.81,140920100
13.0,2018-01-22,246.6,248.81,246.54,248.81,91322400
14.0,2018-01-23,248.86,249.63,248.53,249.34,97084700
15.0,2018-01-24,249.98,250.58,248.07,249.25,134816100
16.0,2018-01-25,250.11,250.2,248.56,249.35,84587300
17.0,2018-01-26,250.19,252.28,249.93,252.24,107743100
18.0,2018-01-29,251.67,252.11,250.41,250.57,90118300
19.0,2018-01-30,248.73,250.62,247.52,248.0,131796400
20.0,2018-01-31,248.85,249.35,247.04,248.12,108364800
21.0,2018-02-01,247.39,249.14,247.04,247.84,90102500
22.0,2018-02-02,246.52,246.65,242.41,242.44,173174800
23.0,2018-02-05,240.68,242.79,231.76,232.3,294681800
24.0,2018-02-06,228.79,237.38,227.7,236.88,355026800
25.0,2018-02-07,236.32,239.72,235.51,235.59,167376100
26.0,2018-02-08,235.89,236.03,226.72,226.76,246449500
27.0,2018-02-09,229.55,232.02,222.61,230.16,283565300
28.0,2018-02-12,232.21,235.01,230.3,233.54,143736000
29.0,2018-02-13,232.34,234.67,231.76,234.12,81223600
30.0,2018-02-14,232.64,237.64,232.63,237.28,120735700
31.0,2018-02-15,239.03,240.32,236.56,240.31,111200300
32.0,2018-02-16,239.69,242.33,239.64,240.38,160420100
33.0,2018-02-20,239.43,240.88,238.08,238.88,86369700
34.0,2018-02-21,239.32,241.8,237.59,237.69,98883700
35.0,2018-02-22,238.61,240.33,237.33,238.0,110511300
36.0,2018-02-23,239.22,241.79,238.74,241.79,92766400
37.0,2018-02-26,242.86,244.69,242.27,244.6,86491400
38.0,2018-02-27,244.78,245.5,241.48,241.54,99099200
39.0,2018-02-28,242.64,243.09,238.78,239.1,121907800
40.0,2018-03-01,238.89,240.43,234.12,235.62,176855100
41.0,2018-03-02,233.95,237.4,233.09,236.84,139083200
42.0,2018-03-05,235.65,240.19,235.54,239.57,97307400
43.0,2018-03-06,240.55,240.63,238.68,240.18,79213200
44.0,2018-03-07,238.01,240.44,237.82,240.09,87063500
45.0,2018-03-08,240.77,241.38,239.77,241.25,66901200
46.0,2018-03-09,242.66,245.45,242.34,245.45,113625300
47.0,2018-03-12,245.74,246.37,244.76,245.14,71924800
48.0,2018-03-13,246.31,246.81,242.95,243.56,91968900
49.0,2018-03-14,244.52,244.7,241.76,242.31,105895100
50.0,2018-03-15,242.82,243.46,241.54,242.05,83433000
51.0,2018-03-16,242.57,243.36,242.26,242.31,100343700
52.0,2018-03-19,241.56,242.48,237.38,239.03,109208400
53.0,2018-03-20,239.43,240.07,238.76,239.44,59757300
