DateTime,Open,High,Low,Close,Volume
2000-01-04,35.25,35.4372,31.875,32.625,5083
2000-01-05,32.8128,33.0,31.875,33.0,8267
2000-01-06,33.75,36.0,33.75,34.125,22700
2000-01-07,35.8128,37.125,35.25,36.0,15417
2000-01-10,36.375,37.875,35.25,36.0,14700
2000-01-11,35.8128,36.75,35.25,36.75,22667
2000-01-12,37.5,54.5628,37.3128,47.25,297550
2000-01-13,48.1872,50.25,43.875,48.0,54817
2000-01-14,47.8128,48.0,45.75,46.875,22067
2000-01-18,49.5,60.5628,49.5,60.5628,103167
2000-01-19,71.25,84.0,67.125,75.0,232617
2000-01-20,78.0,87.0,76.5,80.25,139233
2000-01-21,85.5,86.25,75.75,80.25,69433
2000-01-24,80.0628,85.5,79.875,82.125,89367
2000-01-25,86.25,86.625,81.75,82.875,47033
2000-01-26,84.1872,85.875,81.75,83.625,33083
2000-01-27,86.25,93.0,86.25,89.625,101817
2000-01-28,90.375,90.375,79.875,80.25,47850
2000-01-31,75.375,75.375,61.5,69.0,50333
2000-02-01,68.625,84.375,67.5,82.5,47917
2000-02-02,84.0,86.25,83.625,86.25,43633
2000-02-03,90.0,96.0,89.625,96.0,79767
2000-02-04,101.25,109.5,99.0,99.75,107650
2000-02-07,113.25,122.25,109.875,118.5,134900
2000-02-08,125.625,144.0,121.5,141.0,140583
2000-02-09,156.0,162.0,147.0,157.125,140017
2000-02-10,160.5,162.0,126.0,137.25,162950
2000-02-11,139.5,154.5,139.5,153.375,92967
2000-02-14,161.25,163.5,145.5,148.875,44117
2000-02-15,148.875,149.25,133.5,138.0,45583
2000-02-16,139.125,145.5,136.5,145.125,33617
2000-02-17,156.0,157.5,150.0,153.0,56733
2000-02-18,157.5,158.25,132.75,149.25,50633
2000-02-22,153.0,156.375,135.0,147.0,60350
2000-02-23,147.0,148.5,141.75,142.5,27617
2000-02-24,142.5,144.0,132.75,144.0,86333
2000-02-25,143.25,147.0,133.5,144.75,60483
2000-02-28,147.75,154.5,141.375,150.0,62350
2000-02-29,154.5,156.0,138.0,156.0,81100
2000-03-01,156.0,156.0,141.75,146.25,52583
2000-03-02,146.625,150.0,141.0,145.875,57100
2000-03-03,150.0,151.5,136.5,136.875,85800
2000-03-06,141.375,148.5,136.5,139.5,53317
2000-03-07,136.125,142.5,133.5,136.5,48367
2000-03-08,138.0,144.0,133.875,136.5,38383
2000-03-09,137.0628,137.25,120.0,126.75,64717
2000-03-10,127.5,130.5,111.0,126.75,75900
2000-03-13,113.25,123.0,109.5,117.375,42633
2000-03-14,115.875,117.0,90.0,99.75,119433
2000-03-15,94.5,97.5,92.25,97.5,48550
2000-03-16,103.3128,111.0,100.125,107.25,66983
2000-03-17,106.5,106.5,97.5,101.625,26000
2000-03-20,101.25,102.0,87.75,90.0,31517
2000-03-21,81.75,82.5,69.0,75.0,88517
2000-03-22,75.0,91.5,75.0,88.5,63350
2000-03-23,90.375,91.5,79.5,82.5,41483
2000-03-24,85.3128,88.5,79.5,81.0,21650
2000-03-27,82.5,82.5,76.5,79.5,29633
2000-03-28,76.875,79.5,70.5,73.5,50333
2000-03-29,74.25,79.5,64.125,73.875,95233
2000-03-30,72.0,73.125,64.5,66.0,26950
2000-03-31,64.125,78.0,63.0,75.0,67300
2000-04-03,78.0,83.625,75.0,77.25,27150
2000-04-04,82.5,82.875,63.0,71.25,35917
2000-04-05,72.0,85.5,70.5,75.375,64967
2000-04-06,84.0,88.5,80.25,85.5,46233
2000-04-07,87.75,88.5,84.0,84.75,21083
2000-04-10,87.375,88.5,83.625,87.0,20367
2000-04-11,84.375,85.875,78.0,80.25,23117
2000-04-12,79.5,80.25,72.0,74.25,13567
2000-04-13,71.25,72.0,66.0,66.0,16500
2000-04-14,64.5,64.5,52.875,53.25,45150
2000-04-17,40.5936,59.25,40.5,48.375,56033
2000-04-18,48.0,60.375,48.0,59.25,41617
2000-04-19,60.375,62.25,57.0,59.25,22833
2000-04-20,60.0,61.5,57.75,60.0,8850
