DateTime,Open,High,Low,Close,Volume
2008-10-27,6.52,6.75,6.25,6.7,55397
2008-10-28,7.05,7.06,6.45,7.06,25901
2008-10-29,6.95,7.6,6.95,7.1,18754
2008-10-30,7.8,8.2,7.45,7.6,14624
2008-10-31,7.5,8.05,7.45,7.85,20481
2008-11-03,7.65,8.05,7.65,7.95,5674
2008-11-04,8.15,8.74,8.15,8.74,33400
2008-11-05,8.15,8.5,7.96,7.96,7785
2008-11-06,8.2,8.25,7.8,7.82,10902
2008-11-07,7.81,7.97,7.7,7.97,5438
2008-11-10,8.0,8.2,7.75,8.0,5083
2008-11-11,7.6,7.75,7.3,7.3,8193
2008-11-12,6.9,7.2,6.77,7.01,3862
2008-11-13,7.2,7.6,6.7,7.6,26748
2008-11-14,7.3,7.3,7.05,7.2,30569
2008-11-17,6.54,6.95,6.54,6.95,8803
2008-11-18,6.69,6.85,6.55,6.85,5486
2008-11-19,6.25,6.45,6.1,6.35,34912
2008-11-20,6.06,6.25,5.66,5.66,27590
2008-11-21,6.1,6.4,5.75,5.95,22369
2008-11-24,6.27,6.65,6.27,6.5,6890
2008-11-25,6.74,6.85,6.49,6.66,16207
2008-11-26,6.5,7.16,6.5,7.0,29396
2008-11-28,7.25,7.45,7.1,7.45,12497
2008-12-01,7.05,7.08,6.75,7.0,7192
2008-12-02,7.02,7.15,6.65,6.8,5137
2008-12-03,6.65,7.3,6.65,7.3,14869
2008-12-04,7.01,7.05,6.66,6.72,396908
2008-12-05,6.54,6.8,6.18,6.8,601107
2008-12-08,6.95,6.95,6.75,6.87,7738
2008-12-09,7.16,7.31,7.1,7.15,8476
2008-12-10,7.56,7.56,7.41,7.55,3816
2008-12-11,7.25,7.42,7.14,7.14,31745
2008-12-12,6.65,6.95,6.65,6.95,7036
2008-12-15,6.95,6.95,6.85,6.85,799
2008-12-16,7.03,7.45,6.95,7.4,17600
2008-12-17,7.05,7.4,7.05,7.4,3332
2008-12-18,7.42,7.42,7.06,7.06,12026
2008-12-19,6.75,6.75,6.6,6.6,2127
2008-12-22,6.55,6.68,6.41,6.45,5435
2008-12-23,6.35,6.48,6.25,6.26,23858
2008-12-24,6.27,6.45,6.27,6.4,6129
2008-12-26,6.36,6.45,6.33,6.37,1878
2008-12-29,6.35,6.45,6.31,6.45,7365
2008-12-30,6.4,6.56,6.38,6.5,38034
2008-12-31,6.45,6.6,6.45,6.57,7750
2009-01-02,6.64,6.85,6.64,6.75,6522
2009-01-05,6.72,6.85,6.72,6.76,6922
2009-01-06,7.05,7.35,7.05,7.33,21452
2009-01-07,7.42,7.47,7.3,7.3,4968
2009-01-08,7.49,7.6,7.37,7.6,4541
2009-01-09,7.57,7.57,7.45,7.53,12862
2009-01-12,7.7,7.7,7.19,7.3,3785
2009-01-13,7.05,7.25,7.04,7.2,12873
2009-01-14,7.0,7.0,6.85,6.9,7294
2009-01-15,6.8,6.8,6.55,6.55,9755
2009-01-16,6.38,6.38,6.15,6.24,6154
2009-01-20,6.09,6.09,5.61,5.79,19964
2009-01-21,5.61,5.95,5.61,5.95,23589
2009-01-22,5.05,5.14,4.9,5.1,19449
2009-01-23,4.7,4.83,4.51,4.76,11132
2009-01-26,4.92,5.04,4.8,5.0,17537
2009-01-27,4.93,4.93,4.72,4.85,19266
2009-01-28,5.06,5.24,5.06,5.14,5480
2009-01-29,5.0,5.0,4.73,4.75,14903
2009-01-30,5.12,5.12,4.9,4.9,7400
2009-02-02,4.9,4.95,4.81,4.83,11144
2009-02-03,5.01,5.25,5.01,5.25,10394
