DateTime,Open,High,Low,Close,Volume
2018-11-12,13.91,13.95,13.66,13.72,4376800
2018-11-13,13.73,14.27,13.73,14.0,6364500
2018-11-14,14.24,14.34,13.95,14.11,3137500
2018-11-15,13.67,14.32,13.65,14.3,7846200
2018-11-16,13.81,14.13,13.78,14.03,5357200
2018-11-19,14.13,14.16,13.78,13.82,3231000
2018-11-20,13.45,13.87,13.39,13.6,3859600
2018-11-21,14.24,14.33,14.09,14.09,3626200
2018-11-23,14.02,14.19,14.02,14.08,1266000
2018-11-26,14.5,14.56,14.34,14.54,3109300
2018-11-27,14.27,14.4,14.12,14.31,3101800
2018-11-28,14.51,14.75,14.24,14.72,3254400
2018-11-29,14.84,14.9,14.7,14.77,2144000
2018-11-30,14.65,14.86,14.55,14.85,1982700
2018-12-03,15.69,15.72,15.42,15.65,3915700
2018-12-04,15.33,15.39,14.7,14.73,3474000
2018-12-06,13.93,14.06,13.71,13.94,4078400
2018-12-07,13.78,13.92,13.28,13.36,3175000
2018-12-10,13.41,13.67,13.24,13.38,3914700
2018-12-11,13.77,13.84,13.47,13.58,2579600
2018-12-12,13.86,14.08,13.74,13.88,2311100
2018-12-13,14.06,14.08,13.83,13.88,1977200
2018-12-14,13.67,13.89,13.64,13.68,1402700
2018-12-17,13.6,13.86,13.36,13.4,2388800
2018-12-18,13.9,14.03,13.64,13.68,3940600
2018-12-19,13.68,13.86,13.11,13.16,3042800
2018-12-20,13.53,13.67,13.13,13.34,3811000
2018-12-21,13.74,13.78,13.3,13.36,4519900
2018-12-24,13.43,13.49,13.11,13.13,1326300
2018-12-26,13.18,13.63,12.85,13.62,2378200
2018-12-27,13.48,13.75,13.36,13.73,2887800
2018-12-28,14.02,14.1,13.83,13.86,2053300
2018-12-31,14.05,14.14,13.72,13.88,2212000
2019-01-02,13.57,13.86,13.57,13.74,2376100
2019-01-03,12.59,12.71,12.0,12.07,4616000
2019-01-04,12.33,12.64,12.24,12.6,3107300
2019-01-07,12.94,13.18,12.87,13.09,2366900
2019-01-08,13.41,13.45,12.99,13.13,2567300
2019-01-09,13.71,13.96,13.65,13.89,3720300
