DateTime,Open,High,Low,Close,Volume
2017-05-16,3.38,3.38,3.18,3.31,171000
2017-05-17,3.35,3.35,3.21,3.26,168000
2017-05-18,3.26,3.26,3.03,3.03,131000
2017-05-19,3.0,3.12,2.99,3.03,117600
2017-05-22,3.02,3.25,3.02,3.19,156700
2017-05-23,3.18,3.2,2.88,2.94,532900
2017-05-24,2.95,3.01,2.8,2.98,333700
2017-05-25,2.93,2.95,2.8,2.88,481100
2017-05-26,3.03,3.115,2.981,3.08,278800
2017-05-30,3.06,3.06,2.87,2.89,258100
2017-05-31,2.85,2.95,2.74,2.9,426600
2017-06-01,2.9,2.9,2.82,2.85,248600
2017-06-02,2.85,2.91,2.82,2.88,206700
2017-06-05,2.88,3.25,2.865,3.25,194400
2017-06-06,3.02,3.11,2.97,3.09,363900
2017-06-07,3.08,3.15,2.99,3.05,144800
2017-06-08,3.02,3.02,2.89,2.94,140900
2017-06-09,2.91,2.915,2.84,2.84,180200
2017-06-12,2.83,2.92,2.83,2.92,163300
2017-06-13,2.93,3.05,2.89,2.99,181600
2017-06-14,3.07,3.1,2.875,2.93,269400
2017-06-15,2.9,2.99,2.87,2.94,260500
2017-06-16,2.94,3.05,2.93,3.02,452200
2017-06-19,3.1,3.1,2.85,2.9,481500
2017-06-20,2.9,2.934,2.8,2.9,277300
2017-06-21,2.9,2.965,2.87,2.9,260600
2017-06-22,2.98,3.046,2.93,2.99,386500
2017-06-23,3.05,3.1,2.97,3.09,302200
2017-06-26,3.09,3.25,3.01,3.23,358300
2017-06-27,3.27,3.286,3.15,3.25,231300
2017-06-28,3.28,3.31,3.17,3.29,211700
2017-06-29,3.33,3.33,3.23,3.29,381100
2017-06-30,3.23,3.28,3.16,3.21,330800
2017-07-03,3.18,3.18,3.06,3.06,143600
2017-07-05,2.99,3.05,2.92,2.96,429000
2017-07-06,2.95,2.95,2.77,2.79,452400
2017-07-07,2.79,2.845,2.71,2.79,390500
2017-07-10,2.74,2.91,2.73,2.85,537000
2017-07-11,2.83,2.88,2.77,2.85,191700
2017-07-12,2.87,2.91,2.82,2.825,209500
2017-07-13,2.86,2.87,2.75,2.77,171000
2017-07-14,2.82,2.9,2.8,2.82,282700
2017-07-17,2.85,2.95,2.85,2.91,156200
2017-07-18,2.94,2.97,2.914,2.93,208600
2017-07-19,2.96,2.98,2.93,2.935,203800
2017-07-20,2.95,2.98,2.895,2.95,205000
2017-07-21,2.96,2.97,2.885,2.9,103000
2017-07-24,2.9,3.0,2.79,2.84,238300
2017-07-25,2.83,2.86,2.77,2.83,237400
2017-07-26,2.81,2.877,2.75,2.85,321500
2017-07-27,2.85,2.88,2.78,2.8,455100
2017-07-28,2.83,2.915,2.83,2.87,228200
2017-07-31,2.91,2.98,2.89,2.93,155900
2017-08-01,2.93,2.96,2.88,2.89,226900
2017-08-02,2.89,2.89,2.77,2.79,212100
2017-08-03,2.83,2.84,2.725,2.73,305700
2017-08-04,2.82,2.83,2.73,2.8,219000
2017-08-07,2.75,2.85,2.73,2.77,199900
2017-08-08,2.81,2.82,2.68,2.72,333300
2017-08-09,2.74,2.78,2.674,2.76,198500
2017-08-10,2.8,2.82,2.75,2.79,307700
2017-08-11,2.77,2.84,2.74,2.75,136600
2017-08-14,2.74,2.79,2.68,2.74,121300
2017-08-15,2.69,2.78,2.66,2.74,118900
2017-08-16,2.74,2.82,2.65,2.805,328800
2017-08-17,2.83,2.83,2.74,2.76,235300
2017-08-18,2.76,2.8,2.7,2.72,234100
2017-08-21,2.72,2.77,2.72,2.75,118600
2017-08-22,2.73,2.76,2.71,2.71,49000
2017-08-23,2.73,2.73,2.66,2.7,126300
2017-08-24,2.72,2.8,2.69,2.78,250000
2017-08-25,2.77,2.835,2.73,2.8,121400
2017-08-28,2.83,3.11,2.83,3.1,904200
2017-08-29,3.15,3.2,2.95,2.95,444900
2017-08-30,3.0,3.03,2.92,2.96,163400
2017-08-31,2.91,3.15,2.91,3.13,273200
2017-09-01,3.09,3.16,3.08,3.14,218100
2017-09-05,3.16,3.42,3.14,3.4,844600
2017-09-06,3.42,3.42,3.25,3.28,270700
2017-09-07,3.25,3.42,3.25,3.385,261900
2017-09-08,3.43,3.43,3.21,3.27,351600
2017-09-11,3.24,3.29,3.15,3.18,262100
2017-09-12,3.19,3.27,3.15,3.24,135200
2017-09-13,3.24,3.24,3.03,3.07,322200
2017-09-14,3.08,3.19,3.08,3.14,166700
2017-09-15,3.13,3.17,2.98,2.99,389700
2017-09-18,2.95,2.99,2.85,2.91,406000
2017-09-19,2.9,2.99,2.9,2.94,207100
2017-09-20,2.94,2.98,2.83,2.88,318000
2017-09-21,2.8,2.88,2.77,2.8,355300
2017-09-22,2.79,2.91,2.79,2.89,191400
2017-09-25,2.86,2.97,2.85,2.97,285400
2017-09-26,2.9,2.92,2.76,2.79,398300
2017-09-27,2.76,2.79,2.71,2.71,209900
2017-09-28,2.73,2.792,2.72,2.73,118600
2017-09-29,2.73,2.75,2.66,2.7,169400
2017-10-02,2.67,2.72,2.64,2.68,363200
2017-10-03,2.66,2.8,2.66,2.76,253800
2017-10-04,2.75,2.81,2.74,2.8,179100
2017-10-05,2.78,2.8,2.71,2.71,208500
2017-10-06,2.73,2.8,2.66,2.79,289800
2017-10-09,2.69,2.83,2.69,2.805,148000
2017-10-10,2.83,2.86,2.72,2.75,257200
2017-10-11,2.73,2.78,2.65,2.78,261000
2017-10-12,2.77,2.79,2.71,2.75,253200
2017-10-13,2.74,2.78,2.72,2.769,166700
2017-10-16,2.77,2.773,2.68,2.69,269200
2017-10-17,2.65,2.69,2.65,2.68,180700
2017-10-18,2.65,2.72,2.65,2.68,99000
2017-10-19,2.67,2.68,2.59,2.62,458200
2017-10-20,2.58,2.66,2.48,2.59,527700
2017-10-23,2.57,2.63,2.53,2.62,173800
2017-10-24,2.58,2.64,2.57,2.6,132100
2017-10-25,2.57,2.64,2.57,2.59,150900
2017-10-26,2.59,2.59,2.45,2.46,244000
2017-10-27,2.4,2.48,2.4,2.43,267900
2017-10-30,2.4,2.56,2.4,2.55,229600
2017-10-31,2.53,2.54,2.42,2.54,745900
2017-11-01,2.57,2.611,2.509,2.6,200300
2017-11-02,2.6,2.63,2.5,2.51,144100
2017-11-03,2.51,2.55,2.46,2.5,223500
2017-11-06,2.5,2.63,2.5,2.59,323000
2017-11-07,2.6,2.62,2.48,2.54,299000
2017-11-08,2.6,2.609,2.55,2.57,226600
2017-11-09,2.52,2.57,2.51,2.55,166500
2017-11-10,2.55,2.55,2.46,2.47,237600
2017-11-13,2.45,2.5,2.45,2.47,149800
2017-11-14,2.44,2.49,2.41,2.43,211600
2017-11-15,2.43,2.43,2.305,2.35,431300
2017-11-16,2.32,2.43,2.32,2.41,192700
2017-11-17,2.42,2.45,2.4,2.436,134100
2017-11-20,2.43,2.5,2.42,2.49,203800
2017-11-21,2.46,2.613,2.46,2.58,309300
2017-11-22,2.57,2.63,2.51,2.51,191400
2017-11-24,2.57,2.62,2.51,2.53,200400
2017-11-27,2.6,2.6,2.5,2.53,135700
2017-11-28,2.51,2.51,2.45,2.48,193600
2017-11-29,2.43,2.46,2.38,2.44,263100
