DateTime,Open,High,Low,Close,Volume
2025-01-02,23.6,24.45,23.33,23.85,467800
2025-01-03,23.66,24.83,23.66,24.35,214900
2025-01-06,24.66,25.4,24.25,24.42,306300
2025-01-07,24.6,26.01,24.049999,24.35,1192800
2025-01-08,24.21,24.52,23.77,24.02,484600
2025-01-10,23.29,23.76,21.6,22.46,687200
2025-01-13,23.0,23.0,20.545,21.55,715600
2025-01-14,21.75,21.97,20.36,20.8,489700
2025-01-15,21.89,22.49,21.049999,21.66,513900
2025-01-16,21.84,22.11,20.385,20.55,715300
2025-01-17,20.96,21.24,20.33,20.62,607600
2025-01-21,21.0,22.82,20.965,22.28,692700
2025-01-22,22.69,22.81,21.588,21.82,651500
2025-01-23,21.64,22.049999,21.01,21.81,532100
2025-01-24,21.85,22.435,21.0,21.6,437200
2025-01-27,21.305,22.81,20.66,20.82,501600
2025-01-28,20.77,22.0,20.25,21.79,533000
2025-01-29,21.66,22.18,21.35,21.9,330100
2025-01-30,22.13,22.74,21.793,22.27,1243000
2025-01-31,22.5,23.59,22.25,22.99,557500
2025-02-03,22.040001,23.68,21.67,22.9,508600
2025-02-04,22.75,23.835,22.6,23.7,645300
2025-02-05,23.78,24.83,23.41,23.56,405300
2025-02-06,23.54,24.348,23.415,23.86,477700
2025-02-07,23.72,24.39,22.435,22.65,683000
2025-02-10,22.87,23.0,22.11,22.75,709300
2025-02-11,22.35,22.75,21.9,22.15,993100
2025-02-12,21.63,23.35,21.13,23.27,467900
2025-02-13,23.59,23.75,22.57,22.68,509400
2025-02-14,22.78,23.19,22.43,22.92,462100
2025-02-18,23.040001,23.6,21.61,22.07,629200
2025-02-19,21.93,22.55,21.915,22.37,263200
2025-02-20,22.18,23.037001,21.63,22.41,325800
2025-02-21,22.56,22.86,20.26,21.29,804100
2025-02-24,21.48,21.925,20.56,21.26,645300
2025-02-25,21.49,21.5,19.83,20.65,686200
2025-02-26,20.96,21.5,18.81,19.0,762200
2025-02-27,19.0,19.8,18.26,18.37,925600
2025-02-28,18.69,19.975,18.38,19.7,652800
2025-03-03,19.96,20.0,17.555,17.94,526600
2025-03-04,17.81,18.59,17.24,18.22,728900
2025-03-05,18.32,19.59,18.01,19.47,706500
2025-03-06,19.27,20.57,18.72,20.5,946600
2025-03-07,20.34,21.030001,19.42,19.49,1180700
2025-03-10,18.98,19.74,18.18,18.65,642800
2025-03-11,19.58,19.58,17.25,18.56,883000
2025-03-12,18.73,19.44,18.39,18.88,476400
2025-03-13,18.74,18.995,17.5,18.030001,337700
2025-03-14,18.24,18.985,17.86,18.040001,416100
2025-03-17,18.07,18.905,18.07,18.54,493700
2025-03-18,19.0,19.0,17.86,17.91,393200
2025-03-19,17.89,18.82,17.79,18.4,704700
2025-03-20,18.030001,18.65,18.030001,18.15,292000
2025-03-21,17.9,18.54,17.54,18.17,1303200
2025-03-24,18.36,19.395,17.97,19.02,459400
2025-03-25,19.0,19.5,17.55,18.16,589300
2025-03-26,18.25,18.78,16.93,17.02,784600
2025-03-27,17.059999,17.92,16.71,17.69,773300
2025-03-28,18.18,18.275,17.39,17.94,623900
2025-03-31,17.56,17.675,16.13,16.135,740800
2025-04-01,15.89,16.12,15.24,15.295,1265500
2025-04-02,14.96,15.8,14.9,15.49,586300
2025-04-03,14.47,15.02,13.88,13.99,973100
2025-04-04,13.19,13.63,12.56,12.79,1641800
2025-04-07,12.0,13.23,11.6,12.39,1275100
2025-04-08,13.28,13.28,11.46,11.8,1523800
2025-04-09,11.44,13.76,10.91,13.37,1025500
2025-04-10,12.71,12.945,11.615,11.93,978800
