DateTime,Open,High,Low,Close,Volume
2007-04-27,8.6262,8.9675,8.6112,8.8288,3684800
2007-04-30,8.8837,9.0525,8.8275,8.865,3182400
2007-05-01,8.8762,8.9012,8.6988,8.7475,1851200
2007-05-02,8.7375,8.81,8.7238,8.7375,1245600
2007-05-03,8.7512,8.8075,8.7137,8.7788,1389600
2007-05-04,8.8362,8.9938,8.8175,8.9725,1570400
2007-05-07,9.0,9.03,8.875,8.8875,680800
2007-05-08,8.9362,9.0938,8.88,9.0525,2132800
2007-05-09,9.0525,9.1163,8.9425,9.0562,1257600
2007-05-10,9.0325,9.0625,8.8012,8.855,1581600
2007-05-11,8.8588,9.075,8.7812,9.075,1521600
2007-05-14,9.0188,9.1825,8.975,9.0125,1627200
2007-05-15,8.9938,9.1125,8.9175,8.9362,1406400
2007-05-16,8.9225,9.085,8.8138,9.0262,2738400
2007-05-17,9.43,9.875,9.28,9.7587,15545600
2007-05-18,9.7625,9.9875,9.7275,9.935,5068800
2007-05-21,9.9375,10.2612,9.9262,10.1812,6239200
2007-05-22,10.21,10.25,10.1325,10.1762,2076800
2007-05-23,10.125,10.25,9.7888,9.84,3080800
2007-05-24,9.7762,9.8375,9.4312,9.505,6329600
2007-05-25,9.4925,9.6462,9.4662,9.59,1622400
2007-05-29,9.5638,9.5912,9.4562,9.4875,1551200
2007-05-30,9.25,9.4637,9.1875,9.4388,3023200
2007-05-31,9.4662,9.6725,9.45,9.5512,1888000
2007-06-01,9.475,9.625,9.3775,9.4138,2307200
2007-06-04,9.3162,9.4375,9.295,9.3612,2768000
2007-06-05,9.375,9.5725,9.3688,9.5,3248000
2007-06-06,9.5,9.5,9.2812,9.3025,1486400
2007-06-07,9.3512,9.3788,9.1125,9.1375,2689600
2007-06-08,9.0838,9.2188,9.0075,9.21,2492800
2007-06-11,9.1288,9.3812,9.1288,9.2912,1473600
2007-06-12,9.2888,9.4,9.085,9.0862,1666400
2007-06-13,9.085,9.3638,9.085,9.3312,2127200
2007-06-14,9.1938,9.2562,9.1,9.1375,2519200
2007-06-15,9.1875,9.28,9.1388,9.21,1888800
2007-06-18,9.25,9.7587,9.125,9.7275,4524800
2007-06-19,9.75,9.8425,9.6375,9.7362,2057600
2007-06-20,9.7812,9.8125,9.5662,9.6125,1624800
2007-06-21,9.5512,9.72,9.3525,9.5425,1456000
2007-06-22,9.5625,9.78,9.465,9.4662,2516800
2007-06-25,9.5887,9.6875,9.4738,9.5325,1536000
2007-06-26,9.545,9.6975,9.4,9.415,1519200
2007-06-27,9.415,9.5188,9.35,9.4962,1611200
2007-06-28,9.5462,9.63,9.495,9.5062,1135200
2007-06-29,9.5588,9.9512,9.5538,9.8288,3365600
2007-07-02,9.8475,9.9938,9.7525,9.855,4112000
2007-07-03,9.945,10.5225,9.9425,10.505,3976800
2007-07-05,10.5,10.925,10.4975,10.8138,5667200
2007-07-06,10.8138,11.23,10.7875,11.0838,3943200
2007-07-09,11.0875,11.1975,10.6712,10.9538,2349600
2007-07-10,10.8625,10.9375,10.6938,10.7325,1411200
2007-07-11,10.635,10.8338,10.42,10.6938,2678400
2007-07-12,10.7375,10.8938,10.6838,10.8075,1847200
2007-07-13,10.8075,10.855,10.5962,10.6912,1587200
2007-07-16,10.685,10.7525,10.4212,10.6512,2788000
2007-07-17,10.6212,10.625,10.4525,10.5325,2772800
2007-07-18,10.4525,10.545,10.3762,10.46,1249600
2007-07-19,10.4625,10.7925,10.4625,10.72,1753600
2007-07-20,10.7662,10.8438,10.5962,10.6038,1801600
2007-07-23,10.765,10.8338,10.6,10.6238,1500800
2007-07-24,10.6225,10.6962,10.0712,10.1388,3618400
2007-07-25,10.2612,10.46,10.1212,10.3612,1911200
2007-07-26,10.3125,10.3588,9.875,10.0,3402400
2007-07-27,9.97,9.975,9.6388,9.775,2887200
2007-07-30,9.775,9.8438,9.5,9.6038,7509600
2007-07-31,9.73,9.8,9.52,9.6375,2575200
2007-08-01,9.5625,9.6825,9.2,9.365,2239200
2007-08-02,9.4,10.16,9.28,10.125,5862000
2007-08-03,10.2125,10.755,10.0175,10.725,8076400
2007-08-06,10.77,10.9225,10.38,10.82,4812400
2007-08-07,9.875,10.375,9.825,10.1525,9446800
2007-08-08,10.47,11.0,10.0,10.08,4937200
2007-08-09,10.0,10.255,9.635,9.75,5684800
2007-08-10,9.19,9.5575,9.1625,9.3775,12225600
2007-08-13,9.5125,9.8,9.4525,9.6275,3908000
2007-08-14,9.625,9.8625,9.5,9.63,3347600
2007-08-15,9.585,9.6975,9.375,9.5,3326800
2007-08-16,9.1875,9.58,8.9775,9.1375,14794800
2007-08-17,9.35,9.625,9.35,9.525,3154800
2007-08-20,9.845,9.8725,9.3825,9.5,1780400
2007-08-21,9.375,9.7375,9.375,9.6525,1858400
2007-08-22,9.75,10.3525,9.6475,10.21,3190400
2007-08-23,10.3675,10.5,10.125,10.1875,2228000
2007-08-24,10.2175,10.515,10.11,10.375,2072400
2007-08-27,10.5675,11.0,10.5,10.81,3871600
2007-08-28,10.93,10.93,9.81,10.1475,3391200
2007-08-29,10.245,10.5,10.1925,10.445,1478000
2007-08-30,10.5,10.5275,10.065,10.1675,1666400
2007-08-31,10.3525,10.725,10.3525,10.6225,1820000
2007-09-04,10.7475,10.9225,10.5875,10.6475,1791600
2007-09-05,10.6475,10.7,10.3125,10.46,1581200
2007-09-06,10.425,10.6125,10.3125,10.5425,1503200
2007-09-07,10.415,10.4975,10.315,10.385,877200
2007-09-10,10.4025,10.495,10.3125,10.3825,898000
2007-09-11,10.345,10.8125,10.3025,10.78,1646800
2007-09-12,10.78,11.17,10.7525,11.0275,3846000
2007-09-13,11.05,11.4375,10.95,11.2825,2666000
2007-09-14,11.27,11.5,11.1525,11.385,2371600
2007-09-17,11.2,11.385,11.125,11.295,1805600
2007-09-18,11.25,12.11,11.25,12.0175,3159200
2007-09-19,12.1875,12.56,12.045,12.1125,3635600
2007-09-20,12.48,12.48,12.045,12.1725,2166400
2007-09-21,12.2475,12.47,12.115,12.425,2084000
2007-09-24,12.5,13.1,12.0625,12.175,4704400
2007-09-25,12.1125,12.925,12.09,12.785,2688800
2007-09-26,13.125,13.19,12.83,12.945,2728800
2007-09-27,13.2225,13.2225,12.7,12.8175,1374000
2007-09-28,12.9625,13.1225,12.7075,12.95,4817200
2007-10-01,12.9625,13.475,12.8825,13.435,2978800
2007-10-02,13.4375,13.6775,13.25,13.5925,1654000
2007-10-03,13.4375,13.56,13.0025,13.2075,3665200
2007-10-04,12.9025,13.07,12.5625,12.7025,3194400
2007-10-05,12.8275,13.4675,12.7025,12.875,1664800
2007-10-08,12.995,13.4775,12.9625,13.02,1625200
2007-10-09,12.7525,13.11,12.7,13.07,1072800
2007-10-10,12.8825,13.5,12.88,13.0525,2067600
2007-10-11,13.0,13.2275,11.39,11.995,7874800
2007-10-12,12.1375,12.5625,12.1375,12.32,6491200
2007-10-15,12.5,12.685,12.14,12.31,3194000
2007-10-16,12.375,12.375,12.045,12.2475,1196000
2007-10-17,12.375,13.0475,12.355,13.035,4160000
2007-10-18,12.875,13.425,12.795,13.3375,2091600
2007-10-19,13.3375,13.375,13.02,13.14,3067600
2007-10-22,12.9325,12.9325,12.275,12.5225,3381600
2007-10-23,12.75,13.0525,12.5275,12.9975,2648800
2007-10-24,13.0625,13.36,12.325,12.6775,4750000
2007-10-25,12.875,12.9875,12.4475,12.6525,2023600
2007-10-26,13.1175,13.3725,12.7675,13.3725,2424800
2007-10-29,13.5,14.175,13.5,14.115,4508000
2007-10-30,14.255,14.3325,13.33,13.46,4199600
2007-10-31,13.725,14.1525,13.5625,14.09,4212000
2007-11-01,13.975,14.72,13.875,14.14,4256800
2007-11-02,14.2,14.7425,14.0625,14.73,3989200
2007-11-05,14.3725,14.685,13.8875,14.515,3929200
2007-11-06,14.8125,15.405,14.57,15.32,6496800
2007-11-07,15.25,15.325,14.22,14.275,6686000
2007-11-08,15.435,15.7175,13.89,15.62,11298400
2007-11-09,14.6525,15.635,14.6525,14.8475,4613600
2007-11-12,14.5,14.65,13.5225,13.7525,5332000
2007-11-13,13.8325,14.9975,13.8,14.95,5007600
2007-11-14,15.47,15.47,14.4225,14.5625,3049600
2007-11-15,14.38,15.2,14.38,15.0975,4422000
2007-11-16,15.0225,15.2025,14.5125,15.1825,4471600
2007-11-19,15.2,15.2475,13.95,13.9975,4356800
2007-11-20,14.0425,14.495,13.425,13.8125,4872000
2007-11-21,13.125,13.725,12.9275,13.51,3955600
2007-11-23,13.555,13.87,13.5,13.65,1102000
2007-11-26,14.0,14.295,13.7125,13.795,2476800
2007-11-27,13.9,14.1225,13.525,13.8175,1546000
2007-11-28,14.215,14.885,14.03,14.875,3056800
2007-11-29,14.875,15.0775,14.4,14.6775,1736400
2007-11-30,14.99,15.3125,14.625,15.0275,3097600
2007-12-03,15.425,15.435,14.9975,15.0225,2114800
2007-12-04,15.375,15.81,15.0175,15.345,3900800
2007-12-05,14.1325,15.6275,14.0025,15.26,7389200
2007-12-06,15.0225,15.72,15.0225,15.6075,1848800
2007-12-07,15.745,15.75,15.0025,15.0575,2287600
2007-12-10,15.225,15.545,15.0,15.1825,2529600
2007-12-11,15.3075,15.65,14.7225,14.8925,2127200
2007-12-12,15.135,15.305,14.7975,14.96,1422400
2007-12-13,14.4875,14.8575,14.405,14.7825,1694800
2007-12-14,14.4875,14.9275,14.4875,14.8075,2236800
2007-12-17,14.555,14.875,13.9575,14.14,3112800
2007-12-18,14.26,14.485,13.6225,14.2075,2256800
2007-12-19,14.0,14.435,14.0,14.135,1391600
2007-12-20,14.1475,14.565,14.125,14.4475,1078000
2007-12-21,14.5,14.685,14.2275,14.27,1491200
2007-12-24,14.275,14.53,14.21,14.4525,1036800
2007-12-26,14.2575,14.525,14.2525,14.46,1031600
2007-12-27,14.5,14.5,14.03,14.1475,1130800
2007-12-28,14.065,14.3975,14.065,14.1475,1510000
2007-12-31,14.25,14.4875,14.125,14.3675,1287200
2008-01-02,14.4875,14.725,14.1225,14.2425,2018000
2008-01-03,14.405,14.5725,14.095,14.1475,1742800
2008-01-04,14.0,14.3475,14.0,14.2175,2132400
2008-01-07,14.12,14.31,12.8275,13.3325,4178400
2008-01-08,13.455,13.8875,13.3875,13.4675,2512400
2008-01-09,13.5825,13.815,13.0,13.5225,1970000
2008-01-10,13.51,13.8075,13.275,13.6425,1746400
