DateTime,Open,High,Low,Close,Volume
2018-01-22,32.8,32.95,31.455,32.75,1677700
2018-01-23,32.75,34.95,32.7,34.55,1476200
2018-01-24,34.7,35.049999,34.049999,34.9,898500
2018-01-25,35.099998,35.5,34.805,35.3,855100
2018-01-26,36.0,36.95,35.45,36.5,1387900
2018-01-29,36.4,36.5,35.6,36.099998,770300
2018-01-30,35.9,36.925,35.8,36.3,1094300
2018-01-31,36.6,38.15,36.35,37.4,1678400
2018-02-01,37.25,37.5,36.15,37.049999,959700
2018-02-02,36.6,37.2,35.25,35.3,1346200
2018-02-05,35.0,35.45,33.55,33.95,1056400
2018-02-06,33.049999,34.75,32.5,34.7,1122000
2018-02-07,34.5,34.8,33.45,34.099998,969700
2018-02-08,34.15,34.512,33.0,33.049999,989500
2018-02-09,33.4,33.725,31.8,32.95,1092300
2018-02-12,33.15,34.5,33.0,33.8,743400
2018-02-13,33.6,34.25,33.45,34.15,548300
2018-02-14,33.9,36.049999,33.75,35.75,931400
2018-02-15,36.099998,37.099998,35.75,36.9,996100
2018-02-16,36.9,37.4,36.25,37.15,517100
2018-02-20,36.9,39.4,36.4,37.75,1250600
2018-02-21,37.75,39.95,37.6,38.65,1138400
2018-02-22,39.0,39.75,38.3,38.8,1269900
2018-02-23,39.099998,39.5,37.35,37.95,881800
2018-02-26,38.2,38.65,36.6,38.55,936500
2018-02-27,38.35,38.75,37.15,37.3,1127700
2018-02-28,36.6,41.0,36.6,40.099998,2205900
2018-03-01,40.35,40.45,37.85,38.55,1119200
2018-03-02,38.25,42.125,38.049999,41.95,1725200
2018-03-05,41.75,41.95,39.575,41.95,1678000
2018-03-06,41.8,43.675,41.25,43.45,1195900
2018-03-07,42.95,44.35,42.35,44.049999,1134600
2018-03-08,44.2,44.65,42.65,43.049999,1147100
2018-03-09,43.4,43.65,42.7,43.15,1111700
2018-03-12,43.45,43.65,42.9,43.25,743200
2018-03-13,43.4,43.85,42.25,42.8,768700
2018-03-14,43.2,43.4,42.8,42.95,1030400
2018-03-15,41.9,42.775,40.75,42.5,829500
2018-03-16,42.3,42.75,41.25,41.25,1376700
2018-03-19,41.099998,41.9,40.9,41.55,910200
2018-03-20,41.75,42.55,41.65,41.8,490300
2018-03-21,41.9,43.55,41.75,43.099998,1005000
2018-03-22,42.85,44.4,42.55,42.7,932700
2018-03-23,42.9,42.9,41.8,42.3,727000
2018-03-26,43.0,43.75,42.3,43.6,759200
2018-03-27,43.65,43.85,40.75,41.15,895400
2018-03-28,41.5,41.9,38.95,39.15,1109100
2018-03-29,39.25,40.55,38.95,40.3,769500
2018-04-02,40.3,40.5,38.15,38.5,963300
2018-04-03,38.7,40.15,38.7,40.0,616500
2018-04-04,39.25,40.9,39.25,40.75,709700
2018-04-05,40.8,42.025002,40.475,41.4,780200
