DateTime,Open,High,Low,Close,Volume
2024-06-17,42.79,43.0,33.84,36.48,3747400
2024-06-18,36.99,37.75,30.19,30.33,4184900
2024-06-20,30.87,31.2,24.0,27.26,4586300
2024-06-21,27.26,29.0,26.2,28.64,932500
2024-06-24,29.5,29.5,25.29,25.31,1558300
2024-06-25,25.31,26.1,22.89,24.96,2235000
2024-06-26,24.96,27.74,23.05,27.56,1513800
2024-06-27,28.4,31.25,27.68,30.83,1481500
2024-06-28,32.77,35.17,31.25,35.0,1191500
2024-07-01,37.0,37.0,32.0,33.34,897000
2024-07-02,34.45,36.34,33.74,35.98,720900
2024-07-03,37.0,37.65,32.8,34.39,1092600
2024-07-05,36.22,36.63,30.77,30.88,620100
2024-07-08,31.07,33.8,31.0,33.2,511267
2024-07-09,34.71,35.75,30.81,34.5,2062049
2024-07-10,35.5,36.49,34.45,35.0,1078687
2024-07-11,35.78,37.585,34.82,37.5,981547
2024-07-12,38.88,41.78,37.68,39.76,1632205
2024-07-15,39.76,40.8,36.4,36.6,1038024
2024-07-16,38.5,41.88,37.3065,40.74,1160319
2024-07-17,40.0,45.11,38.71,39.85,1144920
2024-07-18,41.56,42.25,39.5,40.14,958039
2024-07-19,41.0,42.8451,39.9,41.4,442568
2024-07-22,42.45,43.85,41.1,42.98,926712
2024-07-23,43.0,43.4,40.2,40.7,448166
2024-07-24,40.82,40.9254,37.68,38.05,622220
2024-07-25,38.5,40.1,37.2601,40.02,651057
2024-07-26,40.1,42.07,39.71,41.92,709413
2024-07-29,41.71,44.17,41.4182,43.87,518703
2024-07-30,44.71,46.55,42.76,45.97,856808
2024-07-31,46.58,47.09,43.12,43.28,572590
2024-08-01,44.92,45.58,39.01,39.28,604657
2024-08-02,38.0,39.48,36.11,39.045,679191
2024-08-05,32.82,38.8299,32.8,38.22,1005422
2024-08-06,41.51,41.99,38.0,40.65,999984
2024-08-07,39.91,40.93,38.55,38.82,1209270
2024-08-08,40.71,40.71,36.8,38.93,685834
2024-08-09,39.0,39.78,38.57,38.75,336619
2024-08-12,38.86,39.75,38.165,38.68,372774
2024-08-13,39.43,43.76,38.9406,42.65,717779
2024-08-14,42.7,43.844,41.19,42.9,605559
2024-08-15,43.76,47.81,43.75,47.2,716867
2024-08-16,47.0,52.82,46.6,50.88,1305682
2024-08-19,52.1,59.08,50.01,57.61,1422031
2024-08-20,58.0,74.83,56.94,58.71,3131342
2024-08-21,60.0,72.77,60.0,71.47,1753535
2024-08-22,72.35,77.0,61.02,64.53,2159671
2024-08-23,66.47,68.08,63.11,64.95,990135
2024-08-26,66.9,67.65,58.0,60.51,1041835
2024-08-27,60.51,72.45,60.51,68.47,1447059
2024-08-28,68.47,68.99,58.6001,59.23,1226250
2024-08-29,61.2,62.35,55.655,57.91,1190598
2024-08-30,57.91,59.7334,56.7,59.38,714883
2024-09-03,59.05,62.1956,51.5553,52.09,1081385
2024-09-04,52.0,55.7261,50.6288,53.735,796880
2024-09-05,54.31,60.17,53.808,55.63,948632
2024-09-06,55.35,56.28,47.0448,50.19,1464130
2024-09-09,51.94,51.94,43.91,47.27,1578211
2024-09-10,47.27,47.5,43.41,45.05,941502
2024-09-11,45.52,47.0,43.33,46.49,1067940
2024-09-12,46.49,50.95,44.65,45.45,1417676
2024-09-13,46.07,49.45,45.6,49.38,927749
2024-09-16,48.4,54.9,47.05,54.67,1356719
2024-09-17,55.61,55.66,48.32,49.23,1998796
2024-09-18,50.0,53.8,48.5652,51.31,1012900
2024-09-19,53.91,54.61,49.8875,50.09,1051152
2024-09-20,51.35,54.895,49.74,54.43,1639819
2024-09-23,54.56,57.5,52.5,55.36,908109
2024-09-24,55.45,55.9683,50.5,51.22,1391686
2024-09-25,51.0,51.63,48.81,49.15,952204
2024-09-26,50.33,52.75,49.95,51.87,761716
2024-09-27,53.0,54.4824,51.53,53.84,754298
2024-09-30,53.76,56.78,52.39,56.6,733986
2024-10-01,56.71,57.025,51.76,53.07,1011837
2024-10-02,52.5,52.54,50.27,51.25,507837
2024-10-03,52.35,52.91,48.1,48.96,1419621
2024-10-04,50.38,54.5,49.59,52.94,1054702
2024-10-07,53.0,53.015,50.04,50.55,629638
2024-10-08,50.92,50.935,47.34,48.08,1142169
2024-10-09,48.08,49.54,47.4,48.33,835400
2024-10-10,48.9,48.9,45.7582,45.98,730350
2024-10-11,45.42,49.54,45.3,48.82,883107
2024-10-14,49.01,51.4,48.66,50.72,502559
2024-10-15,50.72,50.72,45.79,46.63,1405091
2024-10-16,47.1,49.3,46.7,49.05,619122
2024-10-17,49.2,49.33,47.78,48.01,434106
2024-10-18,49.3,51.5723,48.71,49.34,958073
2024-10-21,49.7,50.135,47.8,48.68,411073
2024-10-22,48.0,48.21,46.0,46.53,1059371
2024-10-23,46.05,46.64,44.43,45.41,669312
2024-10-24,46.5,47.25,45.6,46.21,425379
2024-10-25,46.07,46.33,43.5,43.51,831371
2024-10-28,43.68,44.77,42.24,43.34,842619
2024-10-29,43.07,46.22,42.46,45.22,739125
2024-10-30,45.32,46.44,44.5573,45.51,567913
2024-10-31,45.5,45.65,44.0711,44.62,601955
2024-11-01,45.6,46.36,44.68,46.06,478671
2024-11-04,45.89,49.64,45.422,49.5,817874
2024-11-05,48.8,48.81,39.34,44.5,3057286
2024-11-06,45.96,59.16,45.51,56.97,3124062
2024-11-07,55.03,59.9876,54.03,56.79,2429898
2024-11-08,56.79,75.0,56.0637,73.77,3007459
2024-11-11,69.78,78.0,66.5,77.62,1689487
2024-11-12,76.2,79.4899,65.9,68.04,1726351
2024-11-13,70.0,74.455,66.11,68.08,1055318
2024-11-14,68.0,68.5699,55.56,56.63,1922206
2024-11-15,56.51,56.725,50.9801,52.4,1598917
2024-11-18,52.6,54.31,48.2601,54.06,1211824
2024-11-19,52.5,55.18,50.6004,53.97,1463897
2024-11-20,55.95,60.3999,55.3,58.15,1415208
2024-11-21,58.04,58.86,52.09,52.48,1735232
2024-11-22,53.2,59.9799,52.21,58.6,1188077
2024-11-25,63.43,67.46,61.0,63.89,1602504
2024-11-26,63.5,64.96,58.4231,58.865,890141
2024-11-27,61.0,65.34,61.0,62.98,680425
2024-11-29,66.13,67.22,62.3,62.59,444795
2024-12-02,65.62,68.95,62.64,62.94,848431
2024-12-03,62.47,62.47,53.81,56.29,1972284
2024-12-04,58.0,60.2,55.9,57.99,1493343
2024-12-06,53.46,53.5,49.57,50.44,2799499
2024-12-10,46.5,47.2,44.53,45.0,2701190
2024-12-11,42.08,43.9,40.1,43.19,11437339
2024-12-12,43.26,47.14,41.9011,41.99,10394509
2024-12-13,42.0,43.94,40.66,41.0,5035723
2024-12-16,41.89,42.25,39.0,39.88,4625674
2024-12-17,40.0,40.9,38.68,38.95,4256877
2024-12-18,39.65,39.73,34.25,34.295,7187626
2024-12-19,35.3,35.636,32.59,33.03,5137604
2024-12-20,32.49,36.17,32.4,35.54,5628493
2024-12-23,36.43,36.801,33.42,34.91,3427685
2024-12-24,35.25,35.4,34.05,34.79,1169599
2024-12-26,34.68,36.13,34.15,35.29,2896237
2024-12-27,36.915,38.02,34.69,35.12,4446946
2024-12-30,34.57,34.5839,32.97,33.87,2859934
2024-12-31,34.01,34.58,32.97,33.76,2068634
2025-01-02,33.89,35.2899,32.96,34.25,2732760
2025-01-03,34.26,39.2,34.18,38.25,4645632
2025-01-06,39.75,41.6,38.81,40.76,4694398
2025-01-07,41.618,41.8999,38.13,38.875,3247528
2025-01-08,38.78,40.8,36.72,37.49,2979679
2025-01-10,36.4,37.99,34.82,37.52,2200204
2025-01-13,33.69,34.74,31.36,32.34,7383844
2025-01-14,33.1,34.62,31.66,31.83,4021222
2025-01-15,33.47,37.5,33.0,34.92,5333268
2025-01-16,35.8,35.97,32.9,34.75,2745486
2025-01-17,35.15,35.93,34.35,35.15,2428676
2025-01-21,42.84,49.83,41.75,47.64,33383591
2025-01-22,51.67,52.83,47.18,50.45,26095208
2025-01-23,49.72,56.5399,47.22,54.84,23187071
2025-01-24,55.0,55.6,51.25,51.4,13003412
2025-01-27,49.62,54.57,48.08,51.86,13039168
2025-01-28,52.0,52.7799,48.31,51.02,7567168
2025-01-29,51.315,56.46,49.7484,50.77,10788302
2025-01-30,52.815,58.51,52.2001,57.19,17139463
2025-01-31,60.0,62.15,56.33,57.39,17835437
2025-02-03,53.63,61.75,52.9711,61.54,15427827
2025-02-04,65.055,65.34,60.59,61.85,15663835
2025-02-05,64.3,71.292,63.52,69.18,22629799
2025-02-06,71.39,71.39,64.15,64.99,17204586
2025-02-07,66.7,69.92,65.8,68.96,16304343
2025-02-10,70.2,71.3,66.25,68.36,15837016
2025-02-11,67.89,78.6696,67.65,71.21,31609865
2025-02-12,68.43,74.779,68.03,73.88,18976698
2025-02-13,77.165,86.0,75.8,83.75,29136751
2025-02-14,87.77,91.45,84.09,89.44,25066000
2025-02-18,90.09,91.28,78.8,81.95,22148781
2025-02-19,83.94,86.89,79.0,85.71,16273079
2025-02-20,79.99,80.22,72.1,76.72,20440544
2025-02-21,76.51,77.0,67.74,68.09,14903986
2025-02-24,69.85,74.1999,65.37,69.57,20023735
2025-02-25,58.49,65.8,55.2,59.1,26370229
2025-02-26,60.102,66.87,59.0,62.26,18646431
2025-02-27,63.35,63.65,55.15,55.3,17716968
2025-02-28,52.14,56.71,50.5,56.18,13951432
2025-03-03,57.545,57.59,50.03,50.93,11065334
2025-03-04,53.85,53.91,52.1555,52.73,2069370
2025-03-05,52.94,53.3391,49.35,53.06,10375502
2025-03-06,50.465,52.23,48.0103,48.86,9706685
2025-03-07,48.46,50.9235,45.01,49.1,9331043
2025-03-10,48.06,48.49,43.5301,45.17,10037675
2025-03-11,44.55,47.36,44.05,45.58,8815996
2025-03-12,48.75,49.5999,44.1606,45.5,12937340
2025-03-13,45.98,47.015,42.1,42.165,9199655
2025-03-14,43.9,47.46,43.2476,47.17,10933407
2025-03-17,46.805,50.86,45.85,49.87,9724279
2025-03-18,47.79,47.9559,45.05,45.74,9706408
2025-03-19,46.53,49.71,45.67,48.03,11044736
2025-03-20,47.6,49.49,47.02,48.04,8851086
2025-03-21,46.83,51.78,45.48,51.35,9873586
2025-03-24,54.94,59.21,54.1832,59.0,14332754
2025-03-25,59.0,61.5,55.69,58.57,13503617
2025-03-26,57.935,59.5499,53.2,53.25,9350237
2025-03-27,52.4,55.88,51.87,51.97,9357133
2025-03-28,51.09,51.2556,47.04,47.83,9151532
2025-03-31,45.49,48.8,44.2827,48.24,7460334
2025-04-01,48.27,49.1299,45.46,47.22,7697529
2025-04-02,45.805,50.04,45.44,49.89,8482828
2025-04-03,45.41,47.87,45.405,46.17,8116136
2025-04-04,44.93,45.81,40.03,42.58,11553927
2025-04-07,39.12,45.9822,37.68,42.7,12733510
2025-04-08,44.1145,44.135,36.5001,37.23,12149669
2025-04-09,37.68,45.0,36.22,43.79,18774415
2025-04-10,42.845,43.0016,38.37,40.29,8695813
2025-04-11,40.93,42.35,38.79,42.12,8544077
2025-04-14,44.02,44.77,41.9566,43.13,7744852
2025-04-15,43.155,43.8364,41.35,42.93,5215413
2025-04-16,41.48,42.13,40.04,40.86,5164272
2025-04-17,41.14,41.6461,40.16,40.45,4561845
2025-04-21,39.94,41.6,39.01,40.98,8881003
2025-04-22,41.8,45.48,41.67,43.23,9270610
2025-04-23,47.315,51.32,47.0,49.55,18688540
2025-04-24,50.4,53.54,49.41,53.5,10456804
2025-04-25,53.21,54.55,52.22,52.9,8982349
2025-04-28,53.96,56.49,52.17,53.77,10848136
2025-04-29,55.37,56.9,52.68,54.29,9837136
2025-04-30,51.195,52.25,50.05,51.67,8040882
2025-05-01,53.5,54.31,51.51,51.85,6355220
2025-05-02,52.75,58.68,52.6,57.06,12300775
2025-05-05,55.59,55.7499,52.8,54.07,9171240
2025-05-06,51.55,53.63,50.8001,52.19,12861274
2025-05-07,52.125,58.8,48.7108,58.76,28657537
2025-05-08,58.315,66.415,57.57,65.22,24828698
2025-05-09,66.26,66.2999,60.5,61.37,15475532
2025-05-12,64.73,65.0,60.1,62.69,15841779
2025-05-13,65.0,71.42,64.0,68.91,21722797
2025-05-14,70.675,71.97,64.27,64.78,15393749
2025-05-15,64.8,65.75,60.92,62.6,11145641
2025-05-16,64.09,65.67,61.63,65.49,9735351
2025-05-19,61.88,63.77,60.3201,63.74,10766571
2025-05-20,64.0,66.65,61.2656,62.43,14785286
2025-05-21,62.9,65.88,57.8,58.14,19831402
2025-05-22,58.315,61.73,57.01,59.25,12346466
2025-05-23,57.37,62.88,57.25,62.56,10317388
2025-05-27,64.645,68.75,63.88,65.87,16733488
2025-05-28,63.99,64.25,52.55,53.2,49898433
2025-05-29,54.75,56.47,52.62,54.43,19305995
2025-05-30,54.75,56.63,53.6,55.18,14140908
2025-06-02,55.23,65.35488,55.12,63.47,31411569
2025-06-03,62.2,63.6338,60.83,61.96,12231490
