DateTime,Open,High,Low,Close,Volume
2008-01-02,7.2,7.2,6.98,7.0,15200
2008-01-03,29.74,29.85,29.05,29.12,5604900
2008-01-04,28.86,28.86,27.07,27.36,10484600
2008-01-07,27.96,28.2,27.23,27.77,7311300
2008-01-08,27.97,28.28,26.75,26.88,6870900
2008-01-09,26.87,27.25,25.92,27.25,7552100
2008-01-10,27.1,28.05,26.86,27.61,8340800
2008-01-11,27.41,28.38,26.59,28.16,8519800
2008-01-14,28.54,28.54,27.8,28.38,5756800
2008-01-15,28.08,28.08,27.0,27.32,6534400
2008-01-16,27.49,28.82,27.11,28.19,7022600
2008-01-17,28.95,29.88,28.43,28.71,12888100
2008-01-18,29.42,30.38,28.85,29.42,9707200
2008-01-22,27.9,31.76,27.86,30.51,12017400
2008-01-23,29.56,35.12,29.14,34.14,19597300
2008-01-24,34.26,36.15,33.88,34.93,14215200
2008-01-25,35.2,35.48,33.79,34.01,7701900
2008-01-28,33.99,35.18,33.54,35.01,5256000
2008-01-29,35.3,35.7,34.57,35.55,5065000
2008-01-30,35.33,36.72,35.1,35.28,5306300
2008-01-31,34.74,36.71,34.0,36.22,8973400
2008-02-01,36.36,36.96,35.8,36.8,8354500
2008-02-04,36.79,36.95,35.01,35.25,4892000
2008-02-05,34.74,35.02,34.0,34.1,5332600
2008-02-06,34.4,34.82,33.6,33.87,4615100
2008-02-07,33.62,34.96,33.6,34.62,4488900
2008-02-08,34.68,34.68,32.79,33.4,5016400
2008-02-11,33.32,33.4,32.32,33.08,4015600
2008-02-12,33.22,34.28,33.19,33.89,4884400
2008-02-13,34.29,34.42,33.03,33.76,3075900
2008-02-14,33.7,34.12,33.12,33.35,3795900
2008-02-15,33.15,33.56,32.7,33.25,4339800
2008-02-19,33.55,33.89,32.42,32.83,3609200
2008-02-20,32.51,33.99,32.43,33.67,4409000
2008-02-21,33.85,34.09,32.83,32.89,2593700
2008-02-22,32.96,34.05,32.5,33.99,4109900
2008-02-25,34.01,34.32,33.14,34.16,4361600
2008-02-26,34.06,34.73,33.9,34.29,2965800
2008-02-27,34.01,34.74,33.73,33.89,3709200
2008-02-28,33.71,33.71,32.66,32.74,3875000
2008-02-29,32.52,32.61,31.02,31.13,6063700
2008-03-03,31.04,31.26,30.2,30.6,6659600
2008-03-04,30.38,30.91,29.62,30.71,7334000
2008-03-05,31.09,31.99,30.74,31.15,6701500
2008-03-06,31.06,31.1,29.75,29.82,4410100
2008-03-07,29.76,31.15,29.5,30.09,9229700
2008-03-10,30.06,30.91,29.68,30.1,5975800
2008-03-11,30.98,32.86,30.98,32.86,9835700
2008-03-12,32.74,34.11,32.0,32.0,6904800
2008-03-13,31.61,32.18,30.59,31.94,7637700
2008-03-14,32.11,32.75,30.7,31.33,8841000
2008-03-17,30.44,32.5,30.09,31.94,10974500
2008-03-18,32.61,33.44,31.73,33.13,8623900
2008-03-19,33.72,34.08,32.91,33.22,6730100
2008-03-20,33.39,35.22,33.39,35.07,7896700
2008-03-24,35.14,36.5,34.93,35.27,7534900
2008-03-25,35.44,35.44,34.42,35.08,5228600
2008-03-26,34.83,34.86,33.32,33.53,6816400
2008-03-27,33.68,33.98,32.5,32.66,6679100
2008-03-28,32.88,33.38,32.34,32.46,5055600
2008-03-31,32.42,32.84,31.82,32.06,5207100
2008-04-01,33.3,34.26,32.74,34.18,6279000
2008-04-02,34.48,35.0,33.97,34.17,3848800
2008-04-03,34.03,34.47,33.38,34.24,4856500
2008-04-04,34.25,34.47,33.8,34.04,4487000
2008-04-07,34.23,34.97,34.11,34.28,3538300
2008-04-08,34.1,34.24,33.35,33.63,3804200
2008-04-09,33.72,33.94,33.33,33.44,4290600
2008-04-10,33.13,33.13,31.71,32.5,6302400
2008-04-11,32.18,33.19,31.9,31.93,6325600
2008-04-14,31.79,31.93,30.35,30.45,8015500
2008-04-15,31.15,31.59,30.65,31.33,6133400
2008-04-16,31.72,32.83,31.72,32.6,5673300
2008-04-17,32.82,34.13,31.86,33.56,8994100
2008-04-18,34.52,35.48,34.15,34.53,9923500
2008-04-21,34.39,34.52,33.33,33.5,4260500
2008-04-22,33.41,33.77,32.89,33.34,3517800
2008-04-23,33.31,33.91,33.1,33.27,3776900
2008-04-24,33.26,34.86,33.26,34.67,4722000
2008-04-25,34.79,35.51,34.31,35.28,4427500
2008-04-28,35.08,35.94,35.0,35.65,5804000
2008-04-29,35.5,35.75,34.74,34.79,3398700
2008-04-30,34.67,35.19,34.1,34.29,5528900
2008-05-01,34.56,36.82,34.13,36.79,8927900
2008-05-02,36.94,37.85,36.23,36.49,4269600
2008-05-05,36.6,36.6,35.8,36.34,4877300
2008-05-06,35.66,36.5,35.02,36.27,4118600
2008-05-07,36.49,36.55,35.06,35.15,3046000
2008-05-08,35.6,35.6,34.13,34.5,3558900
2008-05-09,34.32,34.84,33.98,34.06,4132100
2008-05-12,34.22,35.42,34.09,35.3,3923800
2008-05-13,35.25,35.75,34.58,34.88,4296100
2008-05-14,34.98,35.7,34.88,35.38,4401800
2008-05-15,35.47,35.82,35.05,35.82,4368400
2008-05-16,35.95,35.95,33.95,34.28,5532800
2008-05-19,34.4,35.35,34.23,34.46,4954500
2008-05-20,34.18,34.29,33.5,33.66,4200400
