DateTime,Open,High,Low,Close,Volume
2022-08-25,7.58,7.79,7.38,7.63,1781900
2022-08-26,7.71,7.73,6.64,6.76,2648300
2022-08-29,6.56,6.81,6.43,6.59,1841100
2022-08-30,6.73,6.93,6.35,6.77,2566000
2022-08-31,6.9,7.235,6.9,7.13,2092000
2022-09-01,7.07,7.38,6.735,7.36,2124500
2022-09-02,7.46,7.5,6.78,6.8,1960400
2022-09-06,6.66,6.8,5.68,5.82,3153000
2022-09-07,5.81,6.86,5.688,6.8,3154500
2022-09-08,6.6,7.08,6.58,6.95,1899300
2022-09-09,7.01,7.255,6.81,7.21,2059800
2022-09-12,7.19,7.74,7.05,7.6,2684700
2022-09-13,7.33,7.38,6.63,6.85,3971600
2022-09-14,6.83,7.105,6.41,7.08,3033300
2022-09-15,7.01,7.55,6.98,7.3,2221400
2022-09-16,7.1,7.14,6.61,6.79,6438500
2022-09-19,6.69,6.87,6.44,6.73,2117400
2022-09-20,6.65,6.855,6.52,6.59,1490600
2022-09-21,6.65,6.73,6.245,6.29,1834600
2022-09-22,6.22,6.225,5.98,6.09,2122800
2022-09-23,6.0,6.08,5.55,5.74,2584500
2022-09-26,5.72,6.19,5.55,5.58,2024200
2022-09-27,5.77,6.135,5.74,6.0,2488900
2022-09-28,6.19,6.59,6.1,6.49,2720200
2022-09-29,6.35,6.38,5.94,5.99,2460000
2022-09-30,5.94,6.42,5.86,5.92,2058200
2022-10-03,6.02,6.35,5.82,6.0,2123500
2022-10-04,6.17,6.51,6.13,6.44,2857900
2022-10-05,6.24,6.43,5.93,6.26,2041400
2022-10-06,6.2,6.37,6.0,6.15,1674000
2022-10-07,5.96,6.03,5.64,5.66,2445700
2022-10-10,5.63,5.63,5.21,5.22,1991700
2022-10-11,5.2,5.585,5.01,5.37,2734200
2022-10-12,5.38,5.71,5.23,5.69,1795900
2022-10-13,5.4,5.78,5.33,5.72,1654300
2022-10-14,5.815,5.88,5.4,5.43,1721600
2022-10-17,5.75,6.02,5.51,5.96,2284000
2022-10-18,6.15,6.21,5.565,5.71,2655000
2022-10-19,5.58,5.71,5.05,5.13,3780100
2022-10-20,5.1,5.405,4.975,5.01,1999700
2022-10-21,5.01,5.23,4.86,5.21,2025900
2022-10-24,5.24,5.245,4.875,5.09,1782100
2022-10-25,5.18,5.53,5.18,5.38,2620100
2022-10-26,5.33,5.92,5.33,5.53,2024400
2022-10-27,5.62,5.74,5.24,5.31,2464300
2022-10-28,5.37,5.74,5.19,5.72,2067000
2022-10-31,5.68,5.895,5.51,5.82,2308700
2022-11-01,5.98,6.355,5.9,6.28,3317100
2022-11-02,6.25,6.52,5.875,6.02,2368900
2022-11-03,5.93,6.28,5.78,5.88,1552400
2022-11-04,5.97,6.04,5.47,5.84,1964100
2022-11-07,5.84,6.06,5.59,5.66,1220600
2022-11-08,5.83,5.92,5.54,5.61,2255100
2022-11-09,5.5,5.65,5.16,5.16,2496200
2022-11-10,5.83,8.84,5.82,8.43,13150200
2022-11-11,8.34,9.6,8.3,9.34,6969700
2022-11-14,9.35,9.7,8.69,8.71,3786000
2022-11-15,9.23,9.5,8.71,8.81,3492400
2022-11-16,8.61,8.93,8.275,8.46,2425000
2022-11-17,8.28,8.59,8.08,8.32,1756600
2022-11-18,8.57,8.57,7.55,7.97,2879500
2022-11-21,7.84,8.44,7.706,8.29,2751300
2022-11-22,8.34,8.34,7.645,8.13,2119500
2022-11-23,8.13,8.31,8.075,8.17,1570600
2022-11-25,8.02,8.248,7.95,8.11,609500
2022-11-28,8.12,8.335,7.925,7.98,1663300
2022-11-29,8.0,8.28,7.895,8.13,1810600
2022-11-30,8.19,8.85,8.13,8.82,3138700
2022-12-01,8.88,8.88,7.803,8.02,3615000
2022-12-02,7.98,8.825,7.65,8.77,3452500
2022-12-05,8.73,8.78,8.08,8.16,3698100
2022-12-06,8.2,8.57,8.038,8.37,2347900
2022-12-07,8.27,8.519,8.02,8.31,1854900
2022-12-08,8.462,8.717,8.13,8.2,2223000
2022-12-09,8.2,8.338,7.48,7.52,4501500
2022-12-12,7.56,8.68,7.41,8.56,5127000
2022-12-13,8.94,9.12,8.475,9.06,3290400
2022-12-14,9.06,9.33,8.805,9.15,3328500
2022-12-15,8.97,9.07,8.55,8.62,3452400
2022-12-16,8.46,8.59,7.5,7.92,9655600
2022-12-19,8.05,8.17,7.615,8.04,3249300
2022-12-20,7.97,8.67,7.88,8.58,3167300
2022-12-21,8.68,9.53,8.55,8.83,4526700
2022-12-22,8.8,8.86,8.14,8.58,3425600
2022-12-23,8.68,8.71,7.76,8.12,3884800
2022-12-27,8.19,8.419,7.77,7.82,4984700
2022-12-28,7.9,11.48,6.88,8.46,31685900
2022-12-29,9.18,11.116,8.71,10.4,32775500
2022-12-30,10.91,11.88,10.41,11.83,23156700
2023-01-03,12.045,12.24,11.27,11.57,9038700
2023-01-04,11.7,11.7,10.48,10.72,9109100
