DateTime,Open,High,Low,Close,Volume
2016-11-22,71.5,71.5,60.0,61.74,2570
2016-11-23,62.3,64.0,62.3,62.4,190
2016-11-25,61.0,61.0,61.0,61.0,70
2016-11-28,65.0,65.0,60.5,60.5,610
2016-11-29,60.5,61.53,60.5,61.53,610
2016-11-30,65.0,66.4,61.0,65.2,9230
2016-12-01,66.0,66.0,63.1,65.0,1370
2016-12-02,64.0,64.0,64.0,64.0,50
2016-12-05,63.1,63.1,58.5,59.2,1670
2016-12-07,58.97,59.48,58.97,59.48,80
2016-12-08,58.5,59.27,58.0,58.5,480
2016-12-09,58.1,59.04,58.0,58.0,800
2016-12-12,49.2,52.3,49.2,52.3,70
2016-12-13,52.0,55.0,52.0,53.5,780
2016-12-14,57.77,58.0,56.0,57.48,390
2016-12-15,56.5,56.5,45.0,52.0,4830
2016-12-16,60.9,63.9,58.05,59.9,5990
2016-12-19,62.4,65.9,60.5,62.5,3790
2016-12-20,63.0,63.4,58.6,60.01,2050
2016-12-21,59.2,61.29,59.2,61.1,700
2016-12-22,60.0,61.5,59.28,61.5,870
2016-12-23,61.05,61.05,58.0,58.0,2090
2016-12-27,59.0,59.0,57.8,57.8,1100
2016-12-28,58.0,66.0,53.0,54.1,16980
2016-12-29,59.5,59.5,55.1,55.4,140
2016-12-30,58.0,58.0,54.1,54.1,180
2017-01-03,55.66,57.9,55.08,55.08,250
2017-01-04,55.0,57.58,55.0,56.3,450
2017-01-05,55.5,56.61,54.1,56.28,630
2017-01-06,56.2,58.1,56.2,57.3,420
2017-01-09,58.02,58.02,48.0,51.2,4010
2017-01-10,51.9,52.0,51.5,51.9,140
2017-01-11,50.6,51.8,48.6,49.1,1210
2017-01-12,50.0,54.9,50.0,51.8,3740
2017-01-13,52.0,52.0,49.0,49.45,2070
2017-01-17,49.74,50.7,49.0,49.8,870
2017-01-18,50.0,51.0,49.0,50.0,1240
2017-01-19,51.0,56.1,50.1,50.5,6640
2017-01-20,50.1,52.32,50.1,51.1,440
2017-01-23,50.7,51.4,49.0,49.2,3020
2017-01-24,49.64,49.64,47.6,47.6,650
2017-01-25,46.9,46.9,43.5,43.9,1510
2017-01-26,44.46,44.46,38.5,38.5,2700
2017-01-27,42.0,44.0,40.4,43.51,1350
2017-01-30,45.3,49.25,45.3,49.0,1810
2017-01-31,49.0,49.0,47.42,48.29,300
2017-02-01,48.8,60.6,48.8,49.63,9770
2017-02-02,50.0,50.0,47.5,47.84,1560
2017-02-03,49.0,49.0,47.5,48.0,1070
2017-02-06,48.45,48.49,47.5,48.0,520
2017-02-07,47.5,47.7,46.25,47.5,2280
2017-02-08,46.6,50.0,46.6,48.2,1950
2017-02-09,48.1,54.9,48.1,51.0,8910
2017-02-10,51.0,53.0,50.33,50.6,720
2017-02-13,52.1,53.0,47.0,47.0,6440
2017-02-14,47.0,47.4,46.0,46.33,640
2017-02-15,46.3,46.5,45.0,45.6,2350
2017-02-16,46.5,46.5,44.78,45.09,2230
2017-02-17,45.0,47.35,45.0,46.0,340
2017-02-21,43.0,47.1,43.0,44.0,2120
2017-02-22,43.0,45.0,41.7,43.0,2150
2017-02-23,43.7,44.0,43.2,43.2,440
2017-02-24,45.2,45.2,43.0,43.35,730
2017-02-27,44.8,44.8,41.87,42.78,750
2017-02-28,44.0,44.0,42.5,42.6,450
2017-03-01,42.1,44.0,42.1,43.0,380
2017-03-02,43.7,43.8,39.1,39.1,2070
2017-03-03,41.2,41.6,39.0,39.5,2720
2017-03-06,40.2,40.45,39.5,40.4,330
2017-03-07,40.3,40.3,36.5,39.1,1230
2017-03-08,36.5,40.0,36.5,37.7,510
2017-03-09,37.0,39.7,37.0,37.7,970
2017-03-10,37.5,37.7,36.5,36.7,1940
2017-03-13,36.5,39.5,36.5,39.0,3310
2017-03-14,38.83,39.7,37.8,38.9,1260
2017-03-15,38.4,40.0,38.4,39.4,880
2017-03-16,37.8,41.4,37.8,40.5,660
2017-03-17,40.5,41.08,36.6,36.7,2670
2017-03-20,36.6,40.0,36.6,37.8,410
2017-03-21,39.11,40.58,36.5,40.07,200
2017-03-22,39.65,39.65,39.65,39.65,220
2017-03-23,39.15,39.15,39.15,39.15,20
2017-03-24,38.5,40.25,38.36,39.1,330
2017-03-27,37.6,39.9,36.4,37.2,2630
2017-03-28,36.4,40.0,36.4,37.8,3590
2017-03-29,36.3,39.6,36.3,38.8,2190
2017-03-30,39.4,39.8,37.9,38.6,3170
2017-03-31,39.7,40.0,36.7,37.4,820
2017-04-03,37.0,43.3,37.0,41.1,4530
2017-04-04,42.0,42.36,40.2,42.0,1840
2017-04-05,42.72,43.68,42.0,42.1,1420
2017-04-06,42.8,45.0,42.5,42.5,470
2017-04-07,45.0,45.8,44.1,45.1,2250
2017-04-10,46.2,47.7,45.23,47.7,2760
2017-04-11,47.3,48.0,45.0,46.6,1270
2017-04-12,47.3,47.3,45.4,46.1,410
2017-04-13,47.2,48.0,45.9,45.9,1290
2017-04-17,45.6,45.8,45.5,45.5,320
2017-04-18,47.61,48.32,46.5,48.32,80
2017-04-19,47.4,48.5,46.2,48.4,1360
2017-04-20,47.8,47.8,47.5,47.5,30
2017-04-21,47.0,48.33,45.7,48.33,1470
2017-04-24,47.4,48.4,46.3,46.5,1480
2017-04-25,47.9,50.1,47.9,49.66,5030
2017-04-26,50.0,50.0,46.2,48.9,4120
2017-04-27,48.8,49.9,47.3,49.9,6630
2017-04-28,48.3,49.8,48.3,49.8,740
2017-05-01,49.7,49.7,47.5,48.0,3250
2017-05-02,48.7,49.8,46.3,46.5,4420
2017-05-03,46.6,48.5,46.2,46.5,4700
2017-05-04,49.8,49.8,46.25,46.7,5310
2017-05-05,48.0,49.2,46.5,46.5,3460
2017-05-08,46.0,48.0,43.0,43.5,4220
2017-05-09,42.5,45.0,40.3,41.4,2270
2017-05-10,40.43,40.43,35.5,38.6,7780
2017-05-11,38.5,40.6,38.0,38.0,590
2017-05-12,38.5,39.49,38.3,38.3,1970
2017-05-15,39.0,39.0,37.7,37.9,1420
2017-05-16,38.0,39.4,37.7,38.5,2910
2017-05-17,39.0,39.0,37.7,38.25,470
2017-05-18,37.4,37.8,36.0,36.8,2040
2017-05-19,36.03,38.4,36.0,36.0,1080
2017-05-22,37.4,37.4,34.0,34.0,2690
2017-05-23,33.8,35.0,32.5,34.9,1900
2017-05-24,34.7,34.84,34.0,34.0,450
2017-05-25,33.9,38.3,33.8,36.9,2090
2017-05-26,38.6,38.6,35.3,38.4,260
2017-05-30,38.0,39.6,36.7,39.2,1330
2017-05-31,38.84,41.4,38.1,41.4,2540
2017-06-01,42.4,42.4,38.5,39.8,2120
2017-06-02,39.9,41.7,37.0,41.2,2980
2017-06-05,41.5,41.5,40.1,40.8,1550
2017-06-06,41.0,41.25,40.2,40.7,1050
2017-06-07,40.8,40.8,40.8,40.8,2000
2017-06-09,40.56,42.0,40.5,40.6,690
2017-06-12,40.7,41.4,39.95,41.3,460
2017-06-13,40.7,41.2,39.5,39.5,1880
2017-06-14,40.0,40.0,39.5,39.86,580
2017-06-15,40.8,40.9,39.5,39.5,390
2017-06-16,39.5,41.0,35.05,36.9,2940
2017-06-19,38.1,38.4,33.1,36.8,3730
2017-06-20,37.5,39.5,35.5,35.7,5970
2017-06-21,35.78,36.26,34.6,34.8,890
2017-06-22,35.1,36.46,34.2,34.2,1560
2017-06-23,34.7,36.0,32.5,34.9,3570
2017-06-26,35.0,36.33,32.6,34.0,5530
2017-06-27,34.01,34.8,33.5,34.0,2190
2017-06-28,34.0,35.0,32.6,34.9,3660
2017-06-29,35.0,36.7,34.0,34.0,7290
2017-06-30,35.0,35.0,32.7,34.2,790
2017-07-03,33.0,34.4,32.7,34.3,2460
2017-07-05,35.1,36.6,32.7,32.9,4130
2017-07-06,32.9,33.0,32.7,32.7,740
2017-07-07,33.2,34.9,32.8,33.8,2660
2017-07-10,33.8,35.0,32.0,32.0,4120
2017-07-11,30.1,31.0,28.1,30.0,2230
2017-07-12,29.8,31.9,29.8,30.6,800
2017-07-13,31.2,31.53,28.6,30.8,2660
2017-07-14,33.4,33.63,30.29,31.4,2640
2017-07-17,31.4,33.3,31.36,33.3,550
2017-07-18,32.2,32.8,31.0,31.3,1690
2017-07-19,32.0,32.72,30.5,30.6,2510
2017-07-20,31.39,33.0,30.6,31.4,6300
2017-07-21,31.1,31.9,30.5,30.6,4280
2017-07-24,33.32,33.5,31.1,31.9,1120
2017-07-25,31.5,32.4,30.7,30.7,1600
2017-07-26,31.6,31.8,31.3,31.8,60
2017-07-27,31.77,31.77,31.1,31.1,170
2017-07-28,31.4,31.5,31.0,31.5,590
2017-07-31,31.5,34.0,30.2,33.9,4930
2017-08-01,34.0,34.0,32.51,33.8,700
2017-08-02,32.6,32.78,32.1,32.2,970
2017-08-03,32.15,32.15,30.41,30.6,2120
2017-08-04,31.4,33.4,31.4,33.2,4060
2017-08-07,32.8,33.5,31.4,32.5,2820
2017-08-08,32.0,32.0,31.75,31.9,400
2017-08-09,31.8,31.9,30.4,31.5,7460
2017-08-10,31.53,31.53,30.4,30.4,250
2017-08-11,32.4,32.4,30.5,30.5,50
2017-08-14,31.6,33.5,30.4,33.5,470
2017-08-15,32.1,33.35,30.95,32.0,290
2017-08-16,31.84,32.0,31.2,32.0,160
2017-08-17,31.5,31.6,30.8,31.3,1420
2017-08-18,31.9,33.5,31.55,33.5,1800
2017-08-21,33.0,33.0,30.4,30.4,4210
2017-08-22,31.0,31.1,30.1,30.4,2280
2017-08-23,30.4,32.2,30.0,30.0,3800
2017-08-24,30.0,30.0,30.0,30.0,30
2017-08-25,29.8,30.65,29.5,30.6,530
2017-08-28,29.78,31.83,28.93,30.3,1630
2017-08-29,30.5,31.8,30.5,31.8,1750
2017-08-30,31.8,32.1,30.3,32.0,1270
2017-08-31,31.8,32.6,31.11,32.6,230
2017-09-01,32.7,32.7,30.7,31.0,4400
2017-09-05,31.0,31.9,30.62,31.9,480
2017-09-06,31.9,33.0,30.9,30.9,340
2017-09-07,32.1,32.88,32.1,32.4,720
2017-09-08,32.79,32.9,30.7,32.4,2050
2017-09-11,33.0,37.4,33.0,34.3,6480
2017-09-12,35.4,36.5,33.3,36.4,3560
2017-09-13,36.7,36.7,35.2,36.5,1290
2017-09-14,34.5,36.5,34.5,36.0,680
2017-09-15,36.0,38.05,36.0,36.1,780
2017-09-18,37.0,38.8,36.0,38.7,1470
2017-09-19,38.1,38.39,37.05,37.58,1600
2017-09-20,37.8,37.8,36.1,36.1,3540
2017-09-21,36.6,37.1,35.5,35.9,4680
2017-09-22,35.7,36.4,35.22,36.3,1160
2017-09-25,36.4,37.3,34.9,36.4,3660
2017-09-26,41.2,43.7,36.0,39.6,20430
2017-09-27,41.0,41.0,36.61,38.28,13140
2017-09-28,37.8,41.5,37.0,40.2,15470
2017-09-29,40.5,41.5,39.4,41.2,4370
2017-10-02,41.3,41.5,36.7,37.7,6060
2017-10-03,36.0,36.0,32.5,34.4,13350
2017-10-04,33.2,34.62,33.0,33.8,4600
2017-10-05,34.0,35.5,32.7,33.5,9050
2017-10-06,32.9,33.5,32.1,33.1,2500
2017-10-09,34.0,34.5,32.5,33.1,4470
