DateTime,Open,High,Low,Close,Volume
2000-01-04,2.5333,2.55,2.5167,2.5167,48015
2000-01-05,2.5417,2.5417,2.5208,2.5292,86985
2000-01-06,2.5375,2.5833,2.5333,2.55,46485
2000-01-07,2.5667,2.5917,2.5167,2.5167,148500
2000-01-10,2.5,2.525,2.5,2.5167,61515
2000-01-11,2.4667,2.5333,2.4667,2.5083,111015
2000-01-12,2.5083,2.5917,2.5083,2.5917,76500
2000-01-13,2.5917,2.625,2.5667,2.5833,181485
2000-01-14,2.6,2.6583,2.6,2.6083,61515
2000-01-18,2.6167,2.6958,2.6167,2.6417,93015
2000-01-19,2.625,2.6333,2.6,2.6083,72000
2000-01-20,2.625,2.625,2.575,2.575,66015
2000-01-21,2.5667,2.6,2.5667,2.6,126000
2000-01-24,2.6,2.6333,2.5917,2.6333,55485
2000-01-25,2.625,2.6333,2.6167,2.625,25515
2000-01-26,2.625,2.6417,2.625,2.6417,28485
2000-01-27,2.625,2.625,2.6083,2.6083,52515
2000-01-28,2.6,2.6,2.6,2.6,7515
2000-01-31,2.6,2.725,2.5958,2.7208,203985
2000-02-01,2.7125,2.775,2.7125,2.7667,40500
2000-02-02,2.775,2.8417,2.775,2.8417,104985
2000-02-03,2.8375,2.8667,2.8333,2.8667,115515
2000-02-04,2.85,2.85,2.775,2.7833,102015
2000-02-07,2.7333,2.7333,2.675,2.6792,115515
2000-02-08,2.675,2.6958,2.675,2.6833,48015
2000-02-09,2.6833,2.6833,2.65,2.65,77985
2000-02-10,2.6667,2.6667,2.5917,2.5958,84015
2000-02-11,2.5833,2.6,2.5792,2.6,19485
2000-02-14,2.6,2.6083,2.5833,2.6083,48015
2000-02-15,2.5917,2.6083,2.5833,2.6,36000
2000-02-16,2.5833,2.5917,2.5667,2.5667,68985
2000-02-17,2.5667,2.575,2.5417,2.5458,52515
2000-02-18,2.5417,2.55,2.5375,2.5417,41985
2000-02-22,2.525,2.525,2.4833,2.5083,112500
2000-02-23,2.4958,2.5042,2.4958,2.5,39015
2000-02-24,2.4958,2.525,2.475,2.475,109485
2000-02-25,2.4708,2.475,2.425,2.4417,91485
2000-02-28,2.4583,2.4667,2.4333,2.4333,55485
2000-02-29,2.4375,2.4417,2.4208,2.425,66015
2000-03-01,2.4292,2.4292,2.4,2.4,93015
2000-03-02,2.4,2.425,2.3917,2.425,106515
2000-03-03,2.4333,2.4583,2.4167,2.4167,118485
2000-03-06,2.3875,2.3917,2.3667,2.3917,30015
2000-03-07,2.4,2.4417,2.4,2.4,104985
2000-03-08,2.4083,2.4292,2.4,2.4083,54000
2000-03-09,2.4,2.4042,2.3833,2.4042,28485
2000-03-10,2.4167,2.4583,2.4083,2.4583,58500
2000-03-13,2.425,2.4583,2.4167,2.4167,54000
2000-03-14,2.4,2.4167,2.3917,2.4167,59985
2000-03-15,2.4,2.4333,2.375,2.4333,75015
2000-03-16,2.45,2.4833,2.45,2.475,61515
2000-03-17,2.4667,2.4833,2.4417,2.4583,37485
2000-03-20,2.4625,2.5583,2.4625,2.5167,157500
2000-03-21,2.5,2.5417,2.5,2.5417,72000
2000-03-22,2.55,2.6083,2.55,2.5917,115515
2000-03-23,2.5792,2.5833,2.5375,2.5375,27000
2000-03-24,2.5708,2.6417,2.5708,2.6,157500
2000-03-27,2.6167,2.6167,2.5417,2.5417,59985
2000-03-28,2.55,2.5917,2.55,2.5708,49500
2000-03-29,2.5625,2.5833,2.5583,2.5833,32985
2000-03-30,2.5833,2.6,2.5833,2.5833,46485
2000-03-31,2.5667,2.5917,2.5542,2.5833,118485
2000-04-03,2.5833,2.5833,2.55,2.55,32985
2000-04-04,2.55,2.55,2.475,2.475,189000
2000-04-05,2.4833,2.5,2.4833,2.5,13500
2000-04-06,2.5167,2.5167,2.4833,2.5083,54000
2000-04-07,2.525,2.525,2.4833,2.4917,59985
2000-04-10,2.475,2.4917,2.45,2.4542,75015
2000-04-11,2.4458,2.45,2.4333,2.4333,45000
2000-04-12,2.4333,2.45,2.4,2.45,91485
2000-04-13,2.4417,2.525,2.4417,2.5167,63000
2000-04-14,2.5083,2.5083,2.45,2.45,190485
2000-04-17,2.4417,2.4417,2.4167,2.4208,176985
2000-04-18,2.4167,2.425,2.4167,2.425,81000
2000-04-19,2.4208,2.4417,2.4,2.4417,122985
2000-04-20,2.45,2.4583,2.4417,2.4583,21015
2000-04-24,2.4667,2.4667,2.4583,2.4667,12015
2000-04-25,2.4583,2.4667,2.4417,2.4458,45000
2000-04-26,2.4583,2.4667,2.4583,2.4667,19485
2000-04-28,2.4333,2.4375,2.4167,2.4375,100485
