DateTime,Open,High,Low,Close,Volume
2015-12-15,28.48,29.09,27.049999,28.25,1436500
2015-12-16,28.049999,29.02,27.37,28.28,1477800
2015-12-17,28.43,28.54,25.35,26.42,1960300
2015-12-18,26.48,27.75,25.48,25.74,2749200
2015-12-21,24.72,26.1,23.33,26.059999,3864900
2015-12-22,25.6,28.44,25.35,27.049999,2736300
2015-12-23,28.13,28.88,27.26,28.18,2915800
2015-12-24,28.02,28.79,27.18,27.22,535200
2015-12-28,26.75,26.75,25.29,26.07,1536600
2015-12-29,26.8,26.98,25.09,26.17,1923300
2015-12-30,25.44,26.69,24.92,26.049999,1792200
2015-12-31,25.7,27.61,25.5,27.059999,2329000
2016-01-04,26.34,27.0,24.69,26.8,2263400
2016-01-05,26.79,26.93,25.47,26.38,1842700
2016-01-06,25.43,25.72,22.89,23.19,2620400
2016-01-07,22.58,23.0,21.28,21.46,2400100
2016-01-08,21.62,23.25,21.38,22.59,1811200
2016-01-11,22.47,22.73,21.39,21.87,1537300
2016-01-12,22.41,23.9,20.52,22.02,2404800
2016-01-13,22.23,22.71,17.15,17.28,6701900
2016-01-14,18.07,19.02,16.85,18.79,4930000
2016-01-15,16.73,17.5,15.78,17.040001,3586700
2016-01-19,17.25,17.5,15.4,16.02,2876200
2016-01-20,16.0,16.8,14.76,16.23,3311300
2016-01-21,16.42,18.95,16.08,18.74,3306600
2016-01-22,20.29,21.37,19.27,20.45,3272700
2016-01-25,20.059999,22.27,19.51,20.75,3551300
2016-01-26,21.25,22.48,20.07,22.29,2745800
2016-01-27,22.0,22.93,21.31,22.49,3274400
2016-01-28,23.29,24.28,23.049999,23.66,2721700
2016-01-29,22.61,23.33,21.68,22.47,3617600
2016-02-01,22.0,22.0,20.66,21.51,2333700
2016-02-02,21.08,22.23,20.52,21.53,2609900
2016-02-03,21.93,22.72,21.0,22.25,3236800
2016-02-04,22.59,24.24,22.56,23.51,3100600
2016-02-05,22.86,24.040001,22.22,22.81,3238400
2016-02-08,21.52,21.68,18.75,19.76,3003100
2016-02-09,19.07,19.28,16.51,17.62,3579700
2016-02-10,17.8,19.17,17.78,18.16,2575000
2016-02-11,17.49,17.94,14.55,15.43,3491800
2016-02-12,15.99,17.07,14.85,16.28,4946800
2016-02-16,16.49,17.72,15.4,17.25,7197600
2016-02-17,17.74,21.31,17.47,20.59,11257700
2016-02-18,21.11,23.23,20.6,23.030001,11813000
2016-02-19,22.93,22.93,20.6,21.38,7923600
2016-02-22,22.030001,23.3,21.42,22.53,5160900
2016-02-23,22.47,23.3,21.040001,21.17,7292900
2016-02-24,20.12,22.92,19.57,22.13,6637100
2016-02-25,21.62,24.7,20.81,24.3,7662800
2016-02-26,25.030001,27.61,24.77,25.55,7249700
2016-02-29,25.55,27.35,25.32,26.88,11800300
2016-03-01,26.83,27.37,25.72,26.44,5107400
2016-03-02,26.34,27.39,25.36,27.19,5137100
2016-03-03,27.030001,29.34,26.62,28.75,4272200
2016-03-04,29.3,30.37,28.2,29.5,4313000
2016-03-07,29.86,31.0,29.08,30.030001,3977500
2016-03-08,29.82,29.93,26.57,27.049999,4224400
2016-03-09,27.97,28.54,26.71,28.36,4107700
2016-03-10,28.17,28.5,26.72,27.29,3810300
2016-03-11,28.21,29.23,27.45,28.34,4237700
2016-03-14,28.07,29.54,27.5,29.11,2971800
2016-03-15,28.6,28.66,26.91,27.93,2254900
