DateTime,Open,High,Low,Close,Volume
2025-01-02,10.17,10.26,9.73,9.73,1181500
2025-01-03,9.75,9.75,9.47,9.49,1230300
2025-01-06,9.66,9.87,9.43,9.57,1071900
2025-01-07,9.55,9.72,9.4,9.45,1336300
2025-01-08,9.38,9.46,8.99,9.18,1470100
2025-01-10,9.0,9.21,8.94,9.07,1187800
2025-01-13,8.96,9.36,8.73,9.36,1863700
2025-01-14,9.46,9.82,9.4,9.77,1378400
2025-01-15,10.04,10.15,9.75,9.81,779400
2025-01-16,9.75,9.97,9.74,9.96,665600
2025-01-17,10.08,10.21,9.89,9.97,911700
2025-01-21,10.03,10.48,10.03,10.37,697700
2025-01-22,10.33,10.33,9.93,9.97,1482900
2025-01-23,9.98,10.26,9.93,10.16,1532200
2025-01-24,10.27,10.42,10.19,10.25,1443200
2025-01-27,10.26,10.29,9.98,10.13,971500
2025-01-28,10.54,10.6,10.06,10.25,1097200
2025-01-29,10.2,10.3,10.01,10.29,968900
2025-01-30,10.25,10.39,10.05,10.36,715000
2025-01-31,10.27,10.45,10.18,10.27,1539400
2025-02-03,9.94,10.1,9.67,9.84,1101000
2025-02-04,9.89,10.56,9.89,10.35,1075000
2025-02-05,10.29,10.32,10.13,10.14,683200
2025-02-06,10.29,10.53,10.1,10.21,1745500
2025-02-07,10.19,10.25,9.85,9.91,796300
2025-02-10,9.97,10.07,9.74,9.75,1020600
2025-02-11,9.82,10.05,9.72,9.95,3316400
2025-02-12,9.74,9.96,9.61,9.83,1374600
2025-02-13,9.36,9.53,8.29,8.75,3823500
2025-02-14,8.9,9.01,7.72,7.83,3549100
2025-02-18,7.9,8.15,7.85,8.02,2705500
2025-02-19,7.86,8.28,7.73,8.06,3513800
2025-02-20,8.1,8.45,7.95,8.08,3076700
2025-02-21,8.23,8.31,7.82,7.84,2255700
2025-02-24,7.86,8.03,7.76,7.99,1655700
2025-02-25,8.0,8.15,7.81,7.86,1576800
2025-02-26,7.97,8.21,7.88,7.95,1653800
2025-02-27,7.94,8.02,7.74,7.74,4146400
2025-02-28,7.76,7.86,7.72,7.76,1548100
2025-03-03,7.82,7.82,6.97,7.02,2334000
2025-03-04,6.88,7.0,6.64,6.87,3328100
2025-03-05,7.06,7.24,6.91,7.23,2484700
2025-03-06,7.19,7.42,7.06,7.32,1529000
2025-03-07,7.27,7.7,7.18,7.64,2685800
2025-03-10,7.56,7.92,7.29,7.3,1840300
2025-03-11,7.34,7.4,6.86,6.89,3133100
2025-03-12,6.94,7.02,6.82,6.94,1871600
2025-03-13,6.86,7.03,6.66,6.82,1143500
2025-03-14,6.97,7.13,6.93,7.08,1458600
2025-03-17,7.13,7.55,7.1,7.29,2978600
2025-03-18,7.35,7.39,7.08,7.27,1754200
2025-03-19,7.45,7.53,7.24,7.42,1483100
2025-03-20,7.26,7.58,7.21,7.41,1030700
2025-03-21,7.25,7.3,7.02,7.24,2892000
2025-03-24,7.33,7.41,7.26,7.37,1251100
2025-03-25,7.36,7.44,7.24,7.25,1358700
2025-03-26,7.27,7.4,7.0,7.11,1561200
2025-03-27,7.07,7.29,6.9,7.27,1562300
2025-03-28,7.24,7.38,7.08,7.25,2679400
2025-03-31,7.08,7.2,6.95,7.04,1536100
2025-04-01,7.01,7.05,6.59,6.77,2534000
2025-04-02,6.64,6.88,6.58,6.87,1744600
2025-04-03,6.7,6.7,5.77,5.78,2654400
2025-04-04,5.62,5.62,5.07,5.26,5124800
2025-04-07,5.11,5.46,4.75,4.9,6349800
2025-04-08,5.23,5.27,4.44,4.51,5341000
2025-04-09,4.41,5.53,4.35,5.39,6449500
2025-04-10,5.23,5.23,4.83,5.03,2748200
2025-04-11,5.01,5.3,4.85,5.23,2489700
2025-04-14,5.41,5.57,5.27,5.44,2305200
2025-04-15,5.4,5.52,5.2,5.25,2355100
2025-04-16,5.21,5.38,5.07,5.18,2737300
2025-04-17,5.23,5.43,5.19,5.25,2277700
2025-04-21,5.18,5.27,5.09,5.14,2989400
2025-04-22,5.26,5.51,5.22,5.42,3058700
2025-04-23,5.71,5.94,5.38,5.4,2336600
2025-04-24,5.47,5.78,5.37,5.71,3558300
2025-04-25,5.68,5.72,5.56,5.6,1999100
2025-04-28,5.61,5.8,5.47,5.59,2474600
2025-04-29,5.57,5.7,5.47,5.49,3037700
2025-04-30,5.33,5.49,5.28,5.41,3840300
2025-05-01,5.42,5.63,5.19,5.49,6123600
2025-05-02,5.61,5.93,5.36,5.72,4074200
2025-05-05,5.63,5.63,5.37,5.37,2239700
2025-05-06,5.31,5.39,5.18,5.31,2117000
2025-05-07,5.17,5.2,4.82,4.91,3855400
2025-05-08,4.98,5.17,4.93,5.12,6364100
2025-05-09,5.29,5.4,5.2,5.25,3196200
2025-05-12,5.71,5.93,5.62,5.77,3613500
2025-05-13,5.79,5.88,5.65,5.69,3149300
2025-05-14,5.62,5.67,5.42,5.56,4683400
2025-05-15,5.46,5.46,5.26,5.38,3129600
2025-05-16,5.36,5.48,5.19,5.42,4227700
2025-05-19,5.17,5.43,5.07,5.3,3794000
2025-05-20,5.25,5.41,5.18,5.27,2643700
2025-05-21,5.2,5.21,4.87,4.9,3183500
2025-05-22,4.85,5.03,4.8,4.96,3881400
2025-05-23,4.8,4.86,4.68,4.74,3335200
2025-05-27,4.85,5.12,4.83,5.12,3833800
2025-05-28,5.08,5.1,4.81,4.82,2497600
2025-05-29,4.92,5.11,4.82,5.1,5143100
2025-05-30,5.5,5.76,5.34,5.68,8165100
2025-06-02,5.66,5.71,5.29,5.38,4999400
2025-06-03,5.36,5.73,5.22,5.65,2535300
2025-06-04,5.68,5.78,5.61,5.7,2852100
2025-06-05,5.76,5.93,5.65,5.72,2300100
2025-06-06,5.87,6.03,5.81,5.87,1794400
2025-06-09,6.04,6.14,5.91,5.99,2292400
2025-06-10,6.07,6.24,5.94,6.12,1774600
2025-06-11,6.19,6.19,5.98,6.01,1892100
2025-06-12,5.86,5.96,5.7,5.79,2089300
2025-06-13,5.65,5.86,5.53,5.56,2120200
2025-06-16,5.71,5.76,5.59,5.59,1493300
2025-06-17,5.53,5.63,5.45,5.49,2683300
