DateTime,Open,High,Low,Close,Volume
2025-01-02,47.25,47.25,44.59,45.31,622200
2025-01-03,45.34,47.85,45.099998,47.33,512200
2025-01-06,47.36,49.35,47.36,48.51,683000
2025-01-07,48.78,51.31,45.28,45.62,814500
2025-01-08,45.2,45.8,43.48,45.12,660900
2025-01-10,43.5,44.78,42.67,43.6,807200
2025-01-13,42.35,43.62,41.060001,43.58,489400
2025-01-14,44.26,45.97,42.28,42.75,916100
2025-01-15,45.0,47.28,44.74,45.48,741300
2025-01-16,45.46,46.28,44.35,45.87,670700
2025-01-17,46.91,48.8,46.0099983,47.56,617000
2025-01-21,48.33,51.36,48.24,50.45,721300
2025-01-22,50.51,53.9,50.45,52.34,769200
2025-01-23,51.75,55.18,49.14,53.3,995500
2025-01-24,53.25,55.33,52.6,54.07,1007100
2025-01-27,51.18,54.21,50.68,52.23,580100
2025-01-28,52.51,52.91,51.0099983,51.86,410500
2025-01-29,51.0099983,51.49,49.4,49.52,808400
2025-01-30,50.25,52.9,50.25,51.14,714200
2025-01-31,51.33,53.95,50.69,52.37,1127900
2025-02-03,45.3,53.0099983,45.3,52.75,1534200
2025-02-04,53.39,54.39,49.43,52.02,826000
2025-02-05,52.02,54.18,51.39,53.66,942500
2025-02-06,54.0,54.74,52.85,53.7,1057000
2025-02-07,53.71,54.26,51.040001,52.3,883000
2025-02-10,51.8,51.8,47.66,48.63,1600900
2025-02-11,47.5,48.7,46.17,46.2,1013000
2025-02-12,45.33,46.21,43.93,45.37,1182700
2025-02-13,46.099998,47.18,44.81,46.87,824500
2025-02-14,47.5,48.34,46.81,47.59,809200
2025-02-18,49.4,51.0,46.24,46.7,1034000
2025-02-19,46.7,48.42,45.9,47.98,927300
2025-02-20,47.97,48.58,44.33,45.080002,801700
2025-02-21,45.91,46.37,40.9,41.31,1567800
2025-02-24,41.67,42.33,40.6,41.2,1057000
2025-02-25,41.19,41.76,39.060001,40.81,1161100
2025-02-26,40.88,42.64,40.61,41.33,711500
2025-02-27,41.58,42.23,38.48,38.56,854000
2025-02-28,38.15,39.92,37.6,38.82,969100
2025-03-03,39.040001,39.27,36.34,37.11,1707500
2025-03-04,36.0,40.84,34.35,39.68,2703300
2025-03-05,39.76,42.3,39.24,42.049999,1351000
2025-03-06,40.52,42.25,38.94,39.18,1166200
2025-03-07,38.97,39.73,35.21,39.43,1257800
2025-03-10,38.33,38.87,34.67,36.71,1733500
2025-03-11,36.54,40.63,35.54,39.13,1776900
2025-03-12,40.21,41.45,38.47,39.32,1121000
2025-03-13,39.13,39.8,37.92,39.12,1013300
2025-03-14,40.060001,40.89,39.5,39.96,767300
2025-03-17,39.81,42.64,39.26,42.34,862100
2025-03-18,41.13,41.73,39.77,40.57,749800
2025-03-19,41.040001,43.28,40.3,41.7,963400
2025-03-20,40.73,43.099998,40.73,42.049999,911500
2025-03-21,41.86,43.57,40.5,42.89,1320000
2025-03-24,43.66,45.25,43.45,44.94,725400
2025-03-25,44.84,44.85,43.39,44.25,666500
2025-03-26,44.14,44.94,41.25,41.88,810300
2025-03-27,41.69,42.32,40.3,41.58,643800
2025-03-28,41.080002,41.44,39.76,40.36,559800
2025-03-31,38.89,39.87,37.12,39.26,1265900
2025-04-01,39.14,40.8,37.44,38.94,1116100
2025-04-02,38.38,40.38,37.57,38.21,1549000
2025-04-03,34.77,38.2,34.77,37.5,1760600
2025-04-04,35.81,37.53,33.68,36.19,2398400
2025-04-07,33.55,40.42,33.16,36.99,2150100
2025-04-08,38.67,39.69,34.38,35.18,1309000
2025-04-09,34.17,41.27,34.17,40.27,2589100
2025-04-10,37.84,38.27,34.91,36.63,1683800
2025-04-11,36.79,39.4,36.07,38.85,1136100
2025-04-14,39.4,40.35,38.59,39.82,1768800
2025-04-15,39.95,40.85,38.6,39.5,829000
2025-04-16,39.049999,39.67,37.46,38.45,1317200
2025-04-17,38.37,38.37,36.58,36.8,747300
2025-04-21,36.0,36.54,33.71,34.56,1390300
2025-04-22,35.54,37.35,35.17,36.94,814000
2025-04-23,39.4,40.68,37.57,37.62,1123700
2025-04-24,37.67,40.28,37.24,40.17,736400
2025-04-25,39.72,40.59,39.060001,40.11,634900
2025-04-28,40.27,41.17,38.69,39.9,798800
2025-04-29,40.099998,40.36,38.64,39.68,942900
2025-04-30,38.44,38.77,37.44,38.32,922900
2025-05-01,38.57,38.82,36.83,37.71,1178300
2025-05-02,38.45,40.45,38.45,39.24,1459500
2025-05-05,42.07,42.07,35.25,35.93,2073100
2025-05-06,35.31,35.67,32.63,32.75,1968600
2025-05-07,33.040001,33.14,31.56,32.78,1189100
2025-05-08,32.74,33.68,31.84,32.61,1051700
2025-05-09,32.5,33.59,30.72,30.82,1158700
2025-05-12,31.75,33.46,31.75,32.95,1110700
2025-05-13,33.099998,33.52,31.74,32.29,1158400
2025-05-14,32.44,32.63,29.45,29.52,1544800
2025-05-15,29.59,30.35,28.46,30.1,1125700
2025-05-16,30.49,31.030001,29.67,30.93,1290800
2025-05-19,30.27,30.86,29.61,30.39,1131700
2025-05-20,30.4,31.07,29.59,30.91,984900
2025-05-21,30.38,30.8,28.37,28.47,1137800
2025-05-22,28.35,28.67,27.8,28.16,1320600
2025-05-23,27.4,28.44,27.12,28.26,781900
2025-05-27,29.059999,29.52,28.32,29.41,1289500
2025-05-28,29.32,29.5,28.1,28.33,1143000
