DateTime,Open,High,Low,Close,Volume
2003-12-31,9.5,9.5,8.7,8.7,4700
2004-01-02,8.65,9.0,8.25,8.35,6500
2004-01-05,8.65,8.65,7.55,7.98,15700
2004-01-06,7.55,7.65,7.35,7.56,7200
2004-01-07,7.68,8.18,7.39,7.75,19400
2004-01-08,7.85,7.99,7.45,7.99,17400
2004-01-09,8.0,8.24,7.85,8.0,9800
2004-01-12,8.3,8.35,7.6,7.6,12700
2004-01-13,7.8,8.19,7.75,7.8,7700
2004-01-14,7.8,7.8,7.1,7.4,7200
2004-01-15,7.73,7.73,7.26,7.69,29300
2004-01-16,7.5,7.85,7.4,7.45,7900
2004-01-20,7.95,7.95,7.45,7.45,5400
2004-01-21,7.61,7.61,7.41,7.58,4100
2004-01-22,7.55,9.0,7.55,8.59,25300
2004-01-23,9.3,9.62,8.0,9.5,38600
2004-01-26,10.6,10.6,8.75,8.99,36100
2004-01-27,9.0,9.08,8.75,9.03,9800
2004-01-28,9.5,9.65,9.02,9.1,8200
2004-01-29,9.02,9.24,8.79,9.0,4400
2004-01-30,8.79,9.0,8.79,9.0,400
2004-02-02,8.75,9.66,8.6,9.05,9300
2004-02-03,8.6,9.41,8.6,9.0,6700
2004-02-04,9.1,9.1,8.4,8.4,2600
2004-02-05,8.4,8.5,8.4,8.4,2600
2004-02-06,8.4,8.5,8.02,8.1,7000
2004-02-09,8.1,8.3,8.05,8.09,3000
2004-02-10,8.5,8.5,8.07,8.07,2500
2004-02-11,9.1,9.1,8.11,8.14,8400
2004-02-12,8.49,8.61,8.11,8.26,8200
2004-02-13,8.61,8.61,7.8,8.05,10000
2004-02-17,8.06,8.7,8.06,8.25,11000
2004-02-18,8.6,8.6,8.23,8.5,1400
2004-02-19,8.5,8.5,8.15,8.15,7500
2004-02-20,8.15,8.4,8.15,8.4,300
2004-02-23,8.49,8.6,8.2,8.55,3800
2004-02-24,7.59,8.75,7.59,8.7,6700
2004-02-25,8.28,8.9,8.28,8.75,4800
2004-02-26,9.08,9.08,8.25,8.25,8200
2004-02-27,8.29,8.29,7.95,7.99,6500
2004-03-01,7.99,8.0,7.6,8.0,6400
2004-03-02,8.0,8.2,8.0,8.0,2700
2004-03-03,7.95,7.95,7.95,7.95,200
2004-03-04,8.02,8.02,8.01,8.01,700
2004-03-05,8.4,8.4,7.82,8.0,4500
2004-03-08,8.35,8.35,8.25,8.25,1000
2004-03-09,8.2,8.25,7.8,7.93,5900
2004-03-10,7.8,7.84,7.56,7.75,1900
2004-03-11,7.8,7.8,7.6,7.69,4900
2004-03-12,7.56,7.7,7.56,7.7,3000
2004-03-15,7.7,7.7,7.56,7.56,1000
