DateTime,Open,High,Low,Close,Volume
2013-02-12,1.89,1.91,1.89,1.91,884500
2013-02-13,1.9,1.93,1.9,1.91,1065000
2013-02-14,1.89,1.91,1.87,1.88,1336800
2013-02-15,1.91,1.93,1.89,1.89,3390100
2013-02-19,1.91,1.92,1.89,1.9,2416100
2013-02-20,1.9,1.91,1.85,1.87,2607200
2013-02-21,1.86,1.87,1.85,1.87,685100
2013-02-22,1.87,1.91,1.87,1.9,1458300
2013-02-25,1.89,1.9,1.84,1.85,1098400
2013-02-26,1.84,1.85,1.81,1.81,3039100
2013-02-27,1.82,1.84,1.81,1.84,5473700
2013-02-28,1.85,1.85,1.84,1.85,594900
2013-03-01,1.84,1.85,1.82,1.83,1779600
2013-03-04,1.82,1.83,1.8,1.81,2050300
2013-03-05,1.84,1.86,1.83,1.86,1563100
2013-03-06,1.87,1.89,1.87,1.89,835100
2013-03-07,1.88,1.88,1.85,1.86,1484700
2013-03-08,1.87,1.88,1.84,1.84,1467800
2013-03-11,1.84,1.85,1.81,1.82,2113700
2013-03-12,1.84,1.85,1.83,1.83,499900
2013-03-13,1.85,1.87,1.85,1.87,1346300
2013-03-14,1.9,1.93,1.9,1.91,1591000
2013-03-15,1.92,1.92,1.85,1.85,4130900
2013-03-18,1.82,1.87,1.82,1.84,1320900
2013-03-19,1.83,1.85,1.81,1.82,2495800
2013-03-20,1.83,1.85,1.8,1.83,3044500
2013-03-21,1.82,1.83,1.81,1.81,1565800
2013-03-22,1.81,1.83,1.81,1.81,1327400
2013-03-25,1.82,1.83,1.78,1.8,1655100
2013-03-26,1.81,1.82,1.79,1.81,1566800
2013-03-27,1.8,1.83,1.8,1.81,2426400
2013-03-28,1.8,1.8,1.78,1.8,3457700
2013-04-01,1.81,1.81,1.79,1.8,780500
2013-04-02,1.8,1.82,1.8,1.82,1001000
2013-04-03,1.81,1.84,1.81,1.81,1652700
2013-04-04,1.82,1.83,1.81,1.83,899000
2013-04-05,1.81,1.82,1.79,1.8,2086600
2013-04-08,1.8,1.83,1.77,1.8,3619600
2013-04-09,1.8,1.82,1.78,1.81,2578300
2013-04-10,1.81,1.81,1.79,1.8,1521500
2013-04-11,1.83,1.86,1.82,1.84,1427200
2013-04-12,1.81,1.83,1.8,1.81,653300
2013-04-15,1.8,1.81,1.77,1.77,2444200
2013-04-16,1.8,1.83,1.8,1.82,4644500
2013-04-17,1.82,1.82,1.78,1.8,2890500
2013-04-18,1.81,1.82,1.79,1.8,678400
2013-04-19,1.83,1.86,1.83,1.85,1288000
2013-04-22,1.83,1.84,1.81,1.84,745700
2013-04-23,1.84,1.85,1.83,1.85,1287000
2013-04-24,1.85,1.87,1.85,1.86,771600
2013-04-25,1.85,1.87,1.85,1.87,753500
2013-04-26,1.87,1.88,1.81,1.81,2489600
2013-04-29,1.84,1.85,1.82,1.85,1189200
2013-04-30,1.85,1.89,1.84,1.89,1575400
2013-05-01,1.89,1.89,1.86,1.88,1024200
2013-05-02,1.88,1.88,1.87,1.87,538100
2013-05-03,1.9,1.9,1.87,1.88,824700
2013-05-06,1.92,1.98,1.92,1.96,3298000
2013-05-07,1.94,1.95,1.93,1.93,351400
2013-05-08,2.02,2.04,1.99,2.03,3447900
2013-05-09,2.0,2.06,2.0,2.05,6764100
2013-05-10,2.08,2.15,2.08,2.14,8599400
2013-05-13,2.16,2.18,2.15,2.17,2342800
2013-05-14,2.17,2.17,2.1,2.11,3028200
2013-05-15,2.1,2.11,2.08,2.1,3086700
2013-05-16,2.14,2.18,2.13,2.15,1882300
2013-05-17,2.16,2.19,2.14,2.18,1651000
2013-05-20,2.19,2.22,2.18,2.21,2043900
2013-05-21,2.27,2.32,2.27,2.31,2941200
2013-05-22,2.25,2.28,2.25,2.27,2101800
2013-05-23,2.18,2.2,2.16,2.19,1976300
2013-05-24,2.16,2.17,2.14,2.16,1272600
2013-05-28,2.2,2.24,2.2,2.24,1482700
2013-05-29,2.22,2.23,2.19,2.2,693600
2013-05-30,2.2,2.21,2.18,2.2,1354900
2013-05-31,2.16,2.18,2.15,2.17,1957100
2013-06-03,2.19,2.23,2.18,2.22,2306000
2013-06-04,2.26,2.28,2.23,2.25,1359400
2013-06-05,2.23,2.24,2.18,2.2,1588600
2013-06-06,2.18,2.2,2.17,2.19,371200
2013-06-07,2.15,2.2,2.15,2.19,767400
2013-06-10,2.21,2.24,2.18,2.19,2470000
2013-06-11,2.19,2.2,2.17,2.18,1497200
2013-06-12,2.2,2.2,2.17,2.18,794100
2013-06-13,2.14,2.17,2.14,2.16,1102000
2013-06-14,2.14,2.15,2.08,2.09,3323900
2013-06-17,2.15,2.19,2.15,2.16,1612600
2013-06-18,2.18,2.22,2.18,2.22,1629700
2013-06-19,2.2,2.23,2.17,2.17,1809300
2013-06-20,2.11,2.11,2.05,2.06,3351200
2013-06-21,2.06,2.07,2.01,2.06,3299800
2013-06-24,2.03,2.1,2.01,2.03,2594500
2013-06-25,2.05,2.1,2.03,2.1,1385900
2013-06-26,2.17,2.2,2.15,2.18,4625600
2013-06-27,2.29,2.36,2.27,2.34,7316200
2013-06-28,2.34,2.38,2.31,2.33,4473200
2013-07-01,2.4,2.44,2.39,2.43,4434300
2013-07-02,2.38,2.4,2.32,2.35,2775500
2013-07-03,2.35,2.42,2.34,2.42,2543200
2013-07-05,2.42,2.44,2.36,2.36,935200
2013-07-08,2.3,2.31,2.25,2.26,2147900
2013-07-09,2.29,2.3,2.27,2.28,1848000
2013-07-10,2.23,2.26,2.22,2.23,2305700
2013-07-11,2.35,2.36,2.33,2.36,1509900
2013-07-12,2.31,2.34,2.28,2.32,1748500
2013-07-15,2.36,2.36,2.33,2.35,758500
2013-07-16,2.3,2.31,2.22,2.23,4989600
2013-07-17,2.18,2.21,2.16,2.18,2782800
2013-07-18,2.17,2.18,2.11,2.12,2332500
2013-07-19,2.06,2.09,2.05,2.06,1676400
2013-07-22,2.1,2.14,2.08,2.14,2146000
2013-07-23,2.2,2.21,2.18,2.19,5420300
2013-07-24,2.19,2.2,2.16,2.18,1239900
2013-07-25,2.15,2.19,2.15,2.18,1365800
2013-07-26,2.2,2.21,2.15,2.19,4302400
2013-07-29,2.14,2.17,2.13,2.16,1078800
2013-07-30,2.19,2.22,2.18,2.2,1163200
2013-07-31,2.18,2.2,2.17,2.2,738600
2013-08-01,2.21,2.21,2.19,2.19,565300
2013-08-02,2.19,2.19,2.15,2.16,536200
2013-08-05,2.17,2.19,2.14,2.16,1158500
2013-08-06,2.13,2.17,2.11,2.16,2477400
2013-08-07,2.1,2.11,2.03,2.05,3086900
2013-08-08,2.03,2.08,2.02,2.07,1530700
2013-08-09,2.05,2.06,2.03,2.04,1782700
2013-08-12,2.03,2.05,2.02,2.02,530700
2013-08-13,2.03,2.05,2.02,2.03,1107000
2013-08-14,2.03,2.05,1.98,2.0,1895700
2013-08-15,1.97,1.98,1.94,1.96,1211800
2013-08-16,1.96,1.96,1.94,1.94,598400
2013-08-19,1.94,1.94,1.92,1.93,799600
2013-08-20,1.92,1.93,1.89,1.9,1428700
2013-08-21,1.91,1.97,1.88,1.88,1660100
2013-08-22,1.91,1.93,1.91,1.91,629500
2013-08-23,1.96,1.98,1.95,1.96,1117200
2013-08-26,1.97,1.99,1.95,1.97,1497900
2013-08-27,1.95,1.95,1.93,1.93,1506300
2013-08-28,1.93,1.95,1.91,1.92,1912000
2013-08-29,1.92,1.95,1.92,1.94,790700
2013-08-30,1.97,1.99,1.95,1.96,1322400
2013-09-03,1.95,1.98,1.94,1.94,586000
2013-09-04,1.98,1.99,1.98,1.99,401200
2013-09-05,1.99,2.01,1.98,1.99,732900
2013-09-06,2.01,2.02,1.99,2.01,1006000
2013-09-09,2.01,2.02,1.98,2.02,874300
2013-09-10,2.06,2.06,2.05,2.06,407400
2013-09-11,2.04,2.04,2.03,2.04,476200
2013-09-12,2.03,2.03,2.0,2.0,694800
2013-09-13,1.98,1.98,1.96,1.96,2016500
2013-09-16,2.0,2.01,1.97,1.97,2545400
2013-09-17,1.98,1.99,1.96,1.97,1869500
2013-09-18,1.98,2.0,1.94,2.0,2678000
2013-09-19,1.99,2.01,1.96,1.97,1443000
2013-09-20,1.97,1.98,1.96,1.97,1269300
2013-09-23,2.05,2.06,2.04,2.06,1489900
2013-09-24,2.1,2.13,2.07,2.1,2585700
2013-09-25,2.11,2.12,2.08,2.11,1888000
2013-09-26,2.08,2.08,2.06,2.07,617400
2013-09-27,2.07,2.08,2.05,2.05,647000
2013-09-30,2.06,2.07,2.04,2.06,1193600
2013-10-01,2.06,2.08,2.05,2.08,893400
2013-10-02,2.06,2.07,2.03,2.04,485500
2013-10-03,2.14,2.15,2.12,2.13,1964300
2013-10-04,2.11,2.12,2.09,2.11,447600
2013-10-07,2.1,2.11,2.09,2.1,292700
2013-10-08,2.16,2.17,2.12,2.13,1569400
2013-10-09,2.08,2.1,2.08,2.09,898600
2013-10-10,2.09,2.12,2.08,2.09,5122300
2013-10-11,2.08,2.11,2.07,2.11,1457700
2013-10-14,2.04,2.07,2.03,2.07,572900
2013-10-15,2.11,2.11,2.09,2.09,656500
2013-10-16,2.07,2.08,2.06,2.08,473300
2013-10-17,2.09,2.12,2.08,2.12,786800
2013-10-18,2.14,2.14,2.13,2.14,217800
2013-10-21,2.15,2.17,2.13,2.14,1405700
2013-10-22,2.13,2.17,2.13,2.15,629500
2013-10-23,2.13,2.13,2.09,2.1,795100
2013-10-24,2.09,2.11,2.07,2.09,1165800
2013-10-25,2.07,2.08,2.06,2.06,197700
2013-10-28,2.08,2.09,2.07,2.09,313700
2013-10-29,2.09,2.1,2.08,2.08,390400
2013-10-30,2.14,2.16,2.08,2.09,1611200
2013-10-31,2.03,2.06,2.03,2.05,1279400
