DateTime,Open,High,Low,Close,Volume
2020-01-02,66.68,66.76,65.44,65.88,1630939
2020-01-03,65.96,66.8,65.44,65.56,1072769
2020-01-06,66.52,66.7284,65.32,66.36,1170992
2020-01-07,65.96,67.28,65.882,66.48,923454
2020-01-08,66.68,66.84,65.4,66.52,906851
2020-01-09,65.84,67.06,65.12,66.68,858886
2020-01-10,68.16,69.04,67.96,68.16,1142223
2020-01-13,67.72,68.04,66.88,67.76,991178
2020-01-14,69.56,69.7,67.36,67.4,1213574
2020-01-15,65.76,66.2,65.48,65.72,1235766
2020-01-16,65.76,66.98,64.08,64.32,1483007
2020-01-17,63.04,63.04,61.98,62.16,2577323
2020-01-21,60.04,60.52,58.24,59.48,2313024
2020-01-22,59.56,60.24,59.2,59.64,910574
2020-01-23,60.4,61.08,59.34,59.76,954528
2020-01-24,58.76,58.88,58.12,58.44,1120746
2020-01-27,60.28,60.32,58.32,58.56,1251320
2020-01-28,59.64,60.24,59.2792,59.6,1008784
2020-01-29,58.64,58.78,58.08,58.64,943370
2020-01-30,57.48,58.32,56.72,57.24,1320847
2020-01-31,57.68,58.0152,57.292,57.48,812873
2020-02-03,57.76,57.76,56.72,56.84,863311
2020-02-04,57.32,58.99,57.2,58.6,929708
2020-02-05,57.16,58.52,57.08,58.52,1163017
2020-02-06,57.76,59.58,57.52,58.24,653282
2020-02-07,59.04,59.32,57.8,57.8,676145
2020-02-10,55.8,56.1804,55.0,55.36,1511897
2020-02-11,55.64,56.28,55.1728,56.12,849694
2020-02-12,57.36,58.0,56.96,57.68,783663
2020-02-13,58.04,58.28,57.08,57.28,595512
2020-02-14,57.56,57.78,57.16,57.36,499732
2020-02-18,60.52,61.08,59.92,60.4,1443864
2020-02-19,60.76,61.48,60.4,61.12,607288
2020-02-20,60.24,62.6644,59.44,59.64,1539717
2020-02-21,58.84,59.74,58.8,59.2,928584
2020-02-24,57.88,58.04,57.0,57.44,919529
2020-02-25,57.92,58.08,56.96,57.12,1108401
2020-02-26,58.12,58.4,56.36,56.36,838227
2020-02-27,54.16,54.52,53.26,53.88,1685882
2020-02-28,52.88,53.48,51.92,52.4,932784
2020-03-02,54.04,54.64,53.48,54.32,1047831
2020-03-03,55.76,56.96,55.2,55.72,1086743
2020-03-04,56.8,57.12,55.7936,56.76,557240
2020-03-05,56.32,56.4404,54.56,54.6,778992
2020-03-06,54.24,54.42,52.86,53.28,885859
2020-03-09,53.68,56.44,51.98,56.4,1856287
2020-03-10,57.24,60.56,57.12,59.88,2782593
2020-03-11,61.08,61.92,57.68,58.16,1875618
2020-03-12,55.72,58.24,55.32,56.8,1827873
2020-03-13,59.68,60.08,57.4,59.0,1103198
2020-03-16,56.12,57.12,55.6,55.68,488992
2020-03-17,56.24,56.24,53.16,53.48,505020
2020-03-18,51.12,51.64,48.32,50.96,1278400
