DateTime,Open,High,Low,Close,Volume
2015-01-02,101.5,102.62,100.010002,100.78,3060900
2015-01-05,100.3,100.45,98.75,99.12,4679000
2015-01-06,99.83,100.14,98.46,98.92,3468300
2015-01-07,98.96,100.3,98.92,99.93,3225800
2015-01-08,101.57,104.98,100.72,104.7,5346100
2015-01-09,104.42,104.63,102.9,103.72,3397600
2015-01-12,103.83,104.0,101.91,102.55,3051500
2015-01-13,103.94,105.6,101.84,103.07,3856500
2015-01-14,101.61,103.48,101.18,103.33,4725600
2015-01-15,103.56,104.59,103.13,104.46,5888900
2015-01-16,104.5,106.0,103.65,105.77,6045500
2015-01-20,106.2,106.38,104.5,105.62,6526800
2015-01-21,106.52,109.45,105.62,109.32,8293700
2015-01-22,109.75,114.12,109.33,113.85,8055200
2015-01-23,113.64,114.32,112.0,112.0,5256000
2015-01-26,112.0,112.0,110.76,111.61,4203400
2015-01-27,110.95,111.25,109.92,110.010002,4718300
2015-01-28,110.57,110.88,108.45,108.46,6633500
2015-01-29,108.15,109.58,106.74,109.39,4912300
2015-01-30,108.62,109.39,106.14,106.25,5397500
2015-02-02,106.73,107.34,105.07,107.29,4657100
2015-02-03,107.35,108.0,106.52,107.81,4192600
2015-02-04,106.83,108.74,106.75,107.92,4768900
2015-02-05,108.32,109.81,108.32,108.82,3297700
2015-02-06,108.59,109.4,107.19,107.6,3661400
2015-02-09,106.93,107.24,106.28,106.49,3909700
2015-02-10,107.26,109.46,107.13,108.97,5437400
2015-02-11,108.73,110.059998,108.38,109.85,3798500
2015-02-12,110.7,110.78,108.83,109.84,3378000
2015-02-13,109.69,109.84,108.68,109.44,3727600
2015-02-17,109.34,109.76,108.52,109.76,3430600
2015-02-18,109.76,110.22,108.95,109.77,2958700
2015-02-19,109.54,110.36,109.44,110.029999,2674800
2015-02-20,109.96,112.82,109.44,112.62,4647100
2015-02-23,112.99,116.49,112.85,116.4,7060000
2015-02-24,116.26,116.58,115.32,115.43,3582800
2015-02-25,115.82,115.82,113.72,114.050003,3845900
2015-02-26,114.41,114.62,113.37,113.66,3126800
2015-02-27,113.77,114.25,113.41,113.63,4016400
2015-03-02,113.63,114.85,113.63,114.4,2952200
2015-03-03,113.95,114.49,112.36,112.86,3163700
2015-03-04,112.25,113.97,111.65,113.82,3180900
2015-03-05,114.07,115.72,114.07,114.79,2941400
2015-03-06,115.16,115.16,112.61,112.88,3196900
2015-03-09,112.97,114.96,112.87,114.9,3942000
2015-03-10,114.26,114.41,112.46,112.46,3957900
2015-03-11,112.9,113.59,112.64,112.72,2593700
2015-03-12,113.32,115.050003,113.15,114.88,3258600
2015-03-13,114.44,115.39,113.53,115.25,3066800
2015-03-16,116.0,118.69,115.82,118.52,4692200
2015-03-17,118.080002,118.13,116.92,117.6,3303500
2015-03-18,117.43,120.52,116.73,119.96,5533500
2015-03-19,120.0,121.099998,119.82,120.76,4032500
2015-03-20,121.35,121.53,119.0,119.14,7195700
2015-03-23,119.48,120.48,118.59,119.040001,4576500
2015-03-24,118.9,119.64,118.080002,118.12,3054700
2015-03-25,118.85,119.75,116.51,116.54,3385500
2015-03-26,116.07,117.21,114.6,116.25,2856400
2015-03-27,116.059998,118.22,116.019997,118.010002,2608500
2015-03-30,122.32,123.76,120.53,121.0,5178500
2015-03-31,120.8,120.93,118.22,118.29,4573100
2015-04-01,119.52,119.52,116.54,117.45,4826200
2015-04-02,117.6,118.38,116.87,117.36,2497100
2015-04-06,116.019997,118.52,115.95,117.7,2544700
2015-04-07,119.45,119.83,117.27,117.35,2528500
2015-04-08,117.78,118.83,117.47,118.19,2627000
2015-04-09,117.83,118.76,117.6,118.55,2247200
2015-04-10,118.55,119.099998,117.97,119.0,2232600
2015-04-13,121.0,121.31,119.13,119.37,3961000
2015-04-14,119.34,120.18,118.52,119.92,3208800
2015-04-15,120.38,120.74,116.55,117.32,7344000
2015-04-16,121.93,122.32,120.52,121.6,7068000
2015-04-17,121.0,121.050003,117.74,118.71,4390000
2015-04-20,119.85,120.33,118.07,118.58,4650700
2015-04-21,119.0,119.63,118.76,119.28,3379800
2015-04-22,119.54,119.94,117.17,117.81,3846700
2015-04-23,117.48,118.58,116.96,118.26,3244300
2015-04-24,118.28,119.089996,118.019997,118.69,3139200
2015-04-27,119.18,119.41,116.07,116.24,5174300
2015-04-28,116.89,117.74,114.28,117.59,4144800
2015-04-29,116.22,117.32,112.040001,113.61,7122600
2015-04-30,113.53,114.33,111.12,111.4,6705600
2015-05-01,112.29,113.66,111.74,113.2,5805100
2015-05-04,113.7,114.93,113.45,114.56,3531500
2015-05-05,113.94,114.28,113.010002,113.37,3960400
2015-05-06,114.0,114.49,112.66,113.49,3369800
2015-05-07,113.15,115.14,113.11,114.76,3300200
2015-05-08,115.93,116.59,115.050003,115.68,3066000
2015-05-11,115.61,115.79,114.72,114.77,3376400
2015-05-12,114.23,115.080002,113.83,114.64,3844600
2015-05-13,114.62,116.3,114.62,115.86,3667700
2015-05-14,117.18,118.62,116.21,118.53,4771400
2015-05-15,118.78,119.35,118.31,119.33,3083800
2015-05-18,119.22,119.98,118.84,119.8,2824700
2015-05-19,119.82,121.13,119.69,120.55,3554900
2015-05-20,120.73,121.85,120.029999,121.24,3379200
2015-05-21,120.76,120.84,120.050003,120.46,2983500
2015-05-22,120.3,120.78,119.14,119.59,2945900
2015-05-26,119.22,119.59,117.7,118.24,3014500
2015-05-27,118.88,119.85,118.27,119.45,2887700
2015-05-28,119.31,119.82,118.29,119.62,2873600
2015-05-29,120.059998,121.62,117.74,120.21,6019900
2015-06-01,120.54,120.56,118.75,119.86,3876400
2015-06-02,119.49,119.68,117.41,117.75,4219500
2015-06-03,118.0,118.99,117.45,118.35,3438100
2015-06-04,117.92,117.97,116.029999,116.65,3300300
2015-06-05,116.33,116.75,115.36,116.53,2724500
2015-06-08,116.38,117.67,116.32,116.91,3271300
2015-06-09,116.93,117.38,115.79,116.99,3047300
2015-06-10,117.029999,118.88,116.73,118.55,4006400
2015-06-11,118.41,119.94,118.22,119.32,3815600
2015-06-12,118.84,119.0,117.5,117.65,3076600
2015-06-15,116.83,120.88,116.0,118.98,6809500
2015-06-16,119.14,122.18,119.0,121.55,7229400
2015-06-17,121.9,122.2,119.17,119.74,4805900
2015-06-18,120.39,121.38,119.92,120.89,3478300
2015-06-19,120.65,120.88,119.9,120.33,4178700
2015-06-22,121.63,122.23,119.94,120.25,4435600
2015-06-23,121.37,122.77,121.010002,122.74,4991000
2015-06-24,122.8,123.0,119.099998,119.17,4650500
2015-06-25,119.57,123.41,119.5,122.33,6149500
2015-06-26,123.79,124.11,122.73,123.25,16358200
2015-06-29,122.040001,123.029999,121.11,121.19,3604000
2015-06-30,122.42,122.94,121.0,122.0,4982600
2015-07-01,122.95,123.65,122.22,123.38,3269300
2015-07-02,123.82,123.88,121.019997,121.81,3682300
2015-07-06,119.6,123.099998,119.26,122.16,6522800
2015-07-07,122.36,122.8,117.81,120.7,6476200
2015-07-08,119.050003,119.99,118.4,118.78,4009800
2015-07-09,120.040001,120.56,119.31,119.34,3315600
2015-07-10,120.99,122.75,120.7,122.15,4033500
2015-07-13,123.099998,123.75,121.81,122.45,3766900
2015-07-14,122.18,125.2,122.0,125.0,4192400
2015-07-15,124.95,126.050003,123.81,125.86,5067300
2015-07-16,125.42,125.5,122.099998,124.93,7216600
2015-07-17,124.7,124.98,123.7,123.85,3702700
2015-07-20,124.050003,124.23,122.33,122.65,3199700
2015-07-21,122.57,122.72,120.34,120.86,4239100
2015-07-22,120.97,121.24,120.080002,120.61,3384700
2015-07-23,121.63,121.68,118.76,119.33,4896100
2015-07-24,119.12,119.72,117.58,117.94,3840600
2015-07-27,117.88,118.089996,116.66,117.88,3752300
2015-07-28,118.74,121.57,118.5,121.52,5216900
2015-07-29,121.82,122.11,120.62,121.52,3924400
2015-07-30,121.14,121.92,119.55,120.56,3732400
2015-07-31,120.47,122.72,120.47,121.4,3593000
2015-08-03,121.61,122.17,120.14,120.89,2541300
2015-08-04,121.58,121.63,120.23,120.84,2058200
2015-08-05,121.76,124.24,121.76,123.92,3831900
2015-08-06,124.37,124.64,121.8,122.040001,3014900
2015-08-07,121.71,121.86,120.26,121.82,2276300
2015-08-10,122.5,123.34,121.94,122.48,2480000
2015-08-11,121.27,123.019997,121.27,122.26,2756000
2015-08-12,121.26,121.78,119.050003,121.2,3005300
2015-08-13,121.33,121.99,120.29,120.52,3253400
2015-08-14,120.57,121.18,120.26,121.019997,2040500
2015-08-17,120.4,123.95,120.3,123.82,2951800
2015-08-18,123.88,126.21,123.82,125.5,4140200
2015-08-19,124.71,124.99,122.85,123.22,3411500
2015-08-20,122.24,122.42,119.79,119.79,3201600
2015-08-21,118.25,118.8,116.010002,116.28,5627800
2015-08-24,110.86,112.43,95.0,110.43,8824900
2015-08-25,113.0,114.59,109.8,109.98,8109900
2015-08-26,112.56,113.83,110.28,113.46,7503200
2015-08-27,115.25,117.83,114.96,117.77,5783700
2015-08-28,117.39,117.84,116.0,117.28,3333100
2015-08-31,117.21,118.78,115.16,115.7,4087000
2015-09-01,113.36,114.22,112.07,112.63,4658100
2015-09-02,113.83,114.6,112.53,114.23,4522100
2015-09-03,114.74,115.92,113.46,113.99,3137100
2015-09-04,112.5,113.07,111.26,112.36,3394900
2015-09-08,114.13,116.21,113.67,116.089996,3990600
2015-09-09,117.29,117.72,114.83,115.080002,3753500
2015-09-10,114.85,117.94,114.73,116.77,5525700
2015-09-11,116.17,118.87,115.86,118.7,3752500
2015-09-14,119.029999,119.5,117.15,117.8,2686500
2015-09-15,118.61,120.61,117.43,120.029999,3072100
2015-09-16,120.27,121.36,119.55,121.15,3475700
