DateTime,Open,High,Low,Close,Volume
2022-11-16,20.9,21.25,19.34,20.2,6426800
2022-11-17,19.49,19.647,18.83,19.46,4322400
2022-11-18,20.0,20.18,18.68,19.21,3859800
2022-11-21,18.63,19.4,18.08,18.56,3991200
2022-11-22,18.71,19.0049992,17.8,18.1,4279200
2022-11-23,18.21,18.59,17.97,18.28,2937800
2022-11-25,18.0,20.0,17.82,18.52,1376200
2022-11-28,18.11,19.15,17.77,18.27,3302000
2022-11-29,18.44,19.88,18.31,18.6,4026900
2022-11-30,18.8,19.55,17.73,19.55,6487300
2022-12-01,20.0,20.09,18.7,19.040001,4596600
2022-12-02,18.7,19.1,18.35,18.67,3484200
2022-12-05,18.74,18.89,17.31,17.32,4167900
2022-12-06,17.402,17.48,16.42,17.13,4713100
2022-12-07,17.0,17.22,16.45,16.86,2177900
2022-12-08,17.084999,17.67,16.412,17.15,2983200
2022-12-09,17.0,17.51,16.62,17.08,2515500
2022-12-12,17.25,17.641,16.81,17.36,3554300
2022-12-13,18.91,19.12,16.66,17.08,5865700
2022-12-14,16.95,17.54,16.679,16.82,4417600
2022-12-15,16.34,16.57,15.7,15.86,3952100
2022-12-16,15.57,15.97,14.97,15.34,4674800
2022-12-19,15.38,15.38,14.32,14.55,3705500
2022-12-20,14.375,15.06,14.19,14.4,2798300
2022-12-21,14.4,14.6,13.91,14.03,3620100
2022-12-22,13.64,13.73,12.88,13.32,4094000
2022-12-23,13.27,13.42,12.89,13.2,2362800
2022-12-27,12.99,13.03,12.23,12.4,3750700
2022-12-28,12.25,12.56,12.01,12.25,3332400
2022-12-29,12.47,13.19,12.245,13.16,4808900
2022-12-30,12.72,13.265,12.63,13.22,3280700
2023-01-03,13.58,13.8,12.53,12.89,3752300
2023-01-04,13.12,14.5,13.02,13.87,5289000
2023-01-05,13.54,13.605,12.95,13.0,3837100
2023-01-06,12.97,13.545,12.86,13.09,3697900
2023-01-09,13.48,14.09,13.37,13.48,3406500
2023-01-10,13.35,14.3,13.22,14.21,2618300
2023-01-11,14.36,15.83,14.19,15.4,7671700
2023-01-12,15.55,17.51,14.97,17.21,8588100
2023-01-13,16.43,18.1,16.15,16.99,8868900
2023-01-17,17.02,18.333,16.63,17.29,5803100
2023-01-18,17.78,18.19,16.394,16.48,6094700
2023-01-19,15.93,16.02,15.15,15.57,5773100
2023-01-20,15.63,17.5,15.63,17.29,6926700
2023-01-23,17.64,18.76,17.049999,18.57,7488400
2023-01-24,18.19,19.55,17.84,17.99,6882500
2023-01-25,17.47,18.274,16.55,18.14,5080600
2023-01-26,18.75,18.9,17.26,17.43,4452900
2023-01-27,17.55,19.455,17.45,19.25,9566500
2023-01-30,18.82,20.35,18.3,18.76,9936800
2023-01-31,20.4,20.7,17.61,18.68,11031200
2023-02-01,18.36,20.43,18.34,20.2,7432300
2023-02-02,21.5,26.35,21.5,23.85,17585000
2023-02-03,21.64,24.18,21.55,22.1,8204300
2023-02-06,21.36,21.85,20.4,21.040001,5186600
2023-02-07,21.040001,21.18,19.43,20.5,6083800
2023-02-08,20.475,21.301,18.94,18.96,6310900
2023-02-09,18.030001,18.45,16.5,16.53,9719100
2023-02-10,16.4,16.65,15.75,16.31,5916200
2023-02-13,16.21,16.25,15.48,16.09,5915500
2023-02-14,15.75,17.3,15.28,16.85,14872800
2023-02-15,18.51,21.97,18.2,21.59,29305400
2023-02-16,20.27,20.74,18.815,18.93,9925700
2023-02-17,18.55,19.289,17.7,18.32,6788900
2023-02-21,17.74,18.58,17.46,18.55,4071300
2023-02-22,18.47,20.31,18.01,18.57,7294800
2023-02-23,19.02,19.17,17.58,18.52,4389700
2023-02-24,17.95,18.42,17.62,18.040001,3767100
2023-02-27,18.23,18.33,17.48,18.25,3744700
2023-02-28,18.059999,19.38,18.059999,18.51,5325600
2023-03-01,18.67,18.735,17.62,17.935,3828800
2023-03-02,17.47,17.74,16.51,17.67,5783200
2023-03-03,18.0,19.09,17.73,18.82,4792500
2023-03-06,19.19,19.9,18.57,18.6,4486100
2023-03-07,18.15,18.89,17.34,17.39,4416900
2023-03-08,17.5,17.84,17.049999,17.62,2953600
2023-03-09,17.34,17.56,16.2,16.22,5317300
2023-03-10,15.95,16.01,15.01,15.51,5664600
2023-03-13,15.18,15.76,14.316,15.27,5206900
