DateTime,Open,High,Low,Close,Volume
2000-01-04,3.3906,3.4375,3.25,3.25,400800
2000-01-05,3.2188,3.2344,2.7969,2.9219,596800
2000-01-06,2.5,2.5469,1.75,1.7969,20309600
2000-01-07,1.8359,1.8438,1.6094,1.6406,8713600
2000-01-10,1.6406,1.75,1.6094,1.6797,4564800
2000-01-11,1.6875,1.6875,1.6016,1.6094,2564800
2000-01-12,1.6406,1.7109,1.6172,1.6562,1555200
2000-01-13,1.6875,1.7031,1.6641,1.7031,1095200
2000-01-14,1.7344,1.8438,1.7031,1.8066,1364800
2000-01-18,1.7578,1.7969,1.6953,1.7344,1276800
2000-01-19,1.7188,1.7656,1.7188,1.7656,2314400
2000-01-20,1.7656,1.7812,1.75,1.7656,3140800
2000-01-21,1.7812,1.7812,1.7578,1.7734,276000
2000-01-24,1.7734,1.8125,1.7031,1.7109,3117600
2000-01-25,1.7188,1.75,1.7031,1.7031,195200
2000-01-26,1.7188,1.7344,1.7031,1.7031,176800
2000-01-27,1.7109,1.7266,1.7031,1.7109,537600
2000-01-28,1.7344,1.7344,1.6562,1.6797,415200
2000-01-31,1.6875,1.6875,1.6562,1.6875,328000
2000-02-01,1.6719,1.75,1.6562,1.7422,2658400
2000-02-02,1.7344,1.7422,1.7031,1.7109,1408800
2000-02-03,1.7578,1.8047,1.7344,1.75,896000
2000-02-04,1.7734,1.7969,1.7344,1.7344,340800
2000-02-07,1.7578,1.8047,1.75,1.8047,905600
2000-02-08,1.8125,1.8594,1.7734,1.8438,480800
2000-02-09,1.8476,1.8516,1.8125,1.8125,1663200
2000-02-10,1.8281,1.8281,1.7969,1.7969,716000
2000-02-11,1.7969,1.7969,1.7344,1.75,157600
2000-02-14,1.7344,1.7344,1.6797,1.6875,1250400
2000-02-15,1.7188,1.7188,1.6562,1.6797,546400
2000-02-16,1.6562,1.6641,1.5781,1.5781,319200
2000-02-17,1.5703,1.625,1.4844,1.5078,632800
2000-02-18,1.5078,1.5078,1.4609,1.4844,1160000
2000-02-22,1.4844,1.4844,1.4609,1.4844,347200
2000-02-23,1.4414,1.5,1.4414,1.4688,160000
2000-02-24,1.4726,1.4766,1.4531,1.4688,181600
2000-02-25,1.4531,1.4688,1.4531,1.4688,171200
2000-02-28,1.4609,1.4844,1.4531,1.4844,840800
2000-02-29,1.4805,1.4844,1.3984,1.4453,1489600
2000-03-01,1.4336,1.6172,1.4336,1.5938,263200
2000-03-02,1.5938,1.6719,1.5156,1.5938,272000
2000-03-03,1.5938,1.6094,1.5469,1.5703,217600
2000-03-06,1.5586,1.5625,1.4922,1.5312,468000
2000-03-07,1.5469,1.5469,1.4844,1.5,218400
2000-03-08,1.4922,1.5156,1.4922,1.5156,295200
2000-03-09,1.5078,1.5469,1.5,1.5469,140000
2000-03-10,1.5391,1.5469,1.5078,1.5312,84800
2000-03-13,1.5156,1.5703,1.5156,1.5391,87200
2000-03-14,1.5469,1.5469,1.5234,1.5469,133600
2000-03-15,1.6094,1.6172,1.5234,1.5391,816800
2000-03-16,1.5469,1.6406,1.5156,1.625,1238400
2000-03-17,1.6016,1.6719,1.5703,1.6016,759200
2000-03-20,1.5938,1.5938,1.5547,1.5547,147200
2000-03-21,1.6016,1.6094,1.5547,1.6094,105600
2000-03-22,1.6172,1.625,1.5938,1.5938,237600
2000-03-23,1.5938,1.75,1.5938,1.75,2268000
2000-03-24,1.7969,1.8203,1.7188,1.7812,312800
2000-03-27,1.8516,1.8594,1.75,1.7969,560800
2000-03-28,1.7812,1.7969,1.7656,1.7969,213600
2000-03-29,1.7812,1.8828,1.7734,1.8672,369600
2000-03-30,1.8672,1.875,1.8125,1.8438,605600
2000-03-31,1.8438,1.8906,1.8438,1.8438,890400
2000-04-03,1.8359,1.8594,1.7969,1.7969,133600
2000-04-04,1.7969,1.8047,1.7031,1.7324,280000
2000-04-05,1.7344,1.75,1.6641,1.6641,133600
2000-04-06,1.6641,1.7031,1.6641,1.6875,48800
2000-04-07,1.7031,1.7031,1.6875,1.7031,252800
2000-04-10,1.707,1.7656,1.707,1.7578,96000
2000-04-11,1.75,1.7812,1.6875,1.7812,77600
2000-04-12,1.7969,1.7969,1.6719,1.7344,152000
2000-04-13,1.7344,1.7344,1.6562,1.6719,85600
2000-04-14,1.6719,1.6719,1.625,1.625,173600
2000-04-17,1.5781,1.6094,1.5156,1.5781,793600
2000-04-18,1.5781,1.5938,1.5469,1.5859,262400
2000-04-19,1.625,1.625,1.5156,1.5234,91200
2000-04-20,1.6094,1.6094,1.5234,1.5625,22400
2000-04-24,1.5938,1.6406,1.5469,1.5625,280000
2000-04-25,1.5781,1.6562,1.5703,1.5781,1185600
2000-04-26,1.5391,1.5391,1.3828,1.4062,736000
2000-04-27,1.4219,1.4219,1.3828,1.4141,476000
2000-04-28,1.3906,1.4141,1.2812,1.3438,1216800
2000-05-01,1.3438,1.3438,1.2812,1.3047,2004800
2000-05-02,1.3359,1.3984,1.3203,1.375,557600
2000-05-03,1.4062,1.4062,1.3359,1.3359,840000
2000-05-04,1.3555,1.3906,1.3125,1.3906,165600
2000-05-05,1.3516,1.4062,1.3516,1.3906,341600
2000-05-08,1.3906,1.3906,1.3438,1.375,205600
2000-05-09,1.3906,1.3906,1.3438,1.3438,92000
2000-05-10,1.3476,1.3516,1.3125,1.3125,1372800
2000-05-11,1.3281,1.3359,1.2734,1.3359,96800
2000-05-12,1.2969,1.3359,1.2969,1.3359,204000
2000-05-15,1.3008,1.3672,1.2969,1.2969,316000
2000-05-16,1.3555,1.3594,1.3281,1.3281,243200
2000-05-17,1.3125,1.3125,1.2344,1.2656,614400
2000-05-18,1.2637,1.2812,1.25,1.2656,1164000
2000-05-19,1.2578,1.2656,1.2422,1.2578,930400
2000-05-22,1.2344,1.25,1.2109,1.2344,640800
2000-05-23,1.2266,1.25,1.2109,1.2344,480000
2000-05-24,1.2266,1.2344,1.2188,1.2344,600800
2000-05-25,1.2344,1.2637,1.1875,1.1875,184800
2000-05-26,1.2031,1.2344,1.1953,1.2188,395200
2000-05-30,1.2031,1.2188,1.1875,1.1875,115200
2000-05-31,1.1719,1.1953,1.125,1.125,232800
2000-06-01,1.1836,1.2031,1.125,1.1894,841600
2000-06-02,1.1953,1.2266,1.1953,1.2266,470400
2000-06-05,1.2266,1.3125,1.2188,1.3125,406400
2000-06-06,1.2812,1.4375,1.2812,1.4297,457600
2000-06-07,1.4219,1.5606,1.4219,1.4766,993600
2000-06-08,1.4961,1.4961,1.375,1.3828,429600
2000-06-09,1.3984,1.4062,1.3438,1.3516,1368000
2000-06-12,1.3594,1.3594,1.2344,1.2422,408000
2000-06-13,1.2344,1.2344,1.2031,1.207,23200
2000-06-14,1.2031,1.25,1.2031,1.2344,392800
2000-06-15,1.2344,1.2578,1.2344,1.25,984800
2000-06-16,1.2578,1.2656,1.2188,1.25,568000
2000-06-19,1.2031,1.2656,1.2031,1.2578,936000
2000-06-20,1.2422,1.2656,1.2422,1.2578,402400
2000-06-21,1.2656,1.2656,1.2109,1.2109,106400
2000-06-22,1.2031,1.2031,1.0781,1.1055,1915200
2000-06-23,1.1055,1.1133,1.1016,1.1094,588000
2000-06-26,1.1055,1.1094,1.1016,1.1016,893600
2000-06-27,1.0938,1.1406,1.0938,1.1094,792800
2000-06-28,1.1406,1.1406,1.1328,1.1406,1157600
2000-06-29,1.1406,1.1406,1.1172,1.125,662400
2000-06-30,1.1055,1.125,1.0703,1.1016,3804000
2000-07-03,1.125,1.2656,1.1016,1.2656,604000
2000-07-05,1.2578,1.2656,1.1875,1.1875,185600
2000-07-06,1.2188,1.2656,1.1875,1.2656,268000
2000-07-07,1.2578,1.2969,1.25,1.25,1470400
2000-07-10,1.2656,1.2656,1.25,1.2656,188000
2000-07-11,1.2656,1.2734,1.25,1.25,227200
2000-07-12,1.25,1.2578,1.2461,1.25,156800
2000-07-13,1.2656,1.2812,1.25,1.2734,80800
2000-07-14,1.2734,1.4297,1.2734,1.4297,314400
2000-07-17,1.418,1.418,1.3594,1.375,208800
2000-07-18,1.3438,1.3984,1.3438,1.3516,141600
2000-07-19,1.3438,1.3906,1.3281,1.3438,343200
2000-07-20,1.3281,1.3594,1.2656,1.2734,368800
2000-07-21,1.3125,1.3516,1.2812,1.3516,92000
2000-07-24,1.3516,1.3516,1.2656,1.3281,95200
2000-07-25,1.3516,1.4141,1.3281,1.3281,112000
2000-07-26,1.3438,1.3438,1.3203,1.3359,179200
2000-07-27,1.3359,1.3984,1.3125,1.3516,183200
2000-07-28,1.2774,1.3438,1.2774,1.3125,108000
2000-07-31,1.3281,1.4062,1.2891,1.3438,898400
2000-08-01,1.3438,1.3594,1.3281,1.3594,560800
2000-08-02,1.375,1.375,1.3359,1.3438,24000
2000-08-03,1.2188,1.25,1.2031,1.2031,2890400
2000-08-04,1.2031,1.2188,1.0703,1.0938,2376000
2000-08-07,1.125,1.1406,1.0703,1.1094,538400
2000-08-08,1.125,1.1328,1.1094,1.1172,930400
2000-08-09,1.1094,1.125,1.1094,1.1172,472800
2000-08-10,1.1094,1.1094,1.1094,1.1094,63200
2000-08-11,1.1172,1.1406,1.1094,1.1406,333600
2000-08-14,1.1406,1.1406,1.125,1.1328,48800
2000-08-15,1.1328,1.1953,1.1289,1.1856,136800
2000-08-16,1.1719,1.1953,1.1719,1.1875,173600
2000-08-17,1.1797,1.2031,1.1719,1.1719,767200
2000-08-18,1.1719,1.1875,1.1406,1.1641,231200
2000-08-21,1.1797,1.1797,1.1406,1.1562,446400
2000-08-22,1.1562,1.1562,1.125,1.1562,1381600
2000-08-23,1.1328,1.1641,1.1328,1.1562,176800
2000-08-24,1.1562,1.1641,1.1406,1.1562,220800
2000-08-25,1.1406,1.1562,1.125,1.125,816000
2000-08-28,1.1289,1.1328,1.0312,1.0625,772000
2000-08-29,1.0547,1.0859,1.0391,1.0508,305600
2000-08-30,1.0703,1.0859,1.0703,1.0703,434400
2000-08-31,1.0703,1.0859,1.0703,1.0703,1133600
2000-09-01,1.0703,1.0781,1.0391,1.0625,216800
2000-09-05,1.0664,1.0664,1.0391,1.0547,438400
2000-09-06,1.0781,1.0859,1.0625,1.0625,658400
2000-09-07,1.0664,1.1016,1.0469,1.0938,524800
2000-09-08,1.0742,1.0938,1.0703,1.0859,320800
2000-09-11,1.0976,1.1875,1.0938,1.1875,1700000
2000-09-12,1.1836,1.1875,1.1719,1.1875,412800
2000-09-13,1.1836,1.2305,1.1484,1.2266,552000
2000-09-14,1.1738,1.25,1.1719,1.25,336000
2000-09-15,1.2422,1.375,1.2344,1.3359,715200
2000-09-18,1.375,1.375,1.3125,1.3281,653600
2000-09-19,1.3203,1.3359,1.2891,1.2969,298400
2000-09-20,1.3008,1.3047,1.2969,1.2969,248800
2000-09-21,1.3047,1.3047,1.2812,1.3047,311200
2000-09-22,1.3008,1.3203,1.2969,1.3047,223200
2000-09-25,1.3242,1.3281,1.3125,1.3125,148800
2000-09-26,1.3125,1.3359,1.2734,1.3359,179200
2000-09-27,1.3281,1.3359,1.2812,1.2969,166400
2000-09-28,1.2969,1.3281,1.2969,1.3047,111200
2000-09-29,1.2891,1.3047,1.2812,1.2969,1743200
2000-10-02,1.2969,1.2969,1.2656,1.2656,72000
2000-10-03,1.2734,1.2734,1.2656,1.2656,62400
2000-10-04,1.2598,1.2812,1.25,1.2578,188000
2000-10-05,1.2656,1.2812,1.25,1.25,120800
2000-10-06,1.25,1.25,1.2266,1.2344,176800
2000-10-09,1.2344,1.2344,1.1172,1.1719,1064000
2000-10-10,1.1406,1.1875,1.1406,1.1641,615200
2000-10-11,1.1562,1.1797,1.1094,1.1328,1155200
2000-10-12,1.1309,1.1328,1.0703,1.1016,364800
2000-10-13,1.0976,1.1562,1.0859,1.1094,488000
2000-10-16,1.1016,1.1133,1.0781,1.0781,268000
2000-10-17,1.0938,1.0938,1.0703,1.082,349600
2000-10-18,1.0742,1.0781,1.0625,1.0625,366400
2000-10-19,1.0625,1.0625,1.0078,1.0156,76000
2000-10-20,1.0234,1.0469,0.9688,1.0,219200
2000-10-23,1.0156,1.0469,0.9688,0.9922,131200
2000-10-24,0.9961,1.0,0.9766,1.0,79200
2000-10-25,1.0,1.0,0.9531,0.9531,190400
2000-10-26,0.9668,1.0,0.9668,0.9688,100800
2000-10-27,1.0,1.0,0.9375,0.9844,285600
2000-10-30,0.9688,1.0312,0.9688,1.0156,608000
2000-10-31,1.0156,1.1562,1.0,1.1016,914400
2000-11-01,1.0859,1.125,1.0781,1.125,490400
2000-11-02,1.1094,1.1406,1.1016,1.1094,1204800
2000-11-03,1.0449,1.1016,1.0156,1.0312,543200
2000-11-06,1.0469,1.0469,1.0,1.0078,221600
2000-11-07,1.0234,1.0234,0.9766,1.0039,221600
2000-11-08,1.0156,1.0234,0.9844,0.9922,41600
2000-11-09,1.0078,1.0078,0.9453,1.0,142400
2000-11-10,1.0,1.0,0.9922,0.9961,80800
2000-11-13,1.0,1.0078,0.9922,1.0,86400
2000-11-14,1.0,1.0156,1.0,1.0078,168000
2000-11-15,1.0156,1.0156,1.0117,1.0156,12000
2000-11-16,0.9922,1.0312,0.9844,0.9844,594400
2000-11-17,1.0,1.0156,0.9844,1.0156,236000
2000-11-20,1.0137,1.0312,1.0,1.0,94400
2000-11-21,0.9863,1.0078,0.9844,0.9883,84800
2000-11-22,0.9844,0.9922,0.9609,0.9688,669600
2000-11-24,0.9844,1.0,0.9688,1.0,30400
2000-11-27,1.0,1.0156,0.9844,1.0,443200
2000-11-28,1.0039,1.0312,0.9922,1.0078,334400
2000-11-29,1.0117,1.0234,0.9844,1.0078,1904000
2000-11-30,1.0,1.0078,0.9609,1.0,291200
