DateTime,Open,High,Low,Close,Volume
2013-02-12,19.76,19.89,19.66,19.81,7478400
2013-02-13,19.94,20.09,19.8,19.95,10807300
2013-02-14,19.61,19.82,19.59,19.79,11693500
2013-02-15,19.65,19.73,19.38,19.51,11211800
2013-02-19,19.67,19.7,19.25,19.33,15269000
2013-02-20,19.18,19.28,18.55,18.59,20037600
2013-02-21,18.3,18.49,18.12,18.41,20077400
2013-02-22,18.55,18.57,18.05,18.09,17094500
2013-02-25,18.17,18.34,18.0,18.01,19570500
2013-02-26,17.98,18.48,17.78,18.42,20190000
2013-02-27,18.3,18.77,18.17,18.53,22137200
2013-02-28,18.81,19.32,18.76,18.99,21508600
2013-03-01,18.52,18.87,18.49,18.55,19100700
2013-03-04,18.11,18.15,17.82,18.02,18208200
2013-03-05,18.28,18.39,17.95,17.98,16276000
2013-03-06,18.1,19.09,18.04,18.93,22480900
2013-03-07,19.05,19.41,18.9,19.11,25012400
2013-03-08,19.08,19.1,18.44,18.63,23709300
2013-03-11,18.53,18.79,18.29,18.59,17427300
2013-03-12,18.67,18.94,18.56,18.61,12395600
2013-03-13,18.42,18.43,17.77,17.8,27003400
2013-03-14,17.76,17.83,17.35,17.6,26000300
2013-03-15,17.88,17.98,17.52,17.55,25415300
2013-03-18,17.26,17.57,17.16,17.44,19068000
2013-03-19,17.28,17.33,16.84,16.98,25732500
2013-03-20,17.06,17.35,16.87,17.2,18307500
2013-03-21,17.04,17.33,17.01,17.05,13714400
2013-03-22,17.14,17.34,17.01,17.16,12600400
2013-03-25,17.15,17.24,16.81,17.03,13497600
2013-03-26,17.07,17.26,17.01,17.11,11136400
2013-03-27,16.89,17.49,16.77,17.4,15611000
2013-03-28,17.5,17.54,17.17,17.29,15244500
2013-04-01,17.25,17.32,16.85,16.85,10759200
2013-04-02,16.93,16.98,16.5,16.57,28186300
2013-04-03,16.49,17.12,16.49,16.95,25912700
2013-04-04,17.11,17.33,16.88,16.97,16534600
2013-04-05,16.72,17.49,16.62,17.33,23054000
2013-04-08,17.43,17.47,17.1,17.4,15892600
2013-04-09,17.76,18.41,17.71,18.25,27034000
2013-04-10,18.45,18.55,17.6,17.77,38261600
2013-04-11,17.68,17.72,17.13,17.36,24228300
2013-04-12,17.24,18.17,16.85,17.47,33716600
2013-04-15,16.93,16.95,16.37,16.39,24323700
2013-04-16,16.63,16.75,16.35,16.6,16876300
2013-04-17,15.88,16.09,15.47,15.82,35154100
2013-04-18,15.88,16.23,15.7,15.94,19687400
2013-04-19,16.09,16.14,15.71,16.02,16098300
2013-04-22,15.99,16.1,15.76,16.03,13525700
2013-04-23,16.07,16.62,15.9,16.39,18908700
2013-04-24,16.69,16.97,16.68,16.75,15891200
2013-04-25,17.11,17.38,16.95,17.05,21301900
2013-04-26,17.02,17.08,16.51,16.7,15032000
2013-04-29,16.8,16.98,16.6,16.9,13408500
2013-04-30,16.72,17.09,16.56,17.09,12377000
2013-05-01,16.99,17.0,16.53,16.61,14643600
2013-05-02,16.67,16.77,16.45,16.47,18825200
2013-05-03,16.98,17.13,16.83,16.85,14399400
2013-05-06,16.89,16.91,16.7,16.81,8958600
2013-05-07,16.95,17.36,16.87,17.2,14765400
2013-05-08,17.42,17.68,17.35,17.48,17478400
2013-05-09,17.51,17.72,17.23,17.34,14073900
2013-05-10,17.38,17.39,16.88,16.96,16947000
2013-05-13,16.86,16.87,16.63,16.82,10206600
2013-05-14,16.64,16.71,16.29,16.33,17801700
2013-05-15,16.1,16.13,15.79,15.88,20948300
2013-05-16,15.77,15.9,15.49,15.58,22287300
2013-05-17,15.69,15.81,15.55,15.61,14282300
2013-05-20,15.58,16.05,15.48,16.01,15227300
2013-05-21,16.15,16.39,16.01,16.24,18214100
2013-05-22,16.28,16.55,15.78,15.94,24749400
2013-05-23,15.47,15.69,15.37,15.57,17838600
2013-05-24,15.49,15.58,15.4,15.51,12343900
2013-05-28,15.6,15.66,15.21,15.21,13110600
2013-05-29,14.97,15.07,14.75,14.9,22438500
2013-05-30,14.91,15.3,14.81,15.1,15772700
2013-05-31,14.84,14.88,14.21,14.4,30863400
2013-06-03,14.53,14.83,14.44,14.81,19261300
2013-06-04,15.01,15.06,14.52,15.02,26898900
2013-06-05,15.0,15.1,14.51,14.55,16460200
2013-06-06,14.49,14.74,14.34,14.7,13834100
2013-06-07,14.62,14.79,14.4,14.51,14308400
2013-06-10,14.26,14.41,14.2,14.29,17883000
2013-06-11,13.9,14.14,13.82,13.98,21870100
2013-06-12,14.0,14.03,13.6,13.71,20226500
2013-06-13,13.86,14.52,13.83,14.47,24760800
2013-06-14,14.7,14.73,14.08,14.13,16998400
2013-06-17,14.3,14.38,14.05,14.16,12415300
2013-06-18,14.07,14.47,14.05,14.31,22112900
2013-06-19,14.29,14.42,13.98,13.98,19237200
2013-06-20,13.43,13.86,13.3,13.61,25552400
2013-06-21,13.66,13.77,13.45,13.65,23094300
2013-06-24,13.3,13.31,12.73,12.94,24634800
2013-06-25,13.25,13.39,13.08,13.34,16361200
2013-06-26,13.47,13.57,12.98,13.14,20867500
2013-06-27,13.23,13.35,13.1,13.13,17006300
2013-06-28,12.88,13.18,12.84,13.15,20339400
2013-07-01,13.17,13.44,13.02,13.23,18601700
2013-07-02,13.11,13.26,12.6,12.87,20958000
2013-07-03,12.61,12.9,12.52,12.74,14353000
2013-07-05,12.87,12.89,12.39,12.63,23935900
2013-07-08,12.76,12.9,12.56,12.7,16925300
2013-07-09,12.95,13.09,12.86,12.91,13387700
2013-07-10,12.8,13.05,12.78,12.85,16830100
2013-07-11,13.37,13.56,13.26,13.56,19139000
2013-07-12,13.33,13.4,13.21,13.29,13442800
2013-07-15,13.32,13.6,13.31,13.55,12635600
2013-07-16,13.77,13.95,13.64,13.94,17604300
2013-07-17,14.16,14.43,14.12,14.35,25317400
2013-07-18,14.34,14.57,14.26,14.31,15771300
