DateTime,Open,High,Low,Close,Volume
2013-03-13,51.0,51.63,50.5,51.05,8000
2013-03-14,51.16,51.16,50.26,50.5,18300
2013-03-15,50.65,51.02,50.4,50.96,14700
2013-03-18,50.69,50.9,50.52,50.56,3900
2013-03-19,50.6,50.6,50.34,50.39,4500
2013-03-20,51.08,51.08,50.69,50.9,2100
2013-03-21,51.15,51.25,50.74,50.8,5300
2013-03-22,51.0,51.12,50.53,50.72,7700
2013-03-25,51.01,51.1,50.7,50.86,5000
2013-03-26,51.0,51.33,51.0,51.19,8400
2013-03-27,51.15,51.86,51.15,51.44,7600
2013-03-28,51.59,52.05,51.59,51.84,12200
2013-04-01,51.85,52.4,51.24,51.7,5500
2013-04-02,51.85,52.15,51.71,51.84,5900
2013-04-03,51.7,51.7,50.46,50.5,3700
2013-04-04,50.41,50.72,49.6,50.0,6200
2013-04-05,49.25,50.71,49.06,49.99,8700
2013-04-08,49.64,50.2,49.51,50.0,9400
2013-04-09,49.95,50.5,49.86,50.1,8100
2013-04-10,50.0,50.56,49.88,50.2,26500
2013-04-11,50.25,50.49,50.09,50.27,6100
2013-04-12,50.0,50.91,48.88,49.1,10200
2013-04-15,49.03,49.03,45.76,46.49,42600
2013-04-16,46.76,46.81,46.1,46.35,6700
2013-04-17,45.94,45.94,44.5,44.87,25900
2013-04-18,45.26,46.86,45.13,46.67,16400
2013-04-19,46.67,46.67,45.99,46.29,8800
2013-04-22,46.7,46.95,46.12,46.88,10200
2013-04-23,47.0,47.5,46.92,47.44,15000
2013-04-24,47.48,49.75,47.48,49.0,16600
2013-04-25,49.55,49.98,49.02,49.68,10800
2013-04-26,49.85,49.85,48.94,49.35,3900
2013-04-29,49.8,50.19,49.47,50.19,13300
2013-04-30,50.23,51.25,49.64,51.25,18000
2013-05-01,50.31,51.11,49.63,50.8,10700
2013-05-02,50.72,50.73,50.4,50.4,9900
2013-05-03,50.36,51.0,50.16,50.24,5700
2013-05-06,50.26,50.6,50.15,50.15,7000
2013-05-07,49.86,51.28,49.86,51.18,25300
2013-05-08,51.44,51.53,50.28,50.36,12300
2013-05-09,50.41,50.95,50.32,50.76,6400
2013-05-10,50.76,50.76,50.21,50.37,3800
2013-05-13,50.61,50.67,50.34,50.48,3900
2013-05-14,49.78,50.49,49.78,50.3,14000
2013-05-15,49.94,49.99,49.71,49.89,9800
2013-05-16,49.9,50.31,49.65,49.65,7600
2013-05-17,49.64,50.55,49.63,50.4,3900
2013-05-20,50.0,51.0,49.8,50.98,7400
2013-05-21,50.76,51.6,50.73,51.21,12100
2013-05-22,51.15,51.59,50.46,50.5,112300
2013-05-23,51.5,51.5,50.16,51.03,15900
2013-05-24,51.09,51.3,50.5,50.66,18300
2013-05-28,51.0,51.32,50.15,50.38,26400
2013-05-29,50.17,51.21,49.96,51.18,16400
2013-05-30,50.94,51.78,50.86,51.21,15800
2013-05-31,51.31,51.31,50.1,50.25,29000
2013-06-03,50.46,50.52,49.65,50.52,14700
2013-06-04,50.32,50.46,49.86,50.33,3400
2013-06-05,50.38,50.38,49.8,50.12,16600
2013-06-06,49.98,50.76,49.6,50.67,5700
2013-06-07,50.86,51.69,50.66,51.28,12400
2013-06-10,51.79,51.79,50.97,51.17,5700
2013-06-11,50.49,51.2,50.37,50.75,8400
2013-06-12,50.0,50.1,49.12,49.14,5400
2013-06-13,49.18,50.38,49.18,50.03,4500
2013-06-14,49.95,50.0,49.65,49.79,3700
2013-06-17,50.25,50.8,49.85,50.04,9900
2013-06-18,49.85,50.75,49.85,50.43,15700
2013-06-19,51.05,51.55,51.05,51.16,4100
2013-06-20,50.74,50.74,48.58,49.08,17300
2013-06-21,49.86,50.01,47.82,48.48,12900
2013-06-24,48.05,48.05,46.48,47.73,17000
2013-06-25,47.75,48.23,47.46,48.17,5800
2013-06-26,48.26,48.93,48.26,48.7,2600
2013-06-27,48.47,49.22,48.43,48.83,4400
2013-06-28,48.63,49.61,48.5,48.86,11700
2013-07-01,49.24,49.67,48.58,49.41,6900
2013-07-02,48.89,49.23,47.65,49.11,20700
2013-07-03,49.2,49.82,49.18,49.18,4300
2013-07-05,49.39,49.39,48.5,49.06,6800
2013-07-08,49.07,49.86,49.07,49.86,4200
2013-07-09,49.91,50.31,49.5,50.1,3300
2013-07-10,50.44,51.09,50.24,51.08,10500
2013-07-11,51.58,51.73,50.79,51.16,14900
2013-07-12,51.13,51.17,50.58,50.92,6000
2013-07-15,50.92,51.45,50.6,51.04,6700
