DateTime,Open,High,Low,Close,Volume
2023-08-16,26.5,30.55,24.163,29.02,3108600
2023-08-17,27.86,29.36,19.88,20.0,1831500
2023-08-18,19.64,19.677,11.61,15.4,2971300
2023-08-21,16.78,18.89,16.0,17.58,2126500
2023-08-22,19.0,46.98,18.8,36.72,19413700
2023-08-23,30.17,45.0,29.82,37.03,8267500
2023-08-24,38.7,57.8,37.37,49.0,12923500
2023-08-25,55.2,73.9,55.03,68.77,15278100
2023-08-28,84.0,93.0,75.92,82.35,12782400
2023-08-29,74.52,76.93,46.0,46.25,10794700
2023-08-30,53.4,57.5,37.5,41.27,10804800
2023-08-31,44.3,44.4,33.56,34.71,6503500
2023-09-01,32.52,34.34,26.262,29.495,7362900
2023-09-05,26.61,30.62,26.02,26.13,6312400
2023-09-06,26.7,27.2,24.47,24.5,5605300
2023-09-07,22.0,23.002,17.6,17.99,9917400
2023-09-08,19.48,19.49,16.33,17.15,8534000
2023-09-11,16.0,17.05,15.33,16.57,7693900
2023-09-12,16.49,18.33,15.45,17.21,7676600
2023-09-13,17.2,17.48,16.43,17.21,3039300
2023-09-14,16.99,17.24,16.526,16.85,2112700
2023-09-15,16.5,17.88,16.5,17.53,3808300
2023-09-18,17.13,18.45,16.89,17.32,2864000
2023-09-19,17.14,18.1,17.03,17.8,2472400
2023-09-20,17.65,17.84,17.19,17.19,1384200
2023-09-21,16.89,17.153,15.164,15.75,3275300
2023-09-22,16.38,16.4,15.01,15.63,2243800
2023-09-25,15.05,15.21,13.62,14.0,2352600
2023-09-26,13.9,13.98,12.8,12.88,2275500
2023-09-27,12.61,12.74,11.08,11.22,3063000
2023-09-28,11.11,12.89,10.64,12.56,5061100
2023-09-29,12.21,13.61,12.0,12.5,4652600
2023-10-02,11.11,11.794,9.72,9.8,6851900
2023-10-03,9.04,9.64,9.0,9.33,3263800
2023-10-04,9.37,9.37,7.98,8.05,5687600
2023-10-05,8.9,9.3,8.06,8.5,8881800
2023-10-06,8.08,8.28,7.65,8.03,3498600
2023-10-09,7.96,7.97,7.23,7.23,3682300
2023-10-10,7.28,7.61,7.01,7.49,3872600
2023-10-11,7.67,8.23,7.48,8.12,4343900
2023-10-12,8.02,8.04,7.62,7.98,3222800
2023-10-13,7.84,8.44,7.78,7.98,4139800
2023-10-16,7.98,8.08,6.3,6.53,9597400
2023-10-17,6.37,6.84,6.24,6.46,6427700
2023-10-18,6.29,6.33,5.81,5.97,5524000
2023-10-19,5.97,6.1,5.61,5.69,3688100
2023-10-20,5.57,5.66,5.25,5.38,4730800
2023-10-23,5.29,5.31,4.65,4.8,6504200
2023-10-24,4.82,4.93,4.64,4.93,3203300
2023-10-25,4.91,5.44,4.59,5.21,6229200
2023-10-26,5.2,5.64,4.95,5.51,3843900
2023-10-27,5.55,5.83,5.24,5.32,1865200
2023-10-30,5.37,5.49,5.2,5.33,1384600
2023-10-31,5.28,5.55,5.242,5.43,1351300
2023-11-01,5.32,5.45,5.005,5.33,2820400
2023-11-02,5.47,5.67,5.315,5.6,2384400
2023-11-03,5.7,5.97,5.61,5.94,2971800
2023-11-06,6.17,6.26,5.64,6.135,3407000
2023-11-07,6.07,6.31,5.78,6.16,2031300
2023-11-08,6.25,7.28,6.14,7.25,6562200
2023-11-09,7.33,7.34,6.26,6.49,4848200
2023-11-10,6.37,6.62,5.77,6.07,3540900
2023-11-13,6.07,6.07,5.75,5.9,2387200
2023-11-14,6.11,6.225,5.89,6.19,2452100
2023-11-15,6.2,6.36,5.98,6.17,2580700
2023-11-16,6.06,6.11,5.61,5.75,2813700
2023-11-17,5.69,5.708,5.3,5.41,3298600
2023-11-20,5.48,5.5,5.33,5.36,2653900
2023-11-21,5.71,6.34,5.54,5.99,8105500
2023-11-22,6.5,6.58,6.14,6.18,7008700
2023-11-24,6.18,6.73,6.18,6.56,4513300
2023-11-27,6.46,6.87,6.1,6.63,5164100
2023-11-28,6.65,7.135,6.551,6.99,5054400
2023-11-29,7.13,7.58,6.91,7.56,6546500
2023-11-30,8.68,9.3,8.27,8.45,19404500
2023-12-01,8.15,8.2,7.59,7.84,5510500
2023-12-04,7.91,7.92,6.96,7.06,6376900
2023-12-05,7.0,7.279,6.78,6.85,3814800
2023-12-06,6.94,7.375,6.87,7.0,3925900
2023-12-07,6.97,7.01,6.75,6.82,2863700
2023-12-08,6.8,6.955,6.68,6.85,2667000
2023-12-11,7.09,7.1,6.6,6.72,2887600
2023-12-12,6.72,6.72,6.37,6.5,2522000
2023-12-13,6.4,6.85,6.4,6.79,2426400
2023-12-14,6.98,6.98,6.7,6.94,3231700
2023-12-15,7.04,7.98,6.803,7.88,6185100
2023-12-18,7.63,7.79,7.4,7.63,3408100
