DateTime,Open,High,Low,Close,Volume
2019-10-14,14.5,14.85,13.52,13.79,690900
2019-10-15,13.8,14.42,13.59,14.26,146800
2019-10-16,14.72,14.8,14.04,14.8,190800
2019-10-17,14.71,15.22,14.04,14.22,360500
2019-10-18,14.25,14.579,13.391,13.66,206200
2019-10-21,13.73,14.46,13.73,14.41,286000
2019-10-22,14.31,14.58,13.76,14.37,300800
2019-10-23,14.3,14.59,14.26,14.5,135800
2019-10-24,14.4,14.5,14.05,14.3,241600
2019-10-25,14.32,14.8,14.095,14.64,189700
2019-10-28,14.65,15.4,14.39,15.15,189400
2019-10-29,15.11,15.4,14.65,14.81,92000
2019-10-30,14.97,14.97,14.22,14.43,179700
2019-10-31,14.45,14.52,13.84,14.1,109900
2019-11-01,14.1,15.01,14.1,15.0,93700
2019-11-04,15.15,15.79,14.69,15.75,126800
2019-11-05,15.92,16.2,15.79,15.85,250700
2019-11-06,15.89,16.13,14.44,14.63,145000
2019-11-07,14.74,15.25,14.1,14.53,192600
2019-11-08,14.52,14.77,13.68,13.83,169200
2019-11-11,13.86,13.99,13.07,13.27,85300
2019-11-12,13.21,13.77,13.12,13.15,171500
2019-11-13,13.2,13.425,13.0,13.06,77300
2019-11-14,13.01,13.25,13.01,13.1,72700
2019-11-15,13.02,13.085,12.72,13.02,109400
2019-11-18,12.92,13.08,12.63,12.85,67600
2019-11-19,12.87,13.1,12.76,12.85,64900
2019-11-20,12.77,13.121,12.34,12.47,80700
2019-11-21,12.42,13.01,12.42,12.81,89300
2019-11-22,12.72,13.2,12.53,12.79,35100
2019-11-25,12.92,13.125,12.28,12.37,54700
2019-11-26,12.45,12.55,11.65,11.83,127600
2019-11-27,11.94,12.1,11.83,11.9,101100
2019-11-29,11.93,12.142,11.86,11.95,56800
2019-12-02,11.99,13.415,11.99,13.2,184600
2019-12-03,13.12,13.49,12.9,13.07,111500
2019-12-04,13.2,13.826,12.75,13.6,135800
2019-12-05,13.63,13.91,12.94,13.02,91000
2019-12-06,13.14,13.69,12.48,12.62,178800
2019-12-09,12.54,13.21,12.4,12.88,130600
2019-12-10,13.0,13.36,12.76,12.76,168200
2019-12-11,12.78,13.173,12.72,12.94,89400
2019-12-12,12.94,13.29,12.775,12.98,119500
2019-12-13,12.96,14.1,12.89,13.66,152000
2019-12-16,13.69,13.97,12.5,12.52,133600
2019-12-17,12.52,12.999,12.3,12.57,151800
2019-12-18,12.57,12.79,12.3,12.38,66400
2019-12-19,12.29,12.8,12.273,12.37,64300
2019-12-20,12.4,13.39,12.27,12.27,803900
2019-12-23,12.34,13.07,12.31,12.53,129100
2019-12-24,12.55,12.975,12.53,12.62,22300
2019-12-26,12.66,13.1,12.63,12.68,72300
2019-12-27,12.83,13.24,12.35,12.37,285800
2019-12-30,12.41,12.638,12.08,12.12,106400
2019-12-31,12.14,12.98,12.01,12.575,241400
2020-01-02,12.56,12.942,12.01,12.15,142200
2020-01-03,12.2,12.38,12.0,12.04,103700
2020-01-06,12.13,12.31,12.04,12.19,89500
2020-01-07,12.15,12.59,12.075,12.18,88100
2020-01-08,12.15,12.595,12.15,12.43,79400
2020-01-09,12.58,12.7,12.37,12.64,43000
2020-01-10,12.73,13.12,12.567,12.84,98800
2020-01-13,12.96,13.4,12.8,13.22,124300
2020-01-14,13.35,14.6,13.134,14.55,157600
2020-01-15,14.66,15.3,14.25,15.26,106800
2020-01-16,15.82,17.295,15.44,17.17,269500
2020-01-17,17.5,18.54,16.17,16.38,309500
2020-01-21,16.4,16.659,16.005,16.47,117800
2020-01-22,16.48,17.102,16.12,16.49,36500
2020-01-23,18.25,18.46,16.4,16.98,267700
2020-01-24,17.42,20.16,17.0,19.95,440100
2020-01-27,25.93,27.475,23.0,24.775,2687400
2020-01-28,24.05,24.2,19.6,21.31,764000
2020-01-29,20.63,26.29,20.21,22.47,2146300
2020-01-30,23.34,25.236,21.355,23.53,1215800
2020-01-31,25.25,29.0,24.3,26.63,1751500
2020-02-03,26.9,27.5,21.9,22.805,1199500
2020-02-04,20.69,22.08,20.51,21.24,749200
2020-02-05,20.52,21.24,20.28,20.92,296400
2020-02-06,20.1,20.97,18.87,19.23,385700
2020-02-07,18.74,20.86,18.65,20.47,349900
2020-02-10,20.86,20.86,19.305,20.02,202500
2020-02-11,20.0,20.122,18.0,18.24,304400
2020-02-12,19.13,19.8,18.515,18.99,264000
2020-02-13,19.28,19.88,17.02,17.06,380700
2020-02-14,17.11,18.15,17.11,17.38,278100
2020-02-18,17.82,18.0,17.16,17.53,193100
2020-02-19,17.62,17.855,16.78,17.1,177900
2020-02-20,16.88,17.26,16.638,16.91,107000
2020-02-21,16.91,17.0,16.09,16.26,159400
2020-02-24,18.0,20.23,17.03,18.96,740700
2020-02-25,20.62,21.73,19.0,21.73,744200
2020-02-26,23.29,36.5,23.26,34.975,3955900
2020-02-27,68.99,75.0,38.11,60.2,6588600
2020-02-28,71.15,71.96,38.3,46.5,3336900
2020-03-02,39.53,47.0,38.26,45.0,813200
2020-03-03,38.7,41.5,36.082,40.97,892200
2020-03-04,42.0,47.49,41.52,44.9,1067500
2020-03-05,45.72,46.64,43.02,43.78,426900
2020-03-06,42.55,46.0,42.15,45.7,474000
2020-03-09,49.19,49.77,36.08,39.0,841700
2020-03-10,37.9,37.99,27.414,29.91,818100
2020-03-11,33.55,40.99,30.52,33.77,1450900
2020-03-12,40.0,41.5,34.25,37.6,1665000
2020-03-13,37.54,43.66,33.1,43.66,1117700
2020-03-16,36.25,49.0,34.15,45.76,917500
2020-03-17,47.07,53.76,43.03,50.26,1095000
2020-03-18,49.16,54.0,45.0,49.18,809800
2020-03-19,47.5,48.0,37.0,42.81,911500
2020-03-20,43.3,43.59,36.0,39.76,688000
2020-03-23,39.94,39.94,35.0,36.61,410200
2020-03-24,35.32,36.597,31.0,32.75,681100
2020-03-25,37.0,37.395,30.195,30.75,911400
2020-03-26,31.37,32.0,29.01,32.0,505700
2020-03-27,32.5,37.49,31.01,34.3,975000
2020-03-30,36.5,36.5,32.01,35.5,718900
2020-03-31,35.47,35.6,32.95,34.27,344600
2020-04-01,33.05,34.49,29.52,29.77,594200
2020-04-02,29.96,30.4,27.12,29.26,578700
2020-04-03,29.0,30.97,27.73,29.0,408100
2020-04-06,36.5,39.88,32.15,36.7,3706300
2020-04-07,36.5,36.7,31.15,32.09,1355800
2020-04-08,31.0,31.42,28.0,29.1,3502600
2020-04-09,29.86,29.95,28.8,29.5,1888500
2020-04-13,31.4,31.4,29.01,29.9,1361300
2020-04-14,29.75,29.98,29.139,29.5,1326500
2020-04-15,29.06,30.058,28.67,29.27,1036400
2020-04-16,29.2,29.969,28.75,29.33,1049800
2020-04-17,29.63,29.64,28.184,29.35,1756100
2020-04-20,29.23,31.86,29.04,31.0,1833100
2020-04-21,32.0,32.0,28.81,30.55,1523700
2020-04-22,30.55,30.99,29.61,30.08,1039500
2020-04-23,29.55,31.4,29.55,31.15,1580200
2020-04-24,31.25,34.26,29.88,32.61,1788700
2020-04-27,34.03,35.18,33.01,33.05,1424200
2020-04-28,33.34,34.05,31.6,32.72,931700
2020-04-29,33.1,33.45,30.04,30.1,1627700
2020-04-30,30.06,30.55,29.0,30.51,1083400
2020-05-01,29.64,30.34,27.505,27.89,947700
2020-05-04,28.25,30.88,28.01,29.8,1226900
2020-05-05,30.0,30.29,29.29,29.95,587600
2020-05-06,29.67,30.07,28.5,29.2,560100
2020-05-07,28.38,30.065,28.27,29.87,637900
2020-05-08,29.84,30.968,29.18,30.79,528100
2020-05-11,30.69,31.75,29.6,31.31,867800
2020-05-12,32.18,32.27,29.91,30.26,1089500
2020-05-13,30.81,31.3,29.051,30.71,1106000
2020-05-14,30.01,31.38,29.17,31.15,1146500
2020-05-15,30.21,31.7,29.72,30.35,684900
2020-05-18,33.45,42.4,33.02,40.1,5560600
2020-05-19,38.81,40.1,33.5,33.98,2350300
2020-05-20,35.72,40.0,34.61,39.91,2695400
2020-05-21,39.45,39.91,35.5,37.06,1961500
2020-05-22,37.11,37.3,32.71,33.69,2590900
2020-05-26,34.74,35.45,32.65,33.67,1474900
2020-05-27,32.74,32.92,30.01,32.2,1594200
2020-05-28,31.07,32.81,31.02,31.56,922500
2020-05-29,31.88,34.22,31.3,34.18,1352500
2020-06-01,34.0,35.95,33.84,35.35,1558400
2020-06-02,35.62,37.09,34.51,37.03,1349200
2020-06-03,36.66,36.66,33.25,33.42,2022700
2020-06-04,33.74,34.875,33.31,34.01,740800
2020-06-05,33.19,33.86,32.1,33.21,940300
2020-06-08,34.26,36.45,33.11,35.94,2455600
2020-06-09,35.65,37.18,34.66,34.77,1007700
2020-06-10,35.0,35.99,34.67,34.73,841400
2020-06-11,34.26,35.89,33.05,33.55,1186800
2020-06-12,33.95,34.63,32.699,34.22,784600
2020-06-15,34.17,35.963,33.83,35.63,1125600
2020-06-16,36.0,36.52,34.37,36.38,1120200
2020-06-17,36.46,37.98,36.11,37.08,980500
2020-06-18,35.34,37.99,35.07,37.32,896500
2020-06-19,37.71,42.08,37.57,41.46,2736000
2020-06-22,41.03,42.89,36.08,38.89,2812400
2020-06-23,39.2,41.76,38.196,40.29,1331500
2020-06-24,40.37,48.42,40.185,47.86,3221600
2020-06-25,47.92,50.75,43.752,45.09,3072000
2020-06-26,44.09,44.245,38.085,38.83,7527500
2020-06-29,38.15,38.47,35.56,36.32,1731000
2020-06-30,36.59,41.42,35.83,40.97,2059600
2020-07-01,38.65,39.71,37.03,39.6,1262800
2020-07-02,39.5,41.17,38.4,40.32,993000
2020-07-06,38.8,41.38,38.716,41.02,1128400
2020-07-07,41.25,44.75,41.02,44.35,1187400
2020-07-08,45.0,48.25,44.5,46.07,3065600
2020-07-09,46.59,48.4,44.8,47.2,1231500
2020-07-10,47.47,49.0,46.45,48.71,1104400
2020-07-13,49.6,51.49,49.6,50.22,2083400
2020-07-14,50.08,50.33,47.13,49.58,947500
2020-07-15,50.0,52.31,48.29,50.67,1136000
2020-07-16,50.33,51.7,47.5,49.23,1077400
2020-07-17,49.5,53.31,49.39,51.38,1305500
2020-07-20,52.55,54.22,50.54,51.7,908700
2020-07-21,52.0,53.35,51.02,52.14,646800
2020-07-22,52.15,52.81,49.12,49.64,831800
2020-07-23,49.99,51.44,48.56,49.09,482500
2020-07-24,47.27,48.47,46.28,48.06,626300
2020-07-27,48.63,49.19,47.11,47.74,745500
2020-07-28,48.0,48.49,47.32,48.04,457900
2020-07-29,48.23,48.915,45.66,47.47,487600
2020-07-30,46.94,48.33,46.19,47.06,561000
2020-07-31,47.5,48.09,45.29,47.76,708900
2020-08-03,47.93,49.85,46.905,49.52,505000
2020-08-04,50.0,50.81,48.84,50.6,358000
2020-08-05,51.0,52.75,49.31,50.65,1498900
2020-08-06,51.0,52.39,49.54,50.16,454500
2020-08-07,50.08,52.16,49.75,52.03,456800
2020-08-10,52.52,54.005,51.52,53.2,611900
2020-08-11,52.99,53.78,48.92,52.66,1064100
2020-08-12,52.21,55.0,50.602,52.87,831000
2020-08-13,52.51,54.29,52.4,52.75,483500
2020-08-14,52.52,53.24,51.67,52.74,777400
2020-08-17,52.74,53.85,52.29,53.6,629300
2020-08-18,53.79,54.93,52.615,52.95,457700
2020-08-19,53.03,53.273,49.46,50.43,1292800
2020-08-20,50.07,53.24,49.85,51.89,1039200
2020-08-21,51.99,52.87,51.3,52.86,749400
2020-08-24,53.01,53.1,42.84,42.95,1745800
2020-08-25,45.0,45.012,41.53,42.15,850200
2020-08-26,42.04,44.626,42.04,43.66,674600
2020-08-27,43.66,43.805,39.77,41.1,1030700
2020-08-28,42.23,42.83,40.29,41.64,597400
2020-08-31,43.73,44.0,39.4,40.48,1422000
2020-09-01,39.49,40.23,31.59,33.89,2461100
2020-09-02,33.88,34.344,31.01,33.38,1643700
2020-09-03,33.35,33.36,31.0,31.03,1451300
2020-09-04,30.21,30.775,28.01,28.57,1500300
2020-09-08,28.28,31.46,27.88,28.68,2971000
2020-09-09,29.3,31.54,28.87,30.17,1591000
2020-09-10,30.17,31.63,27.155,28.28,1605500
2020-09-11,29.63,30.75,27.34,28.38,1087200
2020-09-14,30.59,33.375,30.5,31.87,1502800
2020-09-15,32.38,32.74,30.46,30.81,938200
2020-09-16,31.03,33.55,30.73,32.96,2232200
2020-09-17,32.36,34.08,31.29,32.01,1815800
2020-09-18,32.1,33.25,31.41,32.72,5175800
2020-09-21,32.47,33.36,30.55,32.0,1621600
2020-09-22,31.75,33.0,30.638,32.89,1738000
2020-09-23,32.86,33.93,32.47,33.43,670900
2020-09-24,32.16,33.32,31.66,32.28,815300
2020-09-25,32.06,35.96,31.96,35.91,710700
2020-09-28,35.9,36.87,34.71,36.17,610000
2020-09-29,36.0,38.49,35.9,37.73,628000
2020-09-30,37.69,38.28,33.63,34.33,1506900
2020-10-01,34.99,35.29,33.9,34.75,578600
2020-10-02,34.28,35.33,32.89,33.33,695400
2020-10-05,34.99,39.241,34.93,39.11,1089900
2020-10-06,42.79,42.94,40.2,41.5,2965200
