DateTime,Open,High,Low,Close,Volume
2025-01-02,17.1,17.33,16.52,16.69,980000
2025-01-03,16.78,17.21,16.66,17.16,1720000
2025-01-06,17.45,17.78,17.12,17.19,1470200
2025-01-07,17.4,17.6,17.16,17.2,1202900
2025-01-08,16.96,16.96,16.45,16.64,1036900
2025-01-10,16.27,16.42,15.91,16.36,1468900
2025-01-13,16.15,16.41,16.0,16.26,1369600
2025-01-14,16.49,16.68,15.87,16.08,1780200
2025-01-15,16.48,16.89,16.34,16.46,2118000
2025-01-16,16.62,16.9,16.38,16.51,1233600
2025-01-17,16.74,16.84,16.35,16.5,1282700
2025-01-21,16.62,17.45,16.61,17.3,1982200
2025-01-22,17.36,17.63,17.059999,17.2,1319000
2025-01-23,16.91,17.29,16.76,17.15,1494700
2025-01-24,17.08,17.2,16.74,16.86,1877900
2025-01-27,16.67,16.91,16.28,16.29,1955600
2025-01-28,16.36,16.48,16.040001,16.25,1319600
2025-01-29,16.28,16.52,16.1,16.42,1402600
2025-01-30,16.61,16.77,16.52,16.65,1568400
2025-01-31,16.55,17.07,16.38,16.93,2248400
2025-02-03,16.35,16.66,16.09,16.26,1743100
2025-02-04,16.22,16.69,16.22,16.64,1756200
2025-02-05,16.42,18.35,15.88,18.28,4675300
2025-02-06,18.32,18.36,17.35,17.58,2721200
2025-02-07,17.64,17.77,17.01,17.17,2280100
2025-02-10,17.15,17.22,16.88,16.93,1362000
2025-02-11,16.75,17.34,16.75,17.01,1419100
2025-02-12,16.59,17.35,16.44,17.27,1548200
2025-02-13,17.37,17.79,17.29,17.75,1370400
2025-02-14,17.85,18.69,17.82,18.63,2106400
2025-02-18,18.61,18.81,18.48,18.6,1451800
2025-02-19,18.56,19.33,18.44,19.1,2575000
2025-02-20,19.1,19.81,18.93,19.08,1829500
2025-02-21,19.27,19.52,18.5,18.63,2184700
2025-02-24,18.71,18.86,18.31,18.35,2587700
2025-02-25,18.3,18.5,17.79,18.0,2334200
2025-02-26,18.030001,18.18,17.69,17.97,1904700
2025-02-27,17.66,17.85,16.77,16.78,2952900
2025-02-28,16.67,17.2,16.54,17.14,2441300
2025-03-03,17.33,17.4,16.47,16.62,2009300
2025-03-04,16.5,17.2,16.39,16.94,2004400
2025-03-05,17.12,17.42,16.99,17.41,1541100
2025-03-06,17.09,17.68,17.049999,17.62,1460000
2025-03-07,17.38,17.86,17.17,17.78,1431500
2025-03-10,17.5,17.77,17.36,17.63,2151600
2025-03-11,17.73,17.89,16.89,17.040001,1409800
2025-03-12,17.0,17.18,16.52,16.63,1756800
2025-03-13,16.6,17.14,16.53,16.68,1164200
2025-03-14,16.84,17.040001,16.67,16.87,2018600
2025-03-17,16.5,17.15,16.41,17.1,2817500
2025-03-18,17.01,17.14,16.8,17.040001,1703600
2025-03-19,16.89,17.46,16.89,17.33,1334700
2025-03-20,17.17,17.4,17.0,17.21,1935400
