DateTime,Open,High,Low,Close,Volume
2017-05-11,15.1,15.35,15.0,15.32,3080400
2017-05-12,15.35,15.83,15.33,15.58,972700
2017-05-15,15.54,15.77,15.5,15.73,692600
2017-05-16,15.77,16.0,15.39,15.42,1235800
2017-05-17,15.47,15.67,15.03,15.09,1080900
2017-05-18,15.15,15.15,14.69,14.8,1413600
2017-05-19,15.25,15.3,14.5,15.04,5709800
2017-05-22,15.0,15.14,14.88,14.96,1442200
2017-05-23,14.95,15.005,14.85,15.0,1370200
2017-05-24,14.96,15.09,14.81,15.0,1953300
2017-05-25,14.97,15.03,14.805,14.85,2504400
2017-05-26,14.89,15.05,14.78,14.99,2107000
2017-05-30,14.95,14.99,14.76,14.92,1328500
2017-05-31,14.86,14.95,14.7,14.77,1114300
2017-06-01,14.75,14.955,14.75,14.91,1227000
2017-06-02,14.95,15.02,14.81,14.99,2294200
2017-06-05,15.19,15.52,15.1,15.26,4910400
2017-06-06,15.17,15.57,15.07,15.52,3637900
2017-06-07,15.5,15.79,15.35,15.68,4022700
2017-06-08,15.6,15.85,15.56,15.72,1957000
2017-06-09,15.79,15.98,15.67,15.8,1820300
2017-06-12,15.7,16.1,15.6,16.0,2991700
2017-06-13,15.99,16.48,15.99,16.35,3229900
2017-06-14,16.3,16.8,16.3,16.79,5430800
2017-06-15,16.68,16.84,16.51,16.6,2330000
2017-06-16,16.6,16.88,16.4,16.7,22643500
2017-06-19,16.64,16.79,16.63,16.7,2528300
2017-06-20,16.66,16.78,16.615,16.72,4076800
2017-06-21,16.72,16.74,16.605,16.7,2813800
2017-06-22,16.75,16.75,16.48,16.65,4504500
2017-06-23,16.74,16.91,16.6,16.75,20845100
2017-06-26,16.75,16.86,16.62,16.7,2591600
2017-06-27,16.7,16.85,16.665,16.7,2854200
2017-06-28,16.75,16.9,16.63,16.86,2770800
2017-06-29,16.85,16.88,16.69,16.7,3179800
2017-06-30,16.69,16.82,16.61,16.79,1450000
2017-07-03,16.86,17.04,16.79,17.01,880700
2017-07-05,17.0,17.0,16.65,16.74,1571800
2017-07-06,16.82,16.84,16.39,16.47,1432000
2017-07-07,16.64,16.66,16.33,16.44,1720600
2017-07-10,16.41,16.51,16.31,16.42,1290000
2017-07-11,16.37,16.49,16.16,16.44,1709400
2017-07-12,16.46,16.58,16.15,16.27,2418600
2017-07-13,16.31,16.31,15.79,15.88,1888500
2017-07-14,15.895,16.07,15.825,16.02,1298400
2017-07-17,16.0,16.085,15.86,15.96,1130000
2017-07-18,16.02,16.15,15.95,16.03,1715700
2017-07-19,15.96,16.15,15.89,15.96,836000
2017-07-20,16.05,16.26,15.91,16.2,1209100
2017-07-21,16.28,16.42,16.25,16.39,1038700
2017-07-24,16.32,16.75,16.2,16.6,1410700
2017-07-25,16.6,16.77,16.28,16.61,1975200
2017-07-26,16.61,16.68,16.39,16.51,1002400
2017-07-27,16.43,16.545,16.37,16.52,598300
2017-07-28,16.48,16.54,16.37,16.43,523800
2017-07-31,16.4,16.491,16.36,16.43,484600
2017-08-01,16.38,16.61,16.33,16.61,920900
2017-08-02,16.49,16.6,16.28,16.52,1092000
2017-08-03,16.6,16.65,16.085,16.18,1056600
2017-08-04,16.18,16.69,15.92,16.66,1611000
2017-08-07,16.69,17.09,16.69,17.02,744200
2017-08-08,16.95,17.22,16.85,17.19,1043500
2017-08-09,17.11,17.24,16.99,17.07,1450100
2017-08-10,17.02,17.17,16.95,17.0,1501500
2017-08-11,16.91,17.33,16.88,17.21,1166500
2017-08-14,17.21,17.5,17.07,17.38,1239900
2017-08-15,17.38,17.55,17.32,17.51,1405700
2017-08-16,17.45,17.7,17.41,17.66,1334300
2017-08-17,17.82,17.85,17.1,17.12,1558200
2017-08-18,17.18,17.625,17.09,17.54,1571900
2017-08-21,17.5,17.77,17.42,17.66,1076100
2017-08-22,17.66,17.77,17.54,17.68,947000
2017-08-23,17.64,17.79,17.64,17.72,825800
2017-08-24,17.7,17.76,17.635,17.65,858800
2017-08-25,17.75,17.79,17.64,17.75,729900
2017-08-28,17.8,17.8,17.71,17.76,955200
2017-08-29,17.59,17.8,17.59,17.71,689800
2017-08-30,17.69,17.74,17.3,17.36,858700
2017-08-31,17.35,17.71,17.305,17.7,792100
2017-09-01,17.68,18.08,17.68,17.84,2499100
2017-09-05,17.95,17.95,17.58,17.75,1172700
2017-09-06,17.74,17.855,17.68,17.77,758900
2017-09-07,17.68,17.92,17.68,17.87,912600
2017-09-08,17.86,17.93,17.16,17.65,1159600
2017-09-11,17.72,17.87,17.59,17.72,652300
2017-09-12,17.68,17.77,17.57,17.7,594100
2017-09-13,17.78,17.91,17.64,17.71,1663900
2017-09-14,17.67,17.99,17.54,17.8,1010300
2017-09-15,17.85,17.95,17.66,17.78,1880200
2017-09-18,17.81,18.0,17.69,17.99,2046300
2017-09-19,17.96,18.05,17.84,17.88,1584900
2017-09-20,18.05,18.31,17.97,18.22,1534000
2017-09-21,18.17,18.217,18.02,18.16,581200
2017-09-22,18.18,18.275,18.13,18.15,884600
2017-09-25,18.26,18.275,18.11,18.16,848800
2017-09-26,18.24,18.56,18.13,18.46,1247500
2017-09-27,18.49,18.85,18.42,18.7,1481700
2017-09-28,18.7,18.96,18.605,18.65,1769100
2017-09-29,18.66,18.9,18.58,18.69,1895300
2017-10-02,18.7,18.94,18.64,18.9,1875100
2017-10-03,19.2,19.25,18.7,18.9,3313000
2017-10-04,18.91,19.09,18.86,18.93,6352000
2017-10-05,18.97,19.33,18.93,19.12,4771000
2017-10-06,19.29,19.29,18.65,18.79,3453900
2017-10-09,18.87,18.95,18.69,18.93,1734300
2017-10-10,18.95,19.09,18.71,18.81,2102500
2017-10-11,18.73,19.01,18.72,19.01,1955100
2017-10-12,19.08,19.15,18.83,19.08,2087600
2017-10-13,19.15,19.16,18.83,19.0,1540800
2017-10-16,19.07,19.105,18.93,18.99,2834800
2017-10-17,19.03,19.1,18.85,19.01,1915800
2017-10-18,19.0,19.16,18.65,18.7,1511600
2017-10-19,18.6,18.84,18.44,18.83,1302100
2017-10-20,18.98,19.05,18.88,19.03,1608200
2017-10-23,19.02,19.58,19.02,19.48,1782700
2017-10-24,19.67,19.75,19.56,19.58,1925600
2017-10-25,19.65,20.44,19.44,20.32,6720100
2017-10-26,20.32,21.2,20.17,20.49,4931000
2017-10-27,20.47,20.66,20.17,20.3,3175400
2017-10-30,20.0,20.01,18.37,18.57,26446200
2017-10-31,18.72,19.57,18.61,19.44,11236700
2017-11-01,19.57,19.65,19.06,19.21,5730600
2017-11-02,19.22,19.45,18.555,19.12,6306100
2017-11-03,19.12,19.37,18.96,19.23,4222700
2017-11-06,19.27,19.47,19.14,19.36,3905200
2017-11-07,19.38,19.48,18.94,18.95,4194900
2017-11-08,19.0,19.02,18.835,18.88,5564100
2017-11-09,18.81,18.97,18.22,18.3,5514300
2017-11-10,18.26,18.69,18.24,18.61,6009500
2017-11-13,18.63,19.01,18.45,18.95,3810700
2017-11-14,18.98,19.4,18.97,19.18,7720500
2017-11-15,19.15,19.31,18.82,19.15,5911600
2017-11-16,19.22,19.26,18.9,18.98,6226300
2017-11-17,19.04,19.24,18.89,19.15,6946200
2017-11-20,19.15,19.17,18.85,18.93,3103300
2017-11-21,18.99,19.005,18.73,18.9,4769900
2017-11-22,18.97,19.455,18.97,19.44,3314800
2017-11-24,19.42,19.49,19.2,19.28,1959900
2017-11-27,19.32,19.32,18.85,19.02,5567000
2017-11-28,19.08,19.25,19.035,19.23,5034400
2017-11-29,19.17,19.28,18.84,19.15,6259500
2017-11-30,19.23,19.42,18.81,18.9,18083700
2017-12-01,18.87,19.07,18.54,18.73,6515400
2017-12-04,18.83,18.86,18.41,18.57,6615100
2017-12-05,18.52,18.54,17.58,17.81,5591800
2017-12-06,17.84,17.89,17.35,17.51,5073200
2017-12-07,17.52,17.82,17.355,17.77,4589200
2017-12-08,17.76,17.86,17.53,17.75,2862700
2017-12-11,17.72,18.15,17.72,18.11,5689700
2017-12-12,18.14,18.35,17.93,18.07,4216200
2017-12-13,17.95,18.01,17.1,17.45,6053500
2017-12-14,17.32,17.51,17.15,17.24,4332500
2017-12-15,17.21,17.47,17.21,17.31,5321600
2017-12-18,17.27,17.83,17.27,17.79,3594900
2017-12-19,17.83,18.18,17.72,18.0,4859500
2017-12-20,18.11,18.46,18.06,18.16,4206600
2017-12-21,18.2,18.4,18.07,18.16,6193900
2017-12-22,18.1,18.2,17.835,17.98,4314700
2017-12-26,17.98,18.12,17.72,17.74,3764100
2017-12-27,17.77,18.13,17.77,17.85,3263000
2017-12-28,17.84,18.015,17.74,17.91,3391900
2017-12-29,17.9,18.53,17.88,18.32,4558300
2018-01-02,18.26,18.43,18.12,18.42,3790700
2018-01-03,18.48,18.83,18.32,18.47,4049700
2018-01-04,18.45,18.98,18.4,18.49,4480500
2018-01-05,18.56,18.7,18.3,18.68,2765500
2018-01-08,18.68,18.84,18.515,18.7,3789300
2018-01-09,18.62,18.65,18.21,18.46,4521200
2018-01-10,18.39,18.505,18.2,18.35,2610800
2018-01-11,18.47,18.58,18.24,18.54,3591900
2018-01-12,18.55,18.62,18.44,18.57,2015200
2018-01-16,18.63,18.63,17.95,17.98,3053200
2018-01-17,18.1,18.59,18.01,18.44,4217000
2018-01-18,18.58,18.82,18.545,18.79,8061900
2018-01-19,18.81,19.555,18.775,19.49,7149300
2018-01-22,19.53,19.76,19.22,19.24,4690700
2018-01-23,19.22,19.45,19.14,19.23,4096300
2018-01-24,19.27,19.79,19.22,19.48,5249700
2018-01-25,19.56,19.755,19.35,19.72,3372600
2018-01-26,19.77,19.9,19.59,19.79,2234800
2018-01-29,19.7,19.76,19.415,19.56,2450900
2018-01-30,19.47,19.51,19.035,19.16,3917400
2018-01-31,19.17,19.52,19.13,19.5,2919600
2018-02-01,19.47,19.85,19.43,19.64,4312700
2018-02-02,19.43,19.59,19.05,19.15,3360600
2018-02-05,18.99,19.195,18.36,18.53,3691400
2018-02-06,18.17,18.85,17.8,18.67,5663500
2018-02-07,18.57,19.26,18.52,18.53,5851800
2018-02-08,18.53,18.635,17.44,17.46,4777900
2018-02-09,17.55,18.07,17.31,17.88,5662600
2018-02-12,17.95,18.03,17.41,17.96,4424100
2018-02-13,17.91,18.335,17.84,18.25,2400000
2018-02-14,18.12,18.4,18.05,18.26,1754700
2018-02-15,18.39,18.72,18.17,18.69,1950900
2018-02-16,18.64,19.01,18.6,18.83,1548300
2018-02-20,18.78,18.995,18.74,18.88,2945600
2018-02-21,18.95,19.04,18.6,18.67,2487200
2018-02-22,18.73,18.99,18.57,18.72,3585500
2018-02-23,18.8,19.05,18.7,19.02,4884700
2018-02-26,19.13,19.23,18.44,18.98,3358000
2018-02-27,19.01,19.3,18.92,18.98,4245500
2018-02-28,19.1,19.145,18.88,18.95,3852500
2018-03-01,19.0,19.305,18.8,19.1,3240000
2018-03-02,18.97,19.62,18.86,19.59,2934000
2018-03-05,19.58,20.06,19.5,19.91,4934500
2018-03-06,20.14,20.53,19.805,20.47,8881700
2018-03-07,20.55,20.76,20.22,20.59,4276900
2018-03-08,20.77,20.88,20.54,20.81,5226200
2018-03-09,20.87,20.965,20.6,20.69,4891300
2018-03-12,20.65,20.78,20.38,20.46,5421700
2018-03-13,20.59,20.62,20.15,20.46,8115400
2018-03-14,20.5,20.62,20.135,20.29,5061000
2018-03-15,20.38,20.74,20.3,20.69,5541200
2018-03-16,20.69,20.75,20.35,20.43,4212200
2018-03-19,20.38,20.38,19.79,19.93,4342900
2018-03-20,20.0,20.11,19.685,19.82,3759900
2018-03-21,19.86,20.3,19.79,20.15,4039700
2018-03-22,19.96,20.56,19.92,20.35,6223200
2018-03-23,20.32,20.585,20.1,20.19,4377800
2018-03-26,20.23,20.85,20.145,20.71,4057000
2018-03-27,20.71,21.15,20.595,20.86,4796000
2018-03-28,21.33,21.435,20.81,21.13,4717600
2018-03-29,21.15,21.18,20.705,20.83,4904700
2018-04-02,20.81,20.91,20.01,20.35,3415600
2018-04-03,20.44,20.84,20.09,20.78,4979900
2018-04-04,20.58,20.7,20.36,20.61,5006900
2018-04-05,20.7,20.94,20.05,20.22,4761300
2018-04-06,20.19,20.23,19.59,19.68,14214500
2018-04-09,19.87,21.345,19.77,20.83,11306700
2018-04-10,21.03,21.32,20.63,21.32,9086800
2018-04-11,21.25,21.57,21.215,21.47,8343100
2018-04-12,21.56,22.16,21.33,21.46,9270000
2018-04-13,21.5,21.85,21.35,21.65,8445400
2018-04-16,21.85,22.25,21.75,21.99,8280200
2018-04-17,22.17,22.46,21.935,22.35,5408800
2018-04-18,22.38,22.57,22.31,22.34,4540300
2018-04-19,22.25,22.37,21.82,22.12,3833100
2018-04-20,22.09,22.15,21.795,21.88,5551200
2018-04-23,21.97,22.33,21.91,22.33,4724800
2018-04-24,22.49,22.79,22.195,22.28,4562900
2018-04-25,22.35,22.6,22.19,22.48,3413300
2018-04-26,22.53,22.98,22.36,22.6,5803000
2018-04-27,22.66,23.005,22.355,22.74,3587200
2018-04-30,22.87,23.01,22.76,22.85,4032800
2018-05-01,22.96,22.96,22.49,22.85,4012800
2018-05-02,22.9,23.42,22.88,22.99,5348600
2018-05-03,23.0,23.37,22.6,23.14,5485300
2018-05-04,24.0,24.39,22.82,23.01,9115100
2018-05-07,23.04,24.04,23.04,23.8,7160500
2018-05-08,23.82,23.94,22.985,23.17,6072700
2018-05-09,23.2,23.32,22.6,22.99,4587000
2018-05-10,22.66,23.01,22.65,22.91,4681600
2018-05-11,22.96,23.18,22.81,22.94,4052100
2018-05-14,23.08,23.365,22.97,23.1,2878600
2018-05-15,23.03,23.2,22.945,23.14,4516900
2018-05-16,23.18,23.45,22.965,23.08,3837100
2018-05-17,23.06,23.15,22.63,22.88,4051500
2018-05-18,22.79,23.04,22.79,23.01,3841200
2018-05-21,23.11,23.17,22.74,23.01,3340400
2018-05-22,23.13,23.43,23.13,23.22,2017800
2018-05-23,23.18,23.28,23.075,23.23,3508500
2018-05-24,23.6,24.24,23.55,24.08,6064400
2018-05-25,24.02,24.155,23.815,23.95,3174000
2018-05-29,23.95,24.16,23.86,24.01,2998300
2018-05-30,24.06,24.56,24.06,24.27,4846900
2018-05-31,24.41,24.695,24.26,24.53,10162400
2018-06-01,24.53,24.595,24.31,24.34,4055800
2018-06-04,24.5,24.65,24.06,24.27,3801000
2018-06-05,24.28,24.64,24.2,24.38,3647500
2018-06-06,24.38,24.72,24.37,24.61,4563100
2018-06-07,24.66,24.81,24.63,24.67,3776400
2018-06-08,24.59,24.73,24.27,24.56,2348700
2018-06-11,24.56,24.675,24.035,24.09,3832700
2018-06-12,24.08,24.37,24.015,24.2,4105600
2018-06-13,24.32,24.64,24.18,24.39,9875100
2018-06-14,24.46,24.81,23.98,24.01,4273900
2018-06-15,23.86,23.92,23.525,23.75,5565400
2018-06-18,23.62,23.88,23.47,23.52,4715100
2018-06-19,23.38,23.58,23.06,23.46,6467400
2018-06-20,23.6,23.86,23.52,23.65,5305600
2018-06-21,23.78,24.11,23.67,24.07,3552300
2018-06-22,24.06,24.2,23.51,23.65,9068700
2018-06-25,23.66,23.76,23.22,23.33,4497500
2018-06-26,23.36,23.94,23.325,23.84,5392300
2018-06-27,23.74,24.09,23.645,23.75,3388600
2018-06-28,23.7,24.01,23.49,23.5,4137800
2018-06-29,23.57,24.025,23.5,23.66,3085500
2018-07-02,23.48,24.01,23.33,24.01,3306800
2018-07-03,23.89,23.91,22.745,22.81,3476000
2018-07-05,22.89,22.89,22.36,22.62,4288100
2018-07-06,22.63,23.045,22.57,22.91,3452300
2018-07-09,22.95,23.26,22.59,22.71,3806700
2018-07-10,22.68,23.13,22.68,23.01,4119900
2018-07-11,22.98,23.1,22.79,22.87,2321300
2018-07-12,22.84,23.24,22.7,23.19,2422100
2018-07-13,23.11,23.445,23.01,23.44,2506200
2018-07-16,23.43,23.76,23.38,23.71,2937800
2018-07-17,23.74,24.01,23.51,23.59,2562500
2018-07-18,23.64,23.79,23.49,23.55,2991300
2018-07-19,23.51,23.63,23.04,23.23,3197200
2018-07-20,23.17,23.42,22.9,23.18,2537600
2018-07-23,23.3,23.41,22.83,22.89,2341900
2018-07-24,22.84,22.85,22.28,22.45,3485500
2018-07-25,22.52,22.72,22.19,22.31,2846900
2018-07-26,22.33,22.78,22.3,22.55,2166000
2018-07-27,22.59,22.685,22.33,22.35,1993700
2018-07-30,22.41,22.44,22.08,22.17,1528100
2018-07-31,22.21,22.67,22.14,22.6,3363900
2018-08-01,22.58,22.77,22.36,22.72,2706600
2018-08-02,22.59,22.75,22.3,22.56,3094200
2018-08-03,22.56,22.86,22.46,22.62,3921900
2018-08-06,22.65,23.75,22.63,23.2,5380900
2018-08-07,23.13,23.68,22.79,23.47,4320000
2018-08-08,23.31,23.42,23.17,23.33,3454200
2018-08-09,23.31,23.59,23.27,23.36,3569300
2018-08-10,23.23,23.425,22.62,22.78,5373600
2018-08-13,22.71,22.79,21.85,22.1,8113400
2018-08-14,22.37,22.445,22.18,22.41,4114500
2018-08-15,22.49,22.54,21.96,22.06,6609800
2018-08-16,22.1,22.6,22.04,22.45,5167200
2018-08-17,22.42,22.75,22.315,22.42,3329800
2018-08-20,22.42,22.62,22.31,22.51,2224200
2018-08-21,22.55,22.63,22.32,22.33,2053000
2018-08-22,22.39,22.6,22.33,22.5,3217100
2018-08-23,22.5,22.76,22.46,22.48,3149800
2018-08-24,22.58,22.78,22.49,22.66,2519100
2018-08-27,22.71,23.18,22.71,22.79,2964300
2018-08-28,22.81,23.05,22.79,22.9,3041400
2018-08-29,22.99,23.325,22.66,22.98,4622800
2018-08-30,22.93,23.76,22.93,23.4,5071500
2018-08-31,23.32,23.58,23.32,23.54,3541100
2018-09-04,23.48,23.57,23.15,23.21,4398800
2018-09-05,23.21,23.26,22.72,22.99,3610400
2018-09-06,22.91,23.11,22.41,22.46,3974000
2018-09-07,22.34,22.54,22.175,22.5,2871000
2018-09-10,22.61,23.04,22.53,22.9,2600100
2018-09-11,22.82,23.21,22.76,22.98,3520300
2018-09-12,22.96,23.335,22.95,23.25,3761600
2018-09-13,23.32,23.49,23.13,23.35,2445000
2018-09-14,23.27,23.61,23.27,23.35,3375300
2018-09-17,23.27,23.62,22.955,23.03,3389100
2018-09-18,23.02,23.43,23.0,23.27,4486600
2018-09-19,23.34,23.55,23.02,23.06,4876400
2018-09-20,23.22,23.61,23.17,23.42,3276000
2018-09-21,23.4,23.98,23.37,23.84,9448800
2018-09-24,23.79,24.02,23.68,23.87,2797500
2018-09-25,23.65,23.94,23.25,23.55,3803800
2018-09-26,23.65,24.02,23.54,23.74,4466200
2018-09-27,23.82,24.25,23.69,24.18,3433400
2018-09-28,24.18,25.22,24.18,24.88,8265600
2018-10-01,24.92,25.26,24.78,25.26,4817700
2018-10-02,25.36,26.29,25.28,25.45,12196700
