DateTime,Open,High,Low,Close,Volume
2020-10-19,4.96,5.0,4.57,4.63,1687500
2020-10-20,4.69,4.71,4.37,4.47,1322800
2020-10-21,4.47,4.5,4.16,4.29,1286900
2020-10-22,4.32,4.42,4.16,4.36,956000
2020-10-23,4.4,4.44,4.25,4.39,661100
2020-10-26,4.38,4.39,4.03,4.2,1471500
2020-10-27,4.2,4.25,4.16,4.2,578900
2020-10-28,4.05,4.1,3.85,3.91,1577200
2020-10-29,3.97,4.15,3.91,4.05,845700
2020-10-30,3.98,4.04,3.75,3.94,2306300
2020-11-02,4.08,4.08,3.76,3.82,1014600
2020-11-03,3.86,4.05,3.81,3.96,911600
2020-11-04,4.03,4.04,3.84,3.96,805500
2020-11-05,4.07,4.09,3.95,4.04,827500
2020-11-06,4.03,4.07,3.92,3.93,723800
2020-11-09,4.07,4.08,3.77,3.79,1172100
2020-11-10,3.65,3.77,3.4,3.43,2172200
2020-11-11,3.59,3.95,3.48,3.88,1585700
2020-11-12,3.95,3.97,3.63,3.73,1457500
2020-11-13,3.75,3.82,3.67,3.76,671200
2020-11-16,3.78,3.9,3.59,3.9,1119200
2020-11-17,3.89,3.89,3.67,3.74,964000
2020-11-18,3.76,3.79,3.64,3.69,607900
2020-11-19,3.68,4.04,3.65,3.98,1233000
2020-11-20,4.0,4.04,3.85,3.88,715300
2020-11-23,3.95,3.99,3.81,3.95,770900
2020-11-24,3.96,4.16,3.85,4.13,1428500
2020-11-25,4.12,4.12,3.97,4.04,491300
2020-11-27,4.18,4.21,4.04,4.14,405900
2020-11-30,4.15,4.35,4.0,4.35,1534500
2020-12-01,4.34,4.37,4.13,4.17,1364200
2020-12-02,4.1,4.31,3.89,4.16,1241400
2020-12-03,4.19,4.35,4.12,4.31,953500
2020-12-04,4.27,4.38,4.17,4.21,802700
2020-12-07,4.18,4.57,4.11,4.37,1633400
2020-12-08,4.4,4.51,4.31,4.34,698500
2020-12-09,4.41,4.48,4.09,4.18,1157000
2020-12-10,4.24,4.33,4.09,4.13,758000
2020-12-11,4.16,4.4,4.12,4.34,1154900
2020-12-14,4.43,4.93,4.36,4.83,4095100
2020-12-15,4.84,5.86,4.76,5.74,9865000
2020-12-16,5.65,6.55,5.6,6.35,6972500
2020-12-17,6.39,7.08,6.38,6.66,6133800
2020-12-18,6.84,9.25,6.81,8.31,32595300
2020-12-21,8.11,8.88,7.65,8.88,8198200
2020-12-22,8.92,10.87,8.34,10.6,11118600
2020-12-23,10.98,11.0,9.02,9.16,4808600
2020-12-24,9.5,9.51,8.07,9.05,3968300
2020-12-28,9.24,9.69,8.8,9.13,2726900
2020-12-29,9.07,9.09,8.13,8.29,2373800
2020-12-30,8.56,9.68,8.52,9.31,2834500
2020-12-31,9.29,9.33,8.85,9.08,1458400
2021-01-04,9.1,9.5,8.33,8.48,1687600
2021-01-05,8.38,9.21,8.19,8.82,2126900
2021-01-06,9.02,9.95,8.51,8.63,3505000
2021-01-07,8.83,9.43,8.8,9.2,1694500
2021-01-08,9.39,9.39,8.65,9.03,2052400
2021-01-11,8.8,9.39,8.56,8.77,2946700
2021-01-12,8.81,9.04,8.62,8.75,1594000
2021-01-13,8.84,10.49,8.75,9.75,9575900
2021-01-14,9.94,10.03,8.96,9.49,4126100
2021-01-15,9.6,10.3,8.84,8.99,3589600
2021-01-19,9.54,9.6,8.76,9.23,2688300
2021-01-20,9.28,11.31,9.25,11.17,7408300
2021-01-21,11.49,11.89,10.08,10.9,4614400
2021-01-22,10.57,12.81,10.04,12.37,11228800
2021-01-25,13.22,15.4,12.03,14.82,9016400
2021-01-26,14.75,16.34,14.33,14.86,4310400
2021-01-27,14.05,15.49,13.41,13.94,2887500
2021-01-28,13.67,14.14,12.15,12.36,4067300
2021-01-29,12.12,12.3,10.65,11.05,6059000
2021-02-01,11.6,12.0,10.7,11.56,4591200
2021-02-02,11.85,12.14,11.3,11.61,3489300
2021-02-03,11.87,11.93,11.47,11.76,2057400
2021-02-04,12.26,12.83,11.68,12.42,4316100
2021-02-05,12.8,12.96,12.07,12.48,2467500
2021-02-08,12.69,13.2,12.56,12.9,4061100
2021-02-09,13.09,14.65,13.0,13.95,4391100
2021-02-10,14.48,14.71,12.66,13.76,4659600
2021-02-11,14.08,14.11,12.55,13.35,3439800
2021-02-12,13.24,16.96,13.1,16.95,7784600
2021-02-16,16.61,17.36,14.74,17.16,9161000
2021-02-17,17.82,18.15,15.88,16.83,4682600
2021-02-18,15.93,16.91,15.01,15.84,4689500
2021-02-19,16.07,17.95,15.81,17.73,5184000
2021-02-22,20.39,24.44,19.56,20.48,24459600
2021-02-23,18.41,20.6,15.5,19.16,9687100
2021-02-24,20.0,21.48,18.73,18.89,6426100
2021-02-25,19.27,20.38,17.51,18.08,6517700
2021-02-26,18.55,19.66,17.21,18.82,6292700
2021-03-01,20.56,23.95,19.79,23.59,10483900
2021-03-02,23.14,26.08,22.54,22.72,8680000
2021-03-03,23.19,23.3,19.6,20.26,5337900
