DateTime,Open,High,Low,Close,Volume
2015-12-15,18.41,18.67,18.41,18.55,310000
2015-12-16,18.63,18.9,18.55,18.9,529800
2015-12-17,19.0,19.98,19.0,19.82,1933600
2015-12-18,19.8,20.1,19.14,19.32,902500
2015-12-21,19.11,19.8,19.01,19.7,289900
2015-12-22,19.74,20.45,19.61,20.18,683800
2015-12-23,20.24,20.56,20.23,20.41,556900
2015-12-24,20.26,20.38,19.93,19.99,577700
2015-12-28,19.82,20.2,19.6,19.9,356800
2015-12-29,19.98,20.1,19.57,19.89,283000
2015-12-30,19.89,20.0,19.47,19.48,289800
2015-12-31,19.3,19.65,19.0,19.5,317600
2016-01-04,18.74,18.88,17.75,18.86,991600
2016-01-05,18.86,19.41,18.7,19.27,422300
2016-01-06,19.2,19.33,18.84,18.94,1272800
2016-01-07,18.32,18.41,17.0,17.049999,1292700
2016-01-08,17.73,18.12,17.41,17.42,493800
2016-01-11,17.4,17.42,16.23,16.65,1014600
2016-01-12,17.01,17.01,16.74,16.99,530700
2016-01-13,17.049999,17.3,16.24,16.46,440100
2016-01-14,16.54,16.92,16.24,16.79,546900
2016-01-15,16.26,16.6,15.62,15.88,725700
2016-01-19,16.35,16.48,15.83,16.02,552700
2016-01-20,15.61,15.97,15.11,15.63,758000
2016-01-21,15.77,16.0,15.5,15.84,419600
2016-01-22,16.16,16.64,15.94,16.21,341100
2016-01-25,16.2,16.5,16.13,16.31,193800
2016-01-26,16.1,16.22,15.47,15.55,481500
2016-01-27,15.63,15.93,15.47,15.52,298100
2016-01-28,15.8,15.96,14.7,15.0,430300
2016-01-29,15.35,15.8,15.08,15.22,530300
2016-02-01,15.07,15.74,14.9,15.61,425000
2016-02-02,15.5,15.5,14.17,14.7,1173300
2016-02-03,14.79,14.85,14.11,14.41,448300
2016-02-04,14.5,15.18,14.4,14.71,339300
2016-02-05,14.6,14.6,13.55,13.79,611000
2016-02-08,13.5,13.5,12.91,12.94,494500
2016-02-09,12.79,13.29,12.41,12.73,417000
2016-02-10,13.01,13.2,12.64,12.68,281000
2016-02-11,12.66,12.89,12.21,12.3,437300
2016-02-12,12.52,12.79,12.09,12.09,920600
2016-02-16,12.5,13.58,12.5,13.55,760700
2016-02-17,13.75,14.5,13.74,14.33,725400
2016-02-18,14.44,14.89,14.41,14.47,501200
2016-02-19,14.35,14.92,14.17,14.9,270600
2016-02-22,15.0,15.73,14.91,15.48,577100
2016-02-23,15.35,15.83,15.15,15.19,422900
2016-02-24,15.12,15.54,14.55,15.49,316200
2016-02-25,14.94,15.1,14.21,15.01,645800
2016-02-26,15.25,15.46,14.8,15.16,292400
2016-02-29,14.61,14.69,14.1,14.36,787700
2016-03-01,14.61,15.14,14.46,14.74,1261800
2016-03-02,14.9,15.27,14.47,14.55,1052300
2016-03-03,14.71,16.18,14.7,15.93,1872800
2016-03-04,15.96,16.1,15.3,15.77,814900
2016-03-07,15.79,16.36,15.77,16.01,535100
2016-03-08,16.01,16.48,15.93,16.01,560900
2016-03-09,16.15,16.8,16.15,16.78,859300
2016-03-10,16.61,18.0,16.61,17.72,2202000
2016-03-11,18.0,18.18,17.34,18.08,1716900
2016-03-14,18.0,18.09,17.61,17.68,584400
2016-03-15,17.49,17.6,17.049999,17.44,379200
2016-03-16,17.32,17.77,17.19,17.67,315600
2016-03-17,17.56,18.25,17.56,18.1,612300
2016-03-18,18.15,18.91,18.08,18.85,708500
2016-03-21,18.88,18.95,18.56,18.89,366500
2016-03-22,18.71,19.1,18.59,18.95,584700
2016-03-23,18.82,19.0,17.8,18.16,587800
2016-03-24,18.15,18.15,17.85,18.01,515500
2016-03-28,18.1,18.5,18.030001,18.42,559000
2016-03-29,18.31,18.5,17.81,18.43,444000
2016-03-30,18.5,18.72,18.27,18.34,527900
2016-03-31,18.22,18.6,17.91,17.95,450600
2016-04-01,17.82,18.17,17.73,17.98,335000
2016-04-04,18.0,18.49,17.9,18.15,310200
2016-04-05,18.01,18.29,17.89,18.0,590400
2016-04-06,18.1,20.6,18.030001,20.32,3518200
2016-04-07,20.32,20.32,19.72,20.14,1183000
2016-04-08,20.28,21.28,20.25,20.98,1323300
2016-04-11,20.88,21.78,20.88,21.2,1137500
2016-04-12,21.28,21.57,20.83,20.98,737700
2016-04-13,21.44,22.19,21.44,21.88,1010600
2016-04-14,21.95,22.08,21.35,21.97,1507900
2016-04-15,22.01,22.1,21.0,21.33,2910900
2016-04-18,21.32,21.74,20.96,21.39,1049400
2016-04-19,21.61,21.99,21.33,21.95,697100
2016-04-20,21.79,23.28,21.77,23.18,2088200
2016-04-21,23.22,24.4,23.18,24.07,1625300
2016-04-22,23.83,24.059999,23.38,23.71,744800
2016-04-25,23.71,24.55,23.58,24.19,942700
2016-04-26,24.21,24.5,23.87,24.16,1423900
2016-04-27,24.0,24.45,22.77,23.33,1556100
2016-04-28,23.44,24.54,23.31,24.19,872000
2016-04-29,24.12,24.79,24.059999,24.47,793300
2016-05-02,24.46,24.5,24.0,24.38,773500
2016-05-03,24.01,24.030001,22.55,22.7,1702900
2016-05-04,22.75,23.65,22.7,23.3,1700800
2016-05-05,23.5,23.94,23.3,23.59,989700
2016-05-06,23.36,23.53,22.27,22.83,979900
2016-05-09,22.75,23.2,21.23,21.55,2103400
2016-05-10,21.95,23.4,21.6,23.18,1367700
2016-05-11,23.14,23.89,22.7,23.08,1691800
2016-05-12,24.6,24.7,22.48,22.82,2290000
2016-05-13,22.93,23.36,22.43,23.3,1055600
2016-05-16,22.75,23.95,22.64,23.55,1238300
2016-05-17,23.47,23.47,22.98,23.040001,1206400
2016-05-18,22.91,23.36,22.13,23.35,1438100
2016-05-19,22.88,23.49,22.71,23.1,638800
2016-05-20,23.26,23.5,22.89,23.0,778000
2016-05-23,23.08,23.23,23.0,23.12,528300
2016-05-24,23.17,23.5,23.07,23.34,891100
2016-05-25,23.34,24.3,23.34,24.25,1594300
2016-05-26,24.26,24.45,23.57,23.65,771900
2016-05-27,23.87,25.8,23.81,25.61,2871200
2016-05-31,26.049999,26.63,25.75,26.59,1758100
2016-06-01,26.42,27.6,25.78,26.85,1865900
2016-06-02,26.8,26.95,26.28,26.79,813800
2016-06-03,26.85,27.65,26.84,27.54,1055100
2016-06-06,27.7,29.1,27.67,28.98,1843500
2016-06-07,28.97,29.49,28.32,28.37,1297700
2016-06-08,28.55,28.96,27.99,28.63,1002900
2016-06-09,28.65,28.65,27.51,27.79,771400
2016-06-10,27.65,28.1,27.0,27.08,1439100
2016-06-13,26.9,27.17,26.23,26.72,1795800
2016-06-14,26.74,28.14,26.73,28.09,1130300
2016-06-15,28.1,28.9,27.64,27.85,1183800
2016-06-16,27.43,27.5,26.65,27.01,1452200
2016-06-17,27.1,27.57,26.6,26.72,1007200
2016-06-20,27.2,28.19,27.059999,28.040001,1460900
2016-06-21,28.1,28.71,27.63,27.82,1281900
2016-06-22,27.55,27.97,26.7,26.86,1738600
2016-06-23,27.16,27.79,27.0,27.61,788200
2016-06-24,26.25,27.55,26.049999,27.0,1484200
2016-06-27,26.66,26.74,26.01,26.45,1125500
2016-06-28,26.9,27.71,26.2,26.88,1550600
2016-06-29,27.4,27.63,27.01,27.43,664900
2016-06-30,27.5,28.47,27.5,28.41,1293800
2016-07-01,28.56,28.98,28.1,28.54,656100
2016-07-05,28.26,29.68,28.18,28.9,1702800
2016-07-06,28.85,29.1,28.14,28.49,795900
2016-07-07,28.77,31.64,28.7,31.57,2117600
2016-07-08,31.78,32.0,30.62,30.94,1240400
2016-07-11,31.35,32.0,30.9,31.9,1108000
2016-07-12,32.0,34.09,31.93,32.56,1704600
2016-07-13,32.44,32.64,31.66,31.92,828200
2016-07-14,32.02,32.93,31.55,32.58,942700
2016-07-15,32.45,33.25,31.63,31.99,733000
2016-07-18,32.0,32.88,31.41,32.88,671400
2016-07-19,32.78,34.21,32.61,33.44,958600
2016-07-20,33.53,34.14,32.96,33.0,761900
2016-07-21,33.34,33.98,32.95,33.080002,591000
2016-07-22,33.09,33.77,32.9,33.3,611500
2016-07-25,33.56,33.71,31.47,32.28,1546300
2016-07-26,32.28,33.13,32.080002,32.86,596100
2016-07-27,32.76,32.76,31.89,32.45,736000
2016-07-28,32.4,32.59,32.13,32.42,415500
2016-07-29,32.32,32.74,31.25,32.54,947700
2016-08-01,32.59,34.15,32.19,34.040001,1387000
2016-08-02,34.040001,34.86,32.95,33.22,798000
2016-08-03,33.38,33.5,32.4,33.0,637100
2016-08-04,33.16,34.0,33.16,33.86,586700
2016-08-05,34.25,35.89,34.080002,35.86,1504100
2016-08-08,36.71,37.3,35.92,37.17,1957400
2016-08-09,38.42,42.18,38.0,41.81,3384300
2016-08-10,41.0,43.080002,39.51,42.94,2473100
2016-08-11,42.78,43.56,42.049999,42.68,1141800
2016-08-12,42.68,42.9,41.89,42.71,1160100
2016-08-15,43.13,45.94,43.02,45.72,1343200
2016-08-16,45.58,45.58,43.13,43.19,1652700
2016-08-17,43.0,43.79,42.2,43.71,1504200
2016-08-18,44.14,45.95,43.21,45.25,1858100
2016-08-19,44.95,45.5,44.049999,44.33,1233500
2016-08-22,45.24,45.3,44.33,45.02,1578000
2016-08-23,45.0,46.85,44.95,46.43,1194200
2016-08-24,47.0,47.58,45.22,45.45,1939700
2016-08-25,44.99,46.0,44.7,45.91,824300
2016-08-26,46.58,48.61,46.18,48.38,1813900
2016-08-29,49.41,52.29,47.69,48.73,3541300
2016-08-30,49.2,49.9,47.049999,47.54,1960500
2016-08-31,46.99,47.98,45.12,47.77,3389600
2016-09-01,47.45,49.24,46.16,49.02,1856800
2016-09-02,49.24,50.69,48.54,49.54,2334800
2016-09-06,50.63,51.82,50.13,51.21,1676400
2016-09-07,51.5,51.53,48.31,49.2,2083200
2016-09-08,48.71,50.25,48.5,49.22,1576900
2016-09-09,48.99,49.16,46.78,47.99,2819100
2016-09-12,46.24,48.19,45.52,48.17,2863000
2016-09-13,47.69,48.56,45.5,46.33,2181000
2016-09-14,45.88,48.0,45.88,47.87,1755100
2016-09-15,48.72,49.13,47.7,48.97,1433400
2016-09-16,49.12,49.39,48.33,49.35,1078200
2016-09-19,49.97,50.049999,47.81,48.77,1550200
2016-09-20,48.81,48.98,47.4,47.75,956700
2016-09-21,48.12,49.65,48.049999,49.51,1467700
2016-09-22,50.029999,50.4,48.91,49.48,1020600
2016-09-23,49.96,50.31,48.76,49.15,875600
2016-09-26,48.78,49.22,47.64,48.87,972500
2016-09-27,48.63,51.9,48.63,51.63,2571200
2016-09-28,51.62,52.29,50.18,51.54,1415300
2016-09-29,51.6,51.71,50.23,51.39,900300
2016-09-30,51.84,52.21,49.51,50.14,1777300
2016-10-03,50.64,51.13,49.35,51.0,1081900
2016-10-04,51.11,55.59,50.81,54.34,2896800
2016-10-05,54.63,54.77,52.68,53.080002,1854200
2016-10-06,53.0,54.060001,51.56,52.63,1651500
2016-10-07,52.72,53.17,51.0,51.9,1118600
2016-10-10,53.28,55.93,52.040001,55.85,1908700
2016-10-11,54.98,55.49,52.0,52.54,2792500
2016-10-12,53.13,54.77,52.54,53.47,1746900
2016-10-13,52.0,53.8,50.72,52.79,2217700
2016-10-14,53.64,54.74,52.83,53.080002,1482200
2016-10-17,52.97,53.62,52.5,52.91,1098200
2016-10-18,53.61,53.79,52.71,52.99,1450500
2016-10-19,52.83,53.39,52.099998,52.79,1046200
2016-10-20,52.25,52.62,51.0099983,52.15,1351900
2016-10-21,51.66,52.0,50.65,51.26,1286300
2016-10-24,51.73,53.59,51.53,51.84,1632000
2016-10-25,51.85,52.52,51.34,51.44,1198400
2016-10-26,51.0,51.4,49.77,50.7,1872800
2016-10-27,51.57,51.96,49.44,49.68,1522400
2016-10-28,49.49,50.27,48.029999,48.88,1511600
2016-10-31,49.21,49.22,45.92,46.0099983,3102600
2016-11-01,46.25,47.5,45.96,46.21,2093000
2016-11-02,46.5,46.93,44.45,44.76,1803900
2016-11-03,44.35,45.65,44.0099983,44.88,1240700
2016-11-04,44.3,46.3,44.27,45.41,1151000
2016-11-07,46.79,48.71,46.77,48.5,1780500
2016-11-08,49.41,49.5,46.38,46.67,1427000
2016-11-09,45.099998,48.84,45.099998,47.91,2647200
2016-11-10,47.91,48.099998,44.14,44.88,4285200
2016-11-11,44.53,45.59,42.8,45.41,3053600
2016-11-14,45.5,45.59,41.26,41.91,3295100
2016-11-15,43.33,45.41,42.64,44.81,2194800
2016-11-16,44.51,45.8,44.07,44.52,1921000
2016-11-17,44.78,45.54,44.24,44.76,1527700
2016-11-18,44.59,44.8,43.049999,44.28,1854500
2016-11-21,45.81,47.0099983,44.58,45.61,3365700
2016-11-22,45.53,49.92,43.8,48.96,6672400
2016-11-23,48.38,50.63,47.07,49.95,4571100
2016-11-25,50.72,50.87,48.049999,49.049999,1785600
2016-11-28,49.080002,52.0099983,48.5,51.79,3004400
2016-11-29,52.14,52.49,51.11,51.73,3249500
2016-11-30,51.75,52.24,50.88,51.31,6357700
2016-12-01,50.81,50.82,45.75,46.099998,4425600
2016-12-02,46.31,48.049999,45.63,46.4,2938200
2016-12-05,46.99,48.28,46.28,47.56,1530600
2016-12-06,47.79,47.85,45.41,46.2,2043500
2016-12-07,45.67,47.7,45.67,47.28,2038300
2016-12-08,46.96,48.82,46.96,48.76,1517100
2016-12-09,48.63,49.26,47.9,48.45,1138300
2016-12-12,47.23,47.55,45.26,46.61,2101900
2016-12-13,46.99,48.029999,46.15,46.39,1665400
2016-12-14,46.2,46.63,45.080002,45.47,1500500
2016-12-15,45.02,45.14,43.3,43.63,2254000
2016-12-16,43.65,43.8,42.52,43.36,1613400
2016-12-19,43.029999,43.049999,41.81,42.11,1929900
2016-12-20,42.11,42.92,42.049999,42.54,1248900
2016-12-21,42.54,42.76,41.89,42.69,839500
2016-12-22,42.43,42.43,40.54,40.69,1337600
2016-12-23,40.5,41.3,40.12,41.25,1076000
2016-12-27,41.25,42.88,40.93,42.47,1586000
2016-12-28,42.65,42.69,41.25,41.46,636700
2016-12-29,41.47,41.9,40.9,41.14,561100
2016-12-30,41.39,41.49,40.31,40.6,900200
2017-01-03,41.33,42.3,41.040001,41.55,1104300
2017-01-04,41.67,43.26,41.6,43.2,1505800
2017-01-05,43.5,45.76,43.5,44.94,2526200
2017-01-06,45.0,45.55,44.17,44.75,1234600
2017-01-09,44.88,45.59,44.15,45.13,973100
2017-01-10,45.33,46.63,45.33,45.7,1037400
2017-01-11,45.86,46.27,44.38,45.38,1072700
2017-01-12,45.82,46.24,44.9,46.15,950700
2017-01-13,46.3,47.91,45.94,47.69,1837600
2017-01-17,47.69,47.69,45.4,46.65,1864400
2017-01-18,46.64,47.22,46.22,46.76,846200
2017-01-19,46.81,47.75,46.75,47.080002,835300
2017-01-20,47.28,47.49,46.67,46.91,815800
2017-01-23,46.84,47.65,46.56,47.53,582500
2017-01-24,47.7,49.43,47.42,48.2,1973600
2017-01-25,48.45,49.080002,48.31,48.6,716000
2017-01-26,48.7,48.73,46.58,47.43,938900
2017-01-27,47.46,48.34,47.02,48.11,541800
2017-01-30,48.060001,48.060001,46.049999,47.39,664800
2017-01-31,47.17,48.5,46.74,48.22,468300
2017-02-01,48.45,48.5,47.25,47.97,498100
2017-02-02,47.66,49.42,47.15,49.11,1559900
2017-02-03,49.14,49.39,48.42,48.55,709500
2017-02-06,48.83,51.33,48.62,50.85,1552600
2017-02-07,51.07,53.69,51.0,53.24,2337900
2017-02-08,53.83,54.32,52.11,52.92,1697000
2017-02-09,53.0,54.5,52.55,53.9,1657600
2017-02-10,54.0099983,54.28,52.89,53.099998,904600
2017-02-13,53.42,55.52,52.85,54.39,1477200
2017-02-14,54.21,55.26,53.81,54.87,1170000
2017-02-15,55.43,55.49,53.81,54.17,1045500
2017-02-16,54.71,56.3,54.12,55.26,1734900
2017-02-17,55.0,55.47,53.09,55.31,1447400
2017-02-21,56.15,58.67,56.15,58.09,2188900
2017-02-22,58.09,58.79,56.56,58.21,1798800
2017-02-23,55.7,55.7,48.5,48.89,9307600
2017-02-24,49.88,52.14,49.51,51.09,4169600
2017-02-27,51.2,52.68,50.5,51.44,2559200
2017-02-28,51.029999,52.17,50.49,50.52,1271700
2017-03-01,51.57,51.59,50.5,51.17,1413000
2017-03-02,50.78,51.33,50.21,50.5,914600
2017-03-03,50.5,51.4,49.89,50.3,1000400
2017-03-06,51.0,51.0099983,49.060001,49.67,939500
2017-03-07,49.93,50.13,49.09,49.64,824600
2017-03-08,49.79,50.8,49.68,49.95,1177500
2017-03-09,49.71,49.89,47.45,48.62,2368000
2017-03-10,48.55,48.67,47.36,47.84,1317800
2017-03-13,48.07,50.11,47.84,49.84,1868800
2017-03-14,49.81,49.81,48.43,49.13,935500
2017-03-15,49.17,49.79,48.9,49.7,764900
2017-03-16,50.11,52.16,49.71,51.14,1836400
2017-03-17,51.48,52.5,50.86,51.099998,1025000
2017-03-20,51.0,51.58,49.85,50.72,1035000
2017-03-21,50.81,51.82,47.6,47.75,2152400
2017-03-22,47.75,49.029999,47.52,48.92,968700
2017-03-23,48.63,49.81,48.57,49.15,871000
2017-03-24,49.029999,50.78,49.0,49.78,1220300
2017-03-27,48.56,50.98,48.2,50.89,1163800
2017-03-28,51.0,52.0,50.99,51.61,1644100
2017-03-29,52.25,53.72,51.39,53.61,2578000
2017-03-30,53.060001,53.61,51.91,52.47,1465400
2017-03-31,51.94,52.63,51.59,52.18,688400
2017-04-03,52.49,52.96,51.78,52.26,698000
2017-04-04,52.09,52.09,50.33,50.38,1103700
2017-04-05,51.3,51.3,49.36,49.72,844400
2017-04-06,50.25,50.25,49.41,49.86,839500
2017-04-07,49.75,49.97,48.82,49.75,771800
2017-04-10,50.11,50.82,49.81,50.61,901100
2017-04-11,50.66,51.080002,50.0,50.58,1530200
2017-04-12,50.33,50.97,50.0,50.38,853400
2017-04-13,50.040001,50.92,50.040001,50.16,625700
2017-04-17,50.34,50.99,50.0099983,50.46,509700
2017-04-18,50.33,50.45,49.77,50.39,768000
2017-04-19,50.89,50.89,50.0,50.56,1114500
2017-04-20,50.77,52.26,50.73,51.94,1783400
2017-04-21,51.74,53.47,51.6,52.87,1830300
2017-04-24,53.76,54.3,53.42,53.65,1703000
2017-04-25,53.83,54.74,53.76,54.21,1999700
2017-04-26,54.049999,55.15,53.69,54.99,1142400
2017-04-27,55.49,57.47,55.21,55.37,2357100
2017-04-28,55.6,56.0,54.24,55.86,1081600
2017-05-01,56.12,56.32,55.21,55.3,1253000
2017-05-02,55.25,56.02,54.69,55.34,1272000
2017-05-03,55.15,55.39,53.8,54.7,803400
2017-05-04,54.71,55.74,53.76,55.57,906200
2017-05-05,55.66,56.7,54.69,56.67,1528100
2017-05-08,57.24,60.0,56.75,59.33,3976100
2017-05-09,60.049999,62.17,60.0,61.029999,2702100
2017-05-10,61.11,63.21,60.0,62.51,1884000
2017-05-11,62.45,63.28,60.5,62.62,2110700
2017-05-12,62.62,63.099998,61.75,62.44,1426700
2017-05-15,63.75,63.96,61.56,62.9,2497600
2017-05-16,70.2,79.26,69.54,78.6,13713400
2017-05-17,77.75,79.7,74.050003,74.8,8240400
2017-05-18,74.040001,79.4,71.019997,79.040001,7327900
2017-05-19,80.080002,82.28,77.16,78.31,5893900
2017-05-22,79.9,81.36,78.5,80.75,2832200
2017-05-23,80.58,81.29,76.31,76.98,3742300
2017-05-24,77.11,78.07,74.88,75.35,3602200
2017-05-25,76.46,78.12,75.35,77.57,1921600
2017-05-26,77.5,79.2,76.24,77.57,2910500
2017-05-30,77.57,78.059998,73.55,74.51,3123900
2017-05-31,75.26,75.35,72.56,73.53,3143000
2017-06-01,73.39,74.58,72.29,74.14,2042500
2017-06-02,74.13,75.61,73.6,74.52,1159500
2017-06-05,74.59,77.31,74.52,75.29,1939000
2017-06-06,75.040001,76.88,74.47,75.48,1450500
2017-06-07,75.68,79.82,75.099998,78.82,3465200
2017-06-08,80.080002,80.19,75.14,77.63,5754700
2017-06-09,77.4,78.88,72.37,74.91,3338400
2017-06-12,73.22,75.64,71.099998,74.74,2554000
2017-06-13,75.059998,76.32,72.69,73.94,1843700
2017-06-14,74.63,74.88,70.66,71.81,1660200
2017-06-15,70.14,72.38,68.76,71.94,1764900
2017-06-16,72.12,72.5,70.7,71.099998,1216700
2017-06-19,72.78,74.87,72.0,74.77,1762600
2017-06-20,74.42,75.059998,73.59,74.080002,1254200
2017-06-21,74.0,77.5,73.65,76.96,1381900
2017-06-22,69.42,74.39,68.66,72.25,9631600
2017-06-23,73.61,73.64,72.14,72.38,2444800
2017-06-26,72.96,73.18,69.76,71.61,2835800
2017-06-27,71.5,71.61,68.85,69.080002,2302200
2017-06-28,69.36,69.39,66.8,69.36,2512000
2017-06-29,68.68,70.25,66.42,67.43,2722600
2017-06-30,66.35,67.87,65.65,66.47,1383600
2017-07-03,67.029999,68.63,66.35,68.33,1214500
2017-07-05,69.0,70.48,68.089996,68.62,1831800
2017-07-06,68.0,69.36,67.49,68.29,746100
2017-07-07,69.040001,69.8,68.77,69.42,961900
2017-07-10,69.5,70.56,68.36,68.76,1338400
2017-07-11,68.47,69.9,68.18,68.8,1499100
2017-07-12,69.63,73.0,69.35,72.56,2607400
2017-07-13,73.36,75.43,72.15,73.11,2880600
2017-07-14,73.28,75.0,73.28,74.31,1591500
2017-07-17,75.41,75.6,72.17,72.43,1683700
2017-07-18,72.19,74.51,71.2,74.35,1442200
2017-07-19,75.099998,76.95,74.029999,74.2,2071000
2017-07-20,74.57,74.77,73.080002,73.55,1355600
2017-07-21,73.55,75.010002,73.46,73.93,939700
2017-07-24,74.34,76.89,74.010002,76.7,2022400
2017-07-25,76.98,77.2,75.2,76.0,1307400
2017-07-26,76.26,77.16,75.7,76.35,1351000
2017-07-27,77.3,78.98,71.7,74.12,2913800
2017-07-28,74.0,76.8,72.8,76.35,1119500
2017-07-31,77.32,78.19,76.22,76.95,1454100
2017-08-01,77.81,78.87,77.050003,77.65,1559200
2017-08-02,77.99,78.5,74.51,76.14,1615900
2017-08-03,75.17,78.66,75.0,78.28,1362500
2017-08-04,78.77,80.33,78.19,78.77,1812300
2017-08-07,80.12,86.88,80.0,86.26,5763400
2017-08-08,86.26,88.88,85.050003,86.26,4058000
2017-08-09,80.97,87.4,76.029999,87.23,6429800
2017-08-10,85.73,86.91,80.78,82.2,4278600
2017-08-11,80.0,83.58,79.019997,82.72,4274300
2017-08-14,84.55,85.99,83.6,85.86,2161300
2017-08-15,86.0,87.17,84.65,85.46,1850400
2017-08-16,86.0,88.24,85.7,88.11,2101100
2017-08-17,87.93,89.95,86.080002,88.32,2631700
2017-08-18,88.27,89.83,85.67,89.68,2351900
2017-08-21,89.79,92.010002,89.22,91.059998,2396800
2017-08-22,91.0,94.86,90.24,94.41,2770400
2017-08-23,93.19,97.98,92.58,97.41,2528700
2017-08-24,98.0,99.8,96.51,98.21,2478900
