DateTime,Open,High,Low,Close,Volume
2000-01-04,2.9762,3.7793,2.9289,3.5431,10134577
2000-01-05,3.5903,3.5903,3.1179,3.3069,5218706
2000-01-06,3.4014,3.5431,3.2596,3.4486,3265693
2000-01-07,3.4958,4.2517,3.4958,4.2517,12942909
2000-01-10,4.1572,4.2045,3.7793,3.7793,6563800
2000-01-11,3.6848,3.9683,3.4014,3.7793,5812733
2000-01-12,3.732,3.7793,3.0234,3.4486,5016551
2000-01-13,3.5903,3.6848,3.2124,3.2596,3861837
2000-01-14,3.3069,3.5903,3.2596,3.4014,3905761
2000-01-18,3.6848,3.9683,3.4486,3.8738,5984590
2000-01-19,3.8265,5.0548,3.7793,5.0548,10122934
2000-01-20,4.8186,4.8186,4.0155,4.2045,11738582
2000-01-21,4.1572,4.2045,3.7793,3.8738,4560778
2000-01-24,4.0155,4.0627,3.5903,3.5903,4409956
2000-01-25,3.6848,4.1572,3.5903,4.1572,4471475
2000-01-26,3.9683,4.3462,3.732,4.3462,3638911
2000-01-27,3.8738,4.0627,3.4958,3.4958,4885574
2000-01-28,3.5903,3.8738,3.5431,3.7793,2849213
2000-01-31,3.732,3.732,3.4958,3.5903,1684708
2000-02-01,3.5903,3.6376,3.4486,3.5431,2208087
2000-02-02,3.4958,3.5903,3.4486,3.5903,1715931
2000-02-03,3.5431,3.921,3.4958,3.8265,4035018
2000-02-04,3.921,3.9683,3.6848,3.8265,2687013
2000-02-07,3.8265,4.1572,3.7793,3.9683,3958548
2000-02-08,3.9683,4.2045,3.7793,3.8738,4029858
2000-02-09,3.8738,3.921,3.6848,3.7793,2308238
2000-02-10,3.7793,3.7793,3.5903,3.6376,3250082
2000-02-11,3.6376,3.732,3.2124,3.732,3543788
2000-02-14,3.5431,3.5903,3.4958,3.5431,1948911
2000-02-15,3.4958,3.5431,3.4014,3.4014,2244734
2000-02-16,3.4958,3.4958,3.4014,3.4014,1789490
2000-02-17,3.4486,3.5431,3.4014,3.4014,2305195
2000-02-18,3.4486,3.4486,3.2596,3.2596,2331523
2000-02-22,3.2596,3.4014,3.2124,3.2124,2160856
2000-02-23,3.2596,3.2596,3.1179,3.2596,2369493
2000-02-24,3.1652,3.3069,3.1652,3.2124,2340519
2000-02-25,3.1179,3.2124,2.9762,2.9762,3639176
2000-02-28,3.0234,3.1179,2.9762,2.9762,2523358
2000-02-29,3.0707,3.5903,3.0707,3.4014,4045469
2000-03-01,3.4014,3.5431,3.2596,3.5431,3248759
2000-03-02,3.4486,3.5903,3.4014,3.5903,2663596
2000-03-03,3.6848,3.6848,3.3069,3.4014,2593874
2000-03-06,3.4958,3.8738,3.4014,3.6376,5920425
2000-03-07,3.5903,3.6848,3.3541,3.4486,2764408
2000-03-08,3.4486,3.5431,3.3541,3.4486,1728235
2000-03-09,3.4486,4.5351,3.4014,4.5351,11335993
2000-03-10,4.2517,4.3462,3.921,3.921,6201562
2000-03-13,4.1572,5.48,4.0627,5.48,24891716
2000-03-14,5.48,5.8579,4.9131,4.9131,13904730
2000-03-15,5.2438,5.2438,4.8186,4.9131,6341007
2000-03-16,5.6217,5.8107,5.291,5.7634,11648486
2000-03-17,5.6689,5.9996,4.5351,5.6689,4903038
2000-03-20,5.6689,5.7162,5.102,5.2438,3527647
2000-03-21,5.1493,5.3855,4.9603,5.3855,2766393
2000-03-22,5.48,6.4248,5.3855,6.0469,8940702
2000-03-23,6.0469,6.661,6.0469,6.6138,8078238
2000-03-24,6.2358,6.661,6.2358,6.5193,4497935
2000-03-27,6.5193,6.5665,6.1413,6.2358,2175541
2000-03-28,6.1413,6.1886,5.7162,5.8107,2876334
2000-03-29,5.8107,5.8579,5.291,5.8579,3646585
2000-03-30,5.6217,5.7634,5.0076,5.1965,4507064
2000-03-31,5.3382,5.6689,4.9131,5.6217,5836547
2000-04-03,5.6217,5.6689,5.2438,5.3855,2472422
2000-04-04,5.3382,5.48,4.3934,4.8658,5000808
2000-04-05,5.2438,5.9524,4.9131,5.8107,7324789
2000-04-06,5.9051,5.9051,5.3382,5.8579,4509049
2000-04-07,5.9524,5.9524,5.6689,5.7162,1943619
