DateTime,Open,High,Low,Close,Volume
2007-04-30,13.06,13.16,12.66,12.69,426001
2007-05-01,20.4,20.4,18.58,19.85,1824500
2007-05-02,19.8,20.13,19.35,19.6,868600
2007-05-03,19.59,20.35,19.59,19.89,1067300
2007-05-04,19.97,20.28,19.71,19.8,946200
2007-05-07,19.7,19.98,19.2,19.29,712600
2007-05-08,19.17,19.49,19.13,19.35,646200
2007-05-09,19.28,20.0,19.28,19.82,739000
2007-05-10,19.7,20.1,19.19,19.23,665100
2007-05-11,19.35,19.5,19.14,19.36,574200
2007-05-14,19.43,19.43,19.06,19.07,771400
2007-05-15,19.07,19.26,18.78,19.05,837900
2007-05-16,19.05,19.05,18.68,19.02,1059200
2007-05-17,19.02,19.02,18.71,18.77,683400
2007-05-18,18.82,19.03,18.65,19.0,575500
2007-05-21,19.13,20.48,19.01,20.42,2176000
2007-05-22,20.5,22.07,20.39,21.7,2851800
2007-05-23,21.7,22.47,21.13,22.07,3414600
2007-05-24,22.25,22.93,21.52,21.84,3107500
2007-05-25,22.0,22.35,21.91,22.25,1354400
2007-05-29,22.39,22.52,22.04,22.33,1380700
2007-05-30,22.16,22.73,22.07,22.7,1060000
2007-05-31,22.75,22.95,22.35,22.5,1392800
2007-06-01,23.79,25.33,23.05,24.81,4775900
2007-06-04,24.6,26.09,24.27,25.65,2538000
2007-06-05,26.09,27.42,25.3,27.03,2876200
2007-06-06,25.8,26.48,25.5,26.01,3568000
2007-06-07,25.62,25.7,24.3,24.32,2888600
2007-06-08,24.25,24.97,24.15,24.79,1778800
2007-06-11,24.86,24.91,24.18,24.23,913300
2007-06-12,24.15,24.5,23.83,23.87,1009900
2007-06-13,23.99,27.26,23.68,24.67,1283600
2007-06-14,24.81,25.75,24.59,25.21,1521000
2007-06-15,25.38,25.7,24.73,25.56,1993600
2007-06-18,25.5,25.63,24.84,24.92,1028000
2007-06-19,25.7,26.39,25.16,25.71,2017400
2007-06-20,25.85,26.21,25.15,26.2,1502400
2007-06-21,26.07,26.59,25.71,26.4,1239500
2007-06-22,26.64,28.55,26.61,27.41,3299000
2007-06-25,27.41,27.59,26.41,26.61,1864600
2007-06-26,26.89,26.89,25.84,26.26,1055700
