DateTime,Open,High,Low,Close,Volume
2023-02-27,34.75,34.83,33.72,33.89,1657300
2023-02-28,33.71,34.13,33.36,33.36,1369500
2023-03-01,33.31,34.65,33.31,34.5,2256100
2023-03-02,33.76,36.39,33.73,36.22,1981600
2023-03-03,36.41,37.0,36.25,36.98,1042700
2023-03-06,37.029999,37.15,36.24,36.26,1537100
2023-03-07,36.22,36.33,35.29,35.33,1093600
2023-03-08,35.21,35.32,34.66,35.3,901200
2023-03-09,35.44,38.17,35.44,35.88,3159100
2023-03-10,35.66,35.92,34.34,34.65,2325200
2023-03-13,33.89,33.89,32.35,32.59,2134900
2023-03-14,33.47,34.09,32.14,32.7,1275400
2023-03-15,32.080002,33.26,31.57,32.99,2057100
2023-03-16,32.64,33.78,32.41,33.27,1123800
2023-03-17,33.3,33.57,31.65,31.87,4054900
2023-03-20,32.39,32.44,31.35,31.95,1712400
2023-03-21,32.51,33.25,32.51,32.89,1282200
2023-03-22,32.77,32.84,31.69,31.71,1144400
2023-03-23,31.81,32.11,30.21,30.6,1680600
2023-03-24,30.15,30.41,29.51,30.4,1170100
2023-03-27,30.75,31.34,30.22,31.18,1228900
2023-03-28,31.11,31.34,30.59,30.75,656300
2023-03-29,31.2,31.46,30.65,30.98,1198000
2023-03-30,31.5,31.53,30.78,31.059999,861600
2023-03-31,31.25,31.94,31.13,31.9,1408000
2023-04-03,31.78,31.97,30.66,31.27,1668900
2023-04-04,31.5,31.5,29.88,30.09,1507300
2023-04-05,29.86,30.040001,29.02,29.83,2680300
2023-04-06,30.44,30.7,29.95,30.13,1477100
2023-04-10,29.99,31.6,29.98,31.39,1745000
2023-04-11,31.5,33.18,31.46,32.88,1629800
2023-04-12,33.26,33.5,32.35,32.56,1527400
2023-04-13,32.76,33.11,31.73,32.51,1547300
2023-04-14,32.53,33.4,32.41,33.3,2208300
2023-04-17,33.2,34.17,33.12,34.07,1862200
2023-04-18,34.0,34.59,34.0,34.29,2781300
2023-04-19,33.73,34.77,33.73,34.58,1925300
2023-04-20,39.35,40.86,38.6,40.79,8252300
2023-04-21,42.8,44.79,42.61,44.02,9362200
2023-04-24,43.84,44.46,43.36,43.73,3193200
2023-04-25,43.11,43.54,42.59,43.07,2308600
2023-04-26,42.5,43.39,41.39,41.71,3866100
2023-04-27,41.71,42.23,40.69,41.82,3052200
2023-04-28,42.56,44.86,42.25,44.18,2388800
2023-05-01,44.0,44.19,43.5,44.15,1518100
2023-05-02,43.88,44.12,42.86,44.060001,1848400
2023-05-03,43.82,45.49,43.61,44.4,2588400
2023-05-04,46.61,48.85,45.74,45.93,4765700
2023-05-05,46.19,49.0,45.27,47.9,4101000
2023-05-08,48.45,49.2,48.17,48.44,3459400
2023-05-09,47.52,48.42,47.25,47.27,2780800
2023-05-10,47.71,47.95,46.59,47.32,1939900
2023-05-11,47.14,47.69,46.81,47.040001,1474500
2023-05-12,47.41,47.44,46.48,46.84,1781900
2023-05-15,47.09,47.94,46.62,47.57,1313100
2023-05-16,47.41,47.41,46.53,47.060001,1112800
2023-05-17,47.35,47.48,46.53,47.12,1362500
2023-05-18,47.11,48.2,46.87,47.8,1320000
2023-05-19,47.96,47.96,46.56,46.94,1106800
2023-05-22,47.4,48.15,46.92,47.34,1322400
2023-05-23,47.09,47.37,46.49,46.83,1253700
2023-05-24,46.32,46.89,45.24,46.75,1819400
2023-05-25,47.0,48.22,46.99,48.080002,1585900
2023-05-26,47.9,49.02,47.88,48.35,1098300
2023-05-30,48.59,49.080002,48.25,48.49,993500
2023-05-31,48.13,48.25,46.66,46.93,1422300
2023-06-01,47.16,47.81,46.8,47.51,1261100
2023-06-02,48.46,50.14,48.35,49.57,1537900
2023-06-05,49.060001,49.85,48.53,48.56,1049200
2023-06-06,48.27,49.73,47.88,49.040001,1026000
2023-06-07,49.66,50.91,49.22,49.3,1275100
2023-06-08,49.28,49.65,48.6,48.95,833200
2023-06-09,48.8,49.18,48.32,48.5,921500
2023-06-12,48.48,48.81,47.35,48.09,1598500
2023-06-13,48.049999,49.3,47.8,49.26,1265600
2023-06-14,49.64,51.37,49.46,51.36,1786600
2023-06-15,50.8,52.51,50.73,52.18,2397100
2023-06-16,52.67,53.61,51.41,51.6,2490700
2023-06-20,51.36,51.9,51.0,51.39,1592700
2023-06-21,50.93,52.48,50.66,52.080002,1075600
2023-06-22,52.0099983,54.13,51.72,53.42,2192700
2023-06-23,52.44,52.94,51.36,51.44,2276400
2023-06-26,51.64,53.3,51.64,52.91,1070400
2023-06-27,53.029999,56.63,53.029999,56.49,3430100
2023-06-28,56.68,59.040001,56.41,58.63,3065300
2023-06-29,58.78,59.85,58.41,59.25,2434900
2023-06-30,59.64,59.64,57.83,59.0,2034000
2023-07-03,58.76,59.66,58.74,59.59,720400
2023-07-05,58.4,59.26,58.11,58.46,1927700
2023-07-06,57.69,58.28,56.81,57.83,1756000
2023-07-07,58.3,61.74,58.21,60.029999,2404700
2023-07-10,59.95,60.87,59.76,60.049999,1552300
2023-07-11,59.53,59.98,58.92,59.52,2092200
2023-07-12,60.34,60.53,58.3,59.15,3579000
2023-07-13,59.47,61.18,58.94,60.75,2159600
