DateTime,Open,High,Low,Close,Volume
2013-02-12,16.31,16.55,16.11,16.44,373500
2013-02-13,16.48,16.9,16.47,16.74,403700
2013-02-14,16.65,16.93,16.51,16.7,571800
2013-02-15,16.81,16.81,16.09,16.53,333600
2013-02-19,16.64,16.7,16.12,16.32,672900
2013-02-20,16.38,16.52,16.2,16.27,553900
2013-02-21,16.23,16.25,15.04,15.24,1414500
2013-02-22,15.39,15.5,14.84,15.19,1254200
2013-02-25,15.19,15.23,14.91,14.94,658600
2013-02-26,15.1,15.1,14.5,14.6,770700
2013-02-27,14.71,15.02,14.55,14.71,397100
2013-02-28,14.58,14.74,12.5,12.6,2979200
2013-03-01,12.75,13.82,12.6,13.6,1888300
2013-03-04,14.51,14.6,14.0,14.1,1316100
2013-03-05,14.19,14.53,14.07,14.23,828300
2013-03-06,14.53,14.93,14.31,14.68,886600
2013-03-07,14.58,14.95,14.58,14.7,532600
2013-03-08,14.77,15.0,14.5,14.65,490500
2013-03-11,14.58,14.94,14.41,14.77,406900
2013-03-12,15.07,15.44,14.95,15.37,1779200
2013-03-13,15.25,15.51,15.25,15.49,435400
2013-03-14,15.52,15.58,15.2,15.56,479600
2013-03-15,15.52,15.52,15.12,15.36,895900
2013-03-18,15.04,15.48,15.04,15.41,533100
2013-03-19,15.35,15.4,15.06,15.29,649400
2013-03-20,15.2,15.6,14.94,15.47,541500
2013-03-21,15.38,15.56,15.16,15.3,550700
2013-03-22,15.25,15.57,15.17,15.38,365400
2013-03-25,15.38,15.45,14.32,14.74,778900
2013-03-26,14.84,14.87,14.66,14.71,256900
2013-03-27,14.68,14.78,14.5,14.58,440400
2013-03-28,14.78,14.83,14.2,14.29,354100
2013-04-01,14.27,14.38,13.72,13.78,361200
2013-04-02,13.86,14.04,13.49,13.72,448800
2013-04-03,13.52,13.95,13.36,13.85,576500
2013-04-04,13.75,13.84,13.57,13.79,218800
2013-04-05,13.84,14.22,13.59,13.98,355000
2013-04-08,13.96,13.98,13.51,13.66,397700
2013-04-09,13.72,14.57,13.71,14.27,576200
2013-04-10,14.46,14.48,13.53,13.69,560400
2013-04-11,13.71,13.98,13.56,13.59,334100
2013-04-12,13.5,13.88,13.25,13.82,328800
2013-04-15,13.64,13.64,13.2,13.21,336800
2013-04-16,13.3,13.42,13.14,13.21,345100
2013-04-17,13.08,13.11,12.63,12.82,353800
2013-04-18,12.87,13.05,12.58,12.66,427200
2013-04-19,12.81,12.83,12.53,12.7,297500
2013-04-22,12.7,12.84,12.4,12.7,221600
2013-04-23,12.73,12.87,12.56,12.81,207900
2013-04-24,12.74,12.93,12.66,12.87,282700
2013-04-25,12.92,12.97,12.68,12.75,369200
2013-04-26,12.75,12.95,12.64,12.75,358400
2013-04-29,12.88,13.03,12.7,12.75,564800
2013-04-30,12.77,13.25,12.73,13.25,770400
2013-05-01,13.23,13.62,13.11,13.47,344800
2013-05-02,13.48,13.52,12.85,13.11,500400
2013-05-03,13.2,13.5,13.14,13.34,305200
2013-05-06,13.29,13.63,13.29,13.6,264300
2013-05-07,13.67,14.3,13.54,14.29,641800
2013-05-08,14.23,14.3,13.58,13.88,477400
2013-05-09,13.82,13.93,13.38,13.4,363500
2013-05-10,13.37,13.37,12.78,12.89,390300
2013-05-13,12.87,13.13,12.6,13.11,398800
2013-05-14,13.08,13.22,12.11,12.26,904600
2013-05-15,12.31,13.43,12.2,13.4,744000
2013-05-16,13.42,14.34,13.2,13.32,1207000
2013-05-17,13.35,13.96,13.35,13.92,484000
2013-05-20,13.9,14.15,13.53,13.76,1305300
2013-05-21,13.88,14.4,13.76,14.4,568800
2013-05-22,14.26,14.75,14.1,14.24,899200
2013-05-23,14.06,14.24,13.85,14.2,503600
2013-05-24,14.18,14.18,13.59,13.97,635800
2013-05-28,13.95,14.33,13.7,13.78,602100
2013-05-29,13.69,14.94,13.69,14.81,2903200
2013-05-30,14.77,14.93,14.13,14.8,637100
2013-05-31,14.8,14.8,14.35,14.4,459200
2013-06-03,14.33,14.56,14.12,14.45,323000
2013-06-04,14.38,14.48,14.18,14.4,924200
2013-06-05,15.11,15.11,14.0,14.69,574100
2013-06-06,14.63,14.9,14.51,14.75,399800
2013-06-07,14.75,15.17,14.51,15.17,653500
2013-06-10,15.14,15.27,14.99,15.21,477400
2013-06-11,15.06,15.29,14.76,14.85,688700
2013-06-12,14.88,15.0,14.52,14.54,295700
2013-06-13,14.49,14.71,14.21,14.69,360200
2013-06-14,14.72,14.95,14.61,14.82,258500
2013-06-17,14.88,15.09,14.82,14.9,380700
2013-06-18,14.84,14.98,14.56,14.78,341700
2013-06-19,14.76,14.93,14.56,14.6,206400
2013-06-20,14.25,14.59,14.08,14.51,439500
2013-06-21,14.6,14.72,14.23,14.65,927300
2013-06-24,14.36,14.58,13.75,14.33,1128700
2013-06-25,14.46,14.65,14.0,14.14,396700
2013-06-26,14.17,14.87,13.92,14.5,945300
2013-06-27,14.58,14.93,14.43,14.46,1067100
2013-06-28,14.4,14.8,14.25,14.76,292900
2013-07-01,14.69,14.98,14.69,14.86,432800
2013-07-02,14.84,15.13,14.75,15.07,366100
2013-07-03,14.99,15.25,14.9,14.98,215800
2013-07-05,15.04,15.18,14.71,14.84,492100
2013-07-08,14.89,15.08,14.76,14.9,263300
2013-07-09,15.0,15.14,14.9,15.08,408300
2013-07-10,15.08,15.2,14.95,15.1,324300
2013-07-11,15.15,15.45,15.11,15.18,347600
2013-07-12,15.13,15.4,15.04,15.24,373800
2013-07-15,15.29,16.18,14.8,15.9,1394300
2013-07-16,16.0,16.45,16.0,16.27,1677500
2013-07-17,16.38,17.2,16.34,17.19,2647800
2013-07-18,17.05,17.17,16.92,17.1,2190100
2013-07-19,17.04,17.27,17.04,17.18,913000
2013-07-22,17.0,17.18,16.74,17.06,829800
2013-07-23,17.11,17.19,16.91,16.98,502900
2013-07-24,16.9,16.97,16.49,16.75,890400
2013-07-25,16.79,16.8,16.05,16.31,453200
2013-07-26,16.28,16.28,15.57,16.0,379700
2013-07-29,15.94,16.13,15.58,15.7,552100
2013-07-30,15.67,15.67,15.37,15.37,229600
2013-07-31,15.36,16.54,15.36,16.43,1121500
2013-08-01,16.49,16.75,16.19,16.67,642500
2013-08-02,16.67,16.86,16.56,16.7,301700
2013-08-05,16.58,16.72,16.37,16.68,241600
2013-08-06,16.65,16.95,16.28,16.54,270800
2013-08-07,16.3,16.35,16.06,16.1,302200
2013-08-08,16.19,16.53,16.19,16.48,240400
2013-08-09,16.6,16.65,16.07,16.48,497100
2013-08-12,16.4,16.8,16.28,16.55,546200
2013-08-13,16.66,16.78,16.35,16.7,430000
2013-08-14,16.71,16.8,16.6,16.72,300400
2013-08-15,16.61,17.43,16.58,17.05,2258500
2013-08-16,17.04,17.5,16.92,16.96,489900
2013-08-19,16.94,17.06,16.62,16.85,451100
2013-08-20,16.86,16.99,16.78,16.83,174200
2013-08-21,16.76,16.93,16.36,16.4,436100
2013-08-22,16.2,17.34,16.13,17.32,338600
2013-08-23,17.24,17.4,16.64,16.66,440800
2013-08-26,16.71,17.18,16.71,16.91,257600
2013-08-27,16.63,17.04,16.63,16.79,358700
2013-08-28,16.83,17.07,16.75,16.78,328900
2013-08-29,16.87,17.2,16.78,17.06,267500
2013-08-30,17.1,17.21,16.79,16.88,343700
2013-09-03,16.88,17.24,16.87,17.23,266600
2013-09-04,17.21,17.86,17.0,17.76,480300
2013-09-05,17.71,17.77,17.42,17.58,363100
2013-09-06,17.57,18.06,17.57,17.77,617800
2013-09-09,17.83,18.29,17.83,18.2,531000
2013-09-10,18.19,18.49,18.07,18.41,537900
2013-09-11,18.4,18.43,18.12,18.3,2652000
2013-09-12,18.48,18.51,18.07,18.18,858100
2013-09-13,18.0,18.08,17.52,17.95,936700
2013-09-16,18.17,18.23,17.97,18.09,349000
2013-09-17,18.06,18.56,18.06,18.46,990500
2013-09-18,18.43,18.95,18.41,18.91,2551500
2013-09-19,19.0,19.24,18.7,19.14,417200
2013-09-20,19.09,20.21,19.08,19.73,1107400
2013-09-23,19.7,21.01,19.67,20.98,1897000
2013-09-24,20.93,21.63,20.42,20.58,1852400
2013-09-25,20.75,21.03,20.64,20.7,410200
2013-09-26,21.0,21.42,20.89,20.98,1457800
2013-09-27,21.0,21.26,20.57,20.6,405500
2013-09-30,20.6,20.77,20.0,20.13,627100
2013-10-01,20.07,20.36,19.95,20.21,477200
2013-10-02,20.2,20.52,19.9,20.05,441500
2013-10-03,20.1,20.25,19.79,20.2,254200
