DateTime,Open,High,Low,Close,Volume
2023-12-26,8.97,9.0050001,8.85,8.99,1027500
2023-12-27,9.01,9.01,8.915,8.94,1026500
2023-12-28,8.9,9.0,8.82,8.86,734300
2023-12-29,8.86,8.96,8.805,8.82,1037600
2024-01-02,8.6,8.64,8.26,8.4,2376900
2024-01-03,8.26,8.31,7.89,7.95,1244600
2024-01-04,8.0,8.115,7.84,8.04,797400
2024-01-05,7.95,8.15,7.92,8.13,1169700
2024-01-08,8.2,8.65,8.145,8.62,1239300
2024-01-09,8.49,8.715,8.465,8.55,886800
2024-01-10,8.57,9.16,8.49,9.13,2020900
2024-01-11,9.18,9.315,9.08,9.29,1683400
2024-01-12,9.34,9.72,9.28,9.65,2243200
2024-01-16,9.55,9.57,9.18,9.36,1369300
2024-01-17,9.12,9.16,8.76,9.11,1255500
2024-01-18,9.23,9.69,9.225,9.66,1594900
2024-01-19,9.78,9.82,9.45,9.76,1302600
2024-01-22,9.855,10.05,9.721,9.8,1461200
2024-01-23,9.91,10.03,9.73,9.97,1187600
2024-01-24,10.1,10.12,9.82,9.87,781000
2024-01-25,10.03,10.15,9.741,9.86,735700
2024-01-26,9.86,10.08,9.86,9.92,964700
2024-01-29,9.94,10.04,9.86,9.99,530800
2024-01-30,10.0,10.0,9.87,9.94,694100
2024-01-31,9.87,9.955,9.67,9.68,890900
2024-02-01,9.91,9.99,9.635,9.95,926700
2024-02-02,9.75,9.965,9.685,9.86,984400
2024-02-05,9.75,9.85,9.6,9.64,589100
2024-02-06,9.65,9.78,9.61,9.73,488200
2024-02-07,9.79,9.8,9.48,9.61,692100
2024-02-08,9.6,9.87,9.53,9.77,910800
2024-02-09,9.95,10.31,9.92,9.99,1488100
2024-02-12,9.97,10.23,9.93,10.17,1164200
2024-02-13,9.67,9.96,9.35,9.73,1284500
2024-02-14,9.89,10.25,9.75,10.2,1210600
2024-02-15,10.35,10.37,10.085,10.24,1287800
2024-02-16,10.24,10.39,10.105,10.33,1115200
2024-02-20,10.14,10.23,9.925,10.22,1161400
2024-02-21,10.02,10.185,9.935,10.05,1441200
2024-02-22,10.3,10.41,10.18,10.36,1868700
2024-02-23,10.32,10.33,10.0050001,10.3,1422400
2024-02-26,10.22,10.425,10.16,10.33,1506500
2024-02-27,10.45,10.9,10.34,10.76,4459400
2024-02-28,10.76,10.94,10.35,10.6,3087700
2024-02-29,10.73,10.775,10.405,10.5,2540100
2024-03-01,10.3,10.5,10.19,10.33,1905400
2024-03-04,10.25,10.36,10.2,10.31,1155700
2024-03-05,10.23,10.33,9.965,10.05,1530000
2024-03-06,10.23,10.24,10.0,10.03,1059600
2024-03-07,10.1,10.24,9.99,10.23,906000
2024-03-08,10.3,10.385,10.155,10.2,796400
2024-03-11,10.05,10.41,10.05,10.36,1302800
2024-03-12,10.4,10.58,10.34,10.4,1139000
2024-03-13,10.4,10.49,10.29,10.39,1218600
2024-03-14,10.42,10.47,10.19,10.45,1080200
2024-03-15,10.28,10.44,10.129,10.31,1937700
2024-03-18,10.36,10.58,10.28,10.55,1118000
2024-03-19,10.52,10.82,10.46,10.82,1195700
2024-03-20,10.83,11.26,10.78,11.22,2466600
2024-03-21,11.35,11.55,11.085,11.12,2357400
2024-03-22,11.16,11.22,10.94,11.05,1408500
2024-03-25,10.95,11.08,10.91,11.02,806900
2024-03-26,11.13,11.165,10.8,10.81,750500
2024-03-27,10.92,10.99,10.73,10.93,862800
2024-03-28,10.95,11.11,10.81,10.93,1167000
2024-04-01,10.92,10.92,10.71,10.81,1199200
2024-04-02,10.65,10.65,10.3,10.45,1135700
2024-04-03,10.53,10.73,10.46,10.53,1188300
2024-04-04,11.695,12.445,11.4,11.93,6177500
2024-04-05,12.17,12.43,11.86,12.23,3350900
2024-04-08,12.35,12.45,11.98,12.04,1394800
2024-04-09,12.08,12.145,11.995,12.05,1137000
2024-04-10,11.69,12.06,11.56,11.98,1209300
2024-04-11,12.03,12.2,11.87,12.18,1503700
2024-04-12,12.07,12.15,11.9,11.96,1225300
2024-04-15,11.98,12.08,11.34,11.46,1464200
2024-04-16,11.35,11.815,11.235,11.68,999900
2024-04-17,11.73,11.895,11.69,11.85,1535200
2024-04-18,11.8,11.86,11.64,11.66,1642200
2024-04-19,11.69,11.95,11.57,11.7,1731700
2024-04-22,11.73,11.87,11.57,11.86,1329900
2024-04-23,11.93,12.19,11.83,12.12,1659900
2024-04-24,12.1,12.31,12.05,12.28,1876100
2024-04-25,12.01,12.45,11.86,12.45,1719700
2024-04-26,12.45,12.91,12.41,12.89,2549600
2024-04-29,12.92,12.99,12.485,12.64,2228400
2024-04-30,12.56,12.57,12.32,12.36,1314200
2024-05-01,12.37,12.91,12.26,12.6,1648100
2024-05-02,12.6,12.735,12.36,12.61,1774500
2024-05-03,12.86,12.87,12.575,12.82,1147100
2024-05-06,12.86,13.11,12.86,13.0,2723200
2024-05-07,15.55,15.9,14.9,15.38,9171200
2024-05-08,15.34,15.78,15.02,15.57,4134400
2024-05-09,15.5,15.89,15.34,15.8,3355100
2024-05-10,15.79,15.92,15.44,15.8,3464200
2024-05-13,15.91,16.09,15.64,15.78,2473500
2024-05-14,15.99,16.52,15.9,16.3,2964200
2024-05-15,16.57,17.040001,16.42,17.02,3526500
2024-05-16,17.0,17.24,16.82,17.1,2193200
2024-05-17,17.15,17.49,17.12,17.42,1696800
2024-05-20,17.45,17.715,17.34,17.62,1562100
2024-05-21,18.33,18.5,17.88,18.24,3884000
2024-05-22,18.11,18.58,18.1,18.14,1606400
2024-05-23,16.72,17.46,16.39,17.15,6312100
2024-05-24,17.16,17.39,16.94,17.25,1789300
2024-05-28,17.35,17.69,16.94,17.0,2826500
2024-05-29,16.86,17.21,16.74,17.13,1785400
2024-05-30,17.02,17.12,16.29,16.46,3069000
2024-05-31,16.49,16.67,16.07,16.33,1882500
2024-06-03,16.52,16.59,15.862,15.96,2190000
2024-06-04,15.96,16.01,15.52,15.65,1879300
2024-06-05,15.98,16.62,15.81,16.54,1840400
2024-06-06,16.52,17.049999,16.38,16.38,1405000
2024-06-07,16.34,16.92,16.15,16.73,1853100
2024-06-10,16.5,16.725,16.36,16.37,2119600
2024-06-11,16.35,16.77,16.19,16.5,1403500
2024-06-12,16.95,17.58,16.72,17.38,2872400
2024-06-13,17.22,17.35,16.42,16.43,1930200
2024-06-14,16.24,16.52,15.91,16.040001,1838800
2024-06-17,16.19,16.355,15.97,16.07,1539900
2024-06-18,15.48,15.87,15.45,15.6,2943300
2024-06-20,15.61,15.72,15.31,15.45,2164300
2024-06-21,15.38,15.62,15.06,15.62,3045700
2024-06-24,16.02,16.12,15.64,15.96,2251200
2024-06-25,16.2,16.45,16.07,16.41,2506200
2024-06-26,16.37,16.88,16.3,16.42,5121900
2024-06-27,16.43,17.5,16.43,17.32,4224800
2024-06-28,17.35,17.69,17.16,17.65,6449800
2024-07-01,17.7,18.22,17.6,18.2,2554000
2024-07-02,18.1,18.1,17.4,17.44,2533000
2024-07-03,17.51,17.704,17.35,17.4,1043000
2024-07-05,17.45,17.835,17.35,17.4,1650100
2024-07-08,17.3,17.3,16.3,17.12,2934600
2024-07-09,17.63,17.75,16.94,16.95,1824300
2024-07-10,17.040001,17.148,16.41,16.61,1908700
2024-07-11,16.88,17.28,16.79,17.25,1958600
2024-07-12,17.4,18.059999,17.36,17.66,2489900
2024-07-15,18.37,19.21,18.33,19.15,5923300
2024-07-16,19.25,20.18,19.25,20.17,3862800
2024-07-17,20.8,20.99,19.58,20.27,4245100
2024-07-18,20.64,20.78,19.694,20.28,4042600
2024-07-19,20.45,20.9,20.204,20.55,2558700
