DateTime,Open,High,Low,Close,Volume
2019-04-22,61.0,68.9,59.94,65.7,9949700
2019-04-23,66.87,74.169,65.55,69.0,6786500
2019-04-24,71.4,71.5,63.16,63.2,4973500
2019-04-25,64.74,66.85,62.6,65.0,3863300
2019-04-26,66.12,66.99,63.6,66.22,1527400
2019-04-29,66.53,68.5,64.75,68.17,1822300
2019-04-30,68.4,72.52,66.67,72.47,4113100
2019-05-01,72.72,76.95,70.816,72.76,3301900
2019-05-02,72.75,75.89,69.691,75.5,2525300
2019-05-03,75.0,80.25,75.0,79.18,2590300
2019-05-06,75.01,80.79,74.5,78.24,2051800
2019-05-07,77.85,78.05,73.25,73.33,1975200
2019-05-08,74.61,78.5,74.03,77.68,2265500
2019-05-09,76.85,76.99,74.0,75.21,1348200
2019-05-10,75.79,79.74,74.77,79.63,1555100
2019-05-13,77.39,77.39,70.6,72.54,2873200
2019-05-14,74.12,76.885,73.11,73.14,1950400
2019-05-15,73.4,80.0,72.21,79.76,2426500
2019-05-16,80.12,87.55,79.25,83.4,4580700
2019-05-17,82.25,90.28,81.88,89.98,3442500
2019-05-20,90.1,91.46,83.27,84.67,3666800
2019-05-21,86.63,89.7,84.5,85.44,2576000
2019-05-22,84.63,85.7,82.0,82.43,1596400
2019-05-23,81.25,81.5,77.26,78.76,2856000
2019-05-24,80.48,81.25,74.2,76.25,2946800
2019-05-28,76.8,79.39,76.8,77.77,1641300
2019-05-29,77.0,77.93,73.583,75.77,1512100
2019-05-30,76.68,80.97,76.6,80.42,1996000
2019-05-31,78.77,83.17,77.78,79.73,1594300
2019-06-03,80.0,81.94,75.65,75.9,1570500
2019-06-04,78.2,78.88,76.62,78.74,1134900
2019-06-05,80.14,80.6,76.24,78.04,1295800
2019-06-06,77.4,79.75,77.03,79.43,3024000
2019-06-07,93.66,98.89,92.5,94.05,9487800
2019-06-10,98.51,105.985,96.0,102.0,4852800
2019-06-11,101.0,101.2,91.57,94.87,4372400
2019-06-12,94.6,104.185,94.0,102.77,3156900
2019-06-13,105.1,105.172,98.55,100.95,3189100
2019-06-14,100.47,104.57,99.25,100.29,1889300
2019-06-17,101.0,102.447,97.0,98.11,2128500
2019-06-18,100.39,102.0,97.51,99.64,2272400
2019-06-19,100.49,104.445,98.63,102.39,2592700
2019-06-20,105.01,107.34,101.621,102.3,2460700
2019-06-21,101.42,101.532,97.82,100.47,2972500
2019-06-24,100.85,101.5,88.88,89.41,6011200
2019-06-25,89.43,91.5,84.63,85.03,3744500
2019-06-26,87.92,89.08,84.605,86.33,2680000
2019-06-27,89.7,92.33,87.8,90.27,3019500
2019-06-28,91.76,92.2,87.25,88.79,3228300
2019-07-01,85.13,87.79,83.1,86.86,5306600
2019-07-02,86.27,86.85,84.0,85.13,1866000
2019-07-03,85.45,90.6,84.51,90.45,2706100
2019-07-05,90.14,91.97,88.0,91.88,2582700
2019-07-08,91.44,92.79,89.89,90.76,1793300
2019-07-09,90.27,91.27,89.1,90.93,1557400
2019-07-10,91.76,93.45,91.55,92.72,2059300
2019-07-11,92.9,93.2,90.452,91.4,1784600
2019-07-12,93.01,94.93,91.37,93.3,2689700
2019-07-15,94.0,100.65,93.78,99.8,3835600
2019-07-16,100.14,100.5,96.5,97.1,2120100
2019-07-17,97.62,101.987,97.54,99.73,2314100
2019-07-18,99.24,99.5,95.016,95.19,1948800
2019-07-19,97.15,97.79,92.88,93.38,1747700
2019-07-22,94.19,97.465,93.505,96.67,1483000
2019-07-23,97.5,98.15,93.52,97.39,2241700
2019-07-24,97.12,97.88,94.685,95.94,1283700
