DateTime,Open,High,Low,Close,Volume
2022-11-16,144.66,146.14,139.375,140.35001,1545200
2022-11-17,134.63,139.47,133.63,136.75,1751500
2022-11-18,142.99001,142.99001,137.020004,138.73,1736500
2022-11-21,136.88,139.39999,134.895,135.92,1242000
2022-11-22,134.67999,137.33,131.60001,136.75999,1203000
2022-11-23,137.39999,141.10001,133.78999,140.080002,1349400
2022-11-25,138.42999,139.463,136.36,138.75,603300
2022-11-28,137.62,139.39,135.42,136.72,1515000
2022-11-29,136.64999,137.56,133.61,134.85001,1906300
2022-11-30,126.99,133.53,122.13,133.45,5204100
2022-12-01,135.64,144.87,134.50999,144.5,7077700
2022-12-02,127.29,132.62,126.4,128.99001,9665100
2022-12-05,128.69,130.98,119.0,120.79,4946600
2022-12-06,121.5,121.96,115.35,115.97,3230700
2022-12-07,115.97,117.0,111.475,114.24,3162600
2022-12-08,114.31,119.61,112.22,119.53,2577300
2022-12-09,118.28,120.38,116.8,117.21,1678800
2022-12-12,117.62,122.25,117.62,121.24,1957000
2022-12-13,128.42,129.87,120.85,123.76,2602300
2022-12-14,123.29,126.91,121.395,123.14,1959300
2022-12-15,120.0,124.48,117.12,117.17,2578400
2022-12-16,115.51,117.16,112.55,114.21,3000200
2022-12-19,113.41,113.96,110.46,112.27,2202900
2022-12-20,110.82,113.97,109.4,113.54,1692700
2022-12-21,112.9,114.47,108.59,112.77,2337300
2022-12-22,110.0,110.95,107.11,109.36,1859400
2022-12-23,108.050003,109.11,106.24,108.78,1467700
2022-12-27,107.34,109.34,105.9,107.57,1689200
2022-12-28,107.85,109.83,105.74,107.86,1749200
2022-12-29,109.35,112.81,108.0,111.87,1773600
2022-12-30,109.83,112.19,109.4,111.9,1556400
2023-01-03,114.72,116.67,108.18,110.19,2510900
2023-01-04,111.93,114.080002,108.93,111.59,1617000
2023-01-05,109.42,109.965,104.0,104.39,3931100
2023-01-06,105.22,105.365,100.96,103.96,2613100
2023-01-09,106.11,109.686,104.5,104.75,2961300
2023-01-10,102.47,105.58,101.099998,104.97,2912500
2023-01-11,105.56,108.3,103.4,108.050003,2376800
2023-01-12,103.73,105.080002,99.64,104.66,5220700
2023-01-13,102.61,107.59,102.61,107.3,3053700
2023-01-17,105.19,115.010002,104.34,113.51,4049800
2023-01-18,115.41,118.89,112.645,113.029999,3122800
2023-01-19,111.21,112.99,108.7,110.37,1896900
2023-01-20,111.25,117.26,110.4,117.12,2579400
2023-01-23,117.71,124.44,117.28,123.76,2922900
2023-01-24,122.019997,126.425,121.8,122.65,1382500
2023-01-25,119.66,120.12,114.37,119.91,2570200
2023-01-26,122.91,125.28,120.64,125.19,2301100
2023-01-27,123.87,128.925,123.07,127.52,2962800
2023-01-30,125.13,126.07,122.4,122.6,2607900
2023-01-31,122.73,124.92,121.47,124.16,2087800
2023-02-01,125.050003,131.91,123.91,131.52,2453400
2023-02-02,136.21001,142.41,135.85001,141.35001,3471700
2023-02-03,135.8,138.81,133.14,134.99001,3066900
2023-02-06,133.112,137.10001,132.39,133.050003,2014400
2023-02-07,132.81,138.50301,130.36,138.059998,1935800
2023-02-08,142.57001,143.63,137.46001,137.63,1695100
2023-02-09,140.10001,143.35001,139.0099945,139.059998,2238400
2023-02-10,136.56,137.41499,131.92999,133.87,1862000
2023-02-13,134.67,135.41,131.070007,133.87,1349600
2023-02-14,132.23,138.5,131.070007,136.19,1563300
2023-02-15,136.57001,143.020004,136.25,142.77,1770200
2023-02-16,138.10001,138.505,132.89999,132.92999,3620400
2023-02-17,132.039993,132.5,127.9,132.35001,2066200
2023-02-21,130.21001,131.35001,127.342,127.84,1502200
2023-02-22,131.10001,133.45,129.60001,132.16,1886000
2023-02-23,134.0,134.425,130.71001,133.5,1437000
2023-02-24,130.080002,132.49001,129.56,130.88,1659300
2023-02-27,133.12,135.16,131.48,131.84,1294700
2023-02-28,131.16,133.16,130.0,131.14999,2240300
2023-03-01,131.14999,131.7,126.5,128.44,1756400
2023-03-02,129.92999,134.74001,128.92,134.13,5529000
2023-03-03,119.5,122.47,116.6,119.24,12153800
2023-03-06,120.69,125.75,119.51,119.81,5783600
2023-03-07,119.7,122.17,117.38,117.88,3749300
2023-03-08,117.029999,118.69,113.86,114.95,3398100
2023-03-09,114.29,117.18,110.22,110.45,3317900
2023-03-10,110.0,110.85,104.36,105.45,3647900
2023-03-13,105.55,111.51,103.54,109.86,3334400
2023-03-14,111.52,111.75,107.0,107.97,2693300
2023-03-15,107.22,108.25,105.14,107.67,2287700
2023-03-16,106.35,108.59,105.33,108.13,2997100
2023-03-17,107.77,108.28,104.242,105.49,2705600
2023-03-20,104.62,105.86,102.62,105.46,2194700
2023-03-21,105.95,114.19,105.95,113.019997,3787900
2023-03-22,113.019997,113.76,108.8,108.86,2009200
2023-03-23,111.099998,113.74,110.283,112.56,1836100
2023-03-24,112.17,113.059998,110.53,111.93,1788200
2023-03-27,113.16,115.0,111.6,111.87,1715000
2023-03-28,111.76,112.715,109.39,110.25,1327700
2023-03-29,111.81,112.019997,108.75,110.7,1923800
2023-03-30,112.9,113.82,110.82,112.22,1282800
2023-03-31,112.9,117.78,112.48,116.83,1896300
2023-04-03,115.61,116.14,112.080002,112.9,1865600
2023-04-04,113.13,113.31,109.96,110.51,2289700
2023-04-05,108.5,108.5,99.91,101.3,5590200
2023-04-06,100.66,103.92,98.71,103.74,2865900
2023-04-10,102.46,106.708,100.081001,104.95,2559200
2023-04-11,104.33,106.035004,103.779,105.96,2153300
2023-04-12,108.21,108.76,104.79,105.87,2993100
2023-04-13,107.010002,109.9,107.010002,107.39,2108100
2023-04-14,106.099998,107.0,103.677,105.45,2260200
2023-04-17,105.49,105.8,103.16,105.59,1653700
2023-04-18,107.12,107.37,103.44,103.56,2108100
2023-04-19,102.0,103.83,101.56,102.96,1694200
2023-04-20,101.34,101.9,99.75,100.49,2630400
2023-04-21,100.65,102.25,99.521,101.71,1977100
2023-04-24,101.82,102.765,99.29,100.66,1691600
2023-04-25,98.099998,98.24,92.27,92.32,4814500
2023-04-26,93.73,94.95,92.58,93.07,2294000
2023-04-27,94.2,94.67,92.36,93.42,2011400
2023-04-28,91.17,92.37,87.78,90.099998,4304300
2023-05-01,89.48,89.48,87.35,88.74,3218400
2023-05-02,86.6,88.38,84.93,87.0,5006600
2023-05-03,86.53,88.5,85.7,87.37,2743400
2023-05-04,88.099998,89.21,86.925,87.74,2006500
2023-05-05,89.019997,91.61,89.0,89.46,3333800
2023-05-08,107.49,109.9,103.62,107.92,14225300
2023-05-09,108.79,114.45,108.32,110.044998,6070300
2023-05-10,111.56,119.71,111.27,116.79,6938600
2023-05-11,117.54,118.84,114.25,115.42,3060400
2023-05-12,114.92,116.85,113.16,114.33,2430100
2023-05-15,114.6,121.79,114.5,120.81,3947600
2023-05-16,119.78,120.63,118.31,118.35,2030400
2023-05-17,119.07,119.185,116.875,118.77,2315600
2023-05-18,118.91,124.15,118.162,123.96,2447300
2023-05-19,123.94,126.67,123.5,125.27,2475500
2023-05-22,125.55,130.87,125.14,128.86,2513900
2023-05-23,127.5,130.0,124.39,124.47,2988200
2023-05-24,124.099998,128.185,123.21,126.53,2704500
2023-05-25,128.0099945,128.56,125.245,126.69,1899600
2023-05-26,126.76,134.82001,126.010002,130.62,2740100
2023-05-30,134.56,137.64999,133.52,134.72,2669700
2023-05-31,133.73,136.0099945,131.57001,135.48,4069900
2023-06-01,131.92,137.5,128.12,135.089996,4506800
2023-06-02,141.8,147.58,140.162,142.39,8015400
2023-06-05,142.27499,149.58,140.55,148.050003,3836000
2023-06-06,147.92999,153.55,147.082993,152.99001,3536800
2023-06-07,154.91,155.33,143.35001,144.92,3660600
2023-06-08,146.41,151.5,146.17,148.82001,2849300
2023-06-09,150.81,153.89999,149.235,150.84,2720600
2023-06-12,152.12,156.024994,150.47,155.98,2220000
2023-06-13,158.78999,159.86,154.39999,157.59,2545900
2023-06-14,157.0,159.25,154.75999,157.55,1932400
2023-06-15,155.089996,160.020004,154.565,158.34,2174000
2023-06-16,160.23,162.67,153.66,154.0099945,3207500
2023-06-20,152.11,155.0,147.085007,148.66,2575400
2023-06-21,148.66,148.91,143.37,144.85001,2386400
2023-06-22,144.3,146.44,142.78999,144.84,1425700
2023-06-23,142.55,143.89999,141.82001,142.7,1498100
2023-06-26,142.0,145.37,140.349,141.71001,1197200
2023-06-27,142.69,145.711,140.59,144.66,1641300
2023-06-28,143.96001,148.2,142.72,144.11,1841100
2023-06-29,144.82001,145.44,142.592,144.84,1212500
2023-06-30,146.46001,150.10201,146.17999,146.3,1373700
2023-07-03,146.42999,147.61,145.19501,146.59,720500
2023-07-05,145.94,148.050003,144.33,146.97,920300
2023-07-06,143.77,143.77,138.60001,141.74001,2491000
2023-07-07,142.37,144.0099945,141.42,143.17999,1718800
2023-07-10,143.27,154.34,143.17999,154.27,4102800
2023-07-11,155.0,156.205,147.35001,147.39,4015800
2023-07-12,151.36,151.7,136.44,137.67999,7991700
2023-07-13,139.13,145.89999,139.089996,145.14,4037700
2023-07-14,145.089996,148.87,144.38,145.42999,2495900
2023-07-17,145.42999,153.0,145.375,151.82001,2328000
2023-07-18,151.75,156.67999,150.44,154.81,2188000
2023-07-19,156.44,163.13499,155.92999,161.039993,3362700
2023-07-20,158.22,158.82001,146.64999,147.89999,4150500
2023-07-21,149.78999,152.070007,146.257,149.0099945,4005900
2023-07-24,149.24001,149.94,144.35001,148.33,1567100
2023-07-25,153.83,156.375,151.10001,155.21001,2895500
2023-07-26,153.67999,158.64999,153.10001,156.62,1848100
2023-07-27,159.535,160.82001,154.56,155.25,1862500
2023-07-28,157.84,159.82001,156.13,157.49001,1215900
2023-07-31,158.23,162.50999,158.23,160.38,1502200
2023-08-01,159.0,164.28999,156.35001,162.8,1796600
2023-08-02,159.0,159.0099945,148.33,150.53999,3135900
2023-08-03,150.0,152.405,149.089996,150.77,1500400
2023-08-04,147.72,149.0,142.31,146.16,3200100
2023-08-07,146.0,146.28999,142.054993,145.34,1810700
2023-08-08,141.66,141.66,137.024994,138.69,2532100
2023-08-09,138.50999,141.75,136.821,140.3,1619000
2023-08-10,143.029999,146.88,142.24001,144.3,1886400
2023-08-11,142.66,146.0,142.50999,142.95,1101000
2023-08-14,142.37,145.27,141.59,144.91,1075600
