days,ema10_adh,ema20_adh,sma50_touches,days_below_50,worst_dd_pct,pct_days_u10,adr_mean,move_key,symbol,year,gain_pct,low_date,high_date,label,history_bars_before_move
35,80.0,82.86,0,0,-44.31,94.29,18.72,ACGN_2000,ACGN,2000,714.76,2000-01-06,2000-02-25,,3
105,76.19,83.81,7,13,-37.74,52.38,8.61,BBRY_2000,BBRY,2000,470.7,2000-05-26,2000-10-24,,101
108,66.67,64.81,11,47,-51.69,73.15,13.29,BCSI_2000,BCSI,2000,497.7,2000-04-17,2000-09-26,,71
201,69.15,75.12,15,40,-55.23,67.66,9.1,CIEN_2000,CIEN,2000,565.56,2000-01-06,2000-10-20,,2
202,67.33,70.3,5,45,-77.95,88.12,11.58,CTIC_2000,CTIC,2000,1358.53,2000-01-05,2000-10-20,,2
49,71.43,85.71,0,0,-40.15,83.67,13.08,ELON_2000,ELON,2000,622.97,2000-01-04,2000-03-14,,1
166,58.43,59.04,6,59,-61.97,70.48,11.87,ELX_2000,ELX,2000,419.72,2000-04-17,2000-12-11,,73
101,76.24,86.14,1,6,-25.81,42.57,9.2,EXTR_2000,EXTR,2000,508.26,2000-05-25,2000-10-17,,99
43,83.72,88.37,0,0,-36.61,46.51,12.44,PDLI_2000,PDLI,2000,492.98,2000-01-05,2000-03-07,,2
105,76.19,84.76,7,13,-37.87,52.38,8.63,RIMM_2000,RIMM,2000,470.71,2000-05-26,2000-10-24,,101
40,95.0,100.0,0,0,-30.22,82.5,15.86,SCON_2000,SCON,2000,2472.64,2000-01-03,2000-02-29,,0
52,88.46,92.31,0,0,-36.64,67.31,12.36,SONS_2000,SONS,2000,778.17,2000-05-25,2000-08-08,,0
35,62.86,74.29,0,0,-80.0,85.71,31.59,SSC_2000,SSC,2000,1300.0,2000-02-01,2000-03-30,,3
164,71.34,77.44,7,18,-49.93,59.15,10.08,VIAS_2000,VIAS,2000,675.0,2000-01-04,2000-08-25,,1
35,62.86,74.29,0,0,-80.0,85.71,31.59,WCST_2000,WCST,2000,1300.0,2000-02-01,2000-03-30,,3
228,55.26,54.82,29,98,-52.38,91.23,12.12,ACGN_2001,ACGN,2001,390.24,2001-01-02,2001-12-11,,251
54,74.07,75.93,2,13,-24.95,50.0,11.33,ARBA_2001,ARBA,2001,416.2,2001-09-27,2001-12-12,,434
20,90.0,70.0,0,10,-28.81,65.0,16.07,AVTA_2001,AVTA,2001,261.6,2001-04-04,2001-05-02,,316
64,85.94,90.62,1,10,-23.51,26.56,10.1,ELX_2001,ELX,2001,405.24,2001-09-27,2001-12-27,,434
43,69.77,65.12,1,27,-29.34,44.19,13.07,EXTR_2001,EXTR,2001,233.85,2001-09-27,2001-11-27,,433
86,67.44,69.77,9,25,-35.33,74.42,9.84,FDRY_2001,FDRY,2001,278.96,2001-03-30,2001-08-01,,313
38,81.58,78.95,4,13,-24.29,60.53,14.41,GECXU_2001,GECXU,2001,247.15,2001-04-03,2001-05-25,,315
30,73.33,63.33,2,16,-22.59,50.0,14.35,LVLT_2001,LVLT,2001,313.76,2001-10-05,2001-11-15,,440
59,74.58,88.14,2,14,-22.41,55.93,10.26,NTAP_2001,NTAP,2001,308.83,2001-09-27,2001-12-19,,433
38,81.58,78.95,4,13,-24.29,60.53,14.39,OPWV_2001,OPWV,2001,247.15,2001-04-03,2001-05-25,,315
9,44.44,22.22,0,8,-31.82,33.33,12.98,OSAT_2001,OSAT,2001,277.05,2001-10-19,2001-11-01,,133
170,58.82,66.47,10,61,-38.56,67.06,7.92,PLCM_2001,PLCM,2001,296.25,2001-03-30,2001-12-05,,313
61,70.49,80.33,2,10,-25.82,63.93,11.14,QLGC_2001,QLGC,2001,271.43,2001-04-04,2001-06-29,,316
34,76.47,85.29,1,5,-22.3,47.06,12.13,RFMD_2001,RFMD,2001,328.57,2001-04-04,2001-05-22,,316
20,90.0,75.0,0,7,-30.77,70.0,18.18,SCON_2001,SCON,2001,247.92,2001-01-03,2001-01-31,,253
51,49.02,25.49,3,37,-27.68,78.43,14.87,SONS_2001,SONS,2001,270.35,2001-09-27,2001-12-07,,334
38,81.58,78.95,4,13,-24.26,60.53,14.34,UPIP_2001,UPIP,2001,243.46,2001-04-03,2001-05-25,,315
53,83.02,75.47,1,16,-13.64,9.43,6.47,ACF_2002,ACF,2002,153.68,2002-02-06,2002-04-23,,524
39,74.36,69.23,6,20,-24.76,41.03,9.32,AMD_2002,AMD,2002,209.68,2002-10-08,2002-12-02,,692
40,70.0,70.0,4,14,-20.32,45.0,10.77,CIEN_2002,CIEN,2002,195.85,2002-10-07,2002-12-02,,691
37,78.38,75.68,2,15,-23.01,27.03,8.76,ELX_2002,ELX,2002,232.36,2002-10-04,2002-11-25,,691
39,89.74,84.62,1,12,-23.13,30.77,11.16,GLW_2002,GLW,2002,354.55,2002-10-08,2002-12-02,,692
242,58.26,61.98,40,91,-53.76,56.61,5.46,HAL_2002,HAL,2002,167.44,2002-01-04,2002-12-18,,501
91,64.84,65.93,13,39,-35.5,73.63,7.48,JCI_2002,JCI,2002,167.91,2002-07-25,2002-12-02,,640
38,78.95,81.58,2,9,-21.78,39.47,8.57,LRCX_2002,LRCX,2002,161.09,2002-10-08,2002-11-29,,692
35,82.86,80.0,0,9,-21.81,42.86,9.15,NTAP_2002,NTAP,2002,187.07,2002-10-08,2002-11-25,,692
4,75.0,75.0,1,3,-43.48,25.0,6.27,OSAT_2002,OSAT,2002,208.33,2002-09-10,2002-09-16,,244
34,67.65,73.53,2,18,-29.69,61.76,12.72,PMCS_2002,PMCS,2002,240.74,2002-10-09,2002-11-25,,694
84,61.9,60.71,6,34,-39.98,64.29,9.02,RFMD_2002,RFMD,2002,161.68,2002-08-05,2002-12-02,,648
31,74.19,67.74,2,12,-23.71,58.06,14.97,SANM_2002,SANM,2002,241.45,2002-10-16,2002-11-27,,698
35,74.29,80.0,2,14,-15.9,42.86,9.31,TYC_2002,TYC,2002,174.98,2002-07-25,2002-09-12,,641
34,85.29,88.24,2,5,-22.3,47.06,8.92,VRSN_2002,VRSN,2002,181.38,2002-10-09,2002-11-25,,693
5,40.0,20.0,0,5,-36.68,100.0,26.63,WMB_2002,WMB,2002,451.25,2002-07-26,2002-08-01,,641
199,66.83,80.9,9,8,-42.86,47.24,6.44,ADYX_2003,ADYX,2003,1303.7,2003-01-08,2003-12-10,,28
191,68.06,72.25,19,48,-31.28,48.17,4.43,AMD_2003,AMD,2003,287.03,2003-02-13,2003-11-13,,780
201,79.6,86.57,22,10,-19.75,10.95,4.14,BBRY_2003,BBRY,2003,559.39,2003-03-12,2003-12-24,,799
159,68.55,77.36,5,31,-32.9,29.56,4.43,BRCM_2003,BRCM,2003,217.81,2003-04-01,2003-11-13,,813
216,69.91,83.33,22,12,-27.97,25.46,4.9,GLW_2003,GLW,2003,269.46,2003-01-02,2003-11-07,,751
150,81.33,90.0,2,8,-23.54,34.67,7.49,NTES_2003,NTES,2003,612.87,2003-03-10,2003-10-09,,291
80,61.25,70.0,8,19,-65.08,93.75,7.05,OSAT_2003,OSAT,2003,483.33,2003-01-06,2003-07-30,,281
215,73.49,82.79,8,17,-19.58,22.33,5.6,OVTI_2003,OVTI,2003,433.43,2003-01-27,2003-12-01,,634
192,68.23,77.6,18,37,-29.02,31.25,5.37,PMCS_2003,PMCS,2003,391.59,2003-02-13,2003-11-14,,781
201,79.1,86.57,21,10,-19.7,10.95,4.15,RIMM_2003,RIMM,2003,559.39,2003-03-12,2003-12-24,,799
170,68.24,77.06,14,27,-40.37,64.71,9.62,SCON_2003,SCON,2003,920.0,2003-04-01,2003-12-01,,813
105,85.71,86.67,3,8,-27.82,30.48,8.3,SOHU_2003,SOHU,2003,611.48,2003-02-13,2003-07-15,,647
173,84.97,90.17,8,18,-13.4,5.2,4.17,STX_2003,STX,2003,302.96,2003-02-10,2003-10-15,,39
252,73.02,83.73,10,4,-28.9,37.3,6.33,XMSR_2003,XMSR,2003,1037.5,2003-01-02,2003-12-31,,753
229,69.43,79.48,46,22,-14.72,9.61,3.09,AAPL_2004,AAPL,2004,228.48,2004-01-02,2004-11-29,,1003
251,60.96,67.73,7,71,-59.97,76.1,7.21,AAXN_2004,AAXN,2004,386.66,2004-01-02,2004-12-30,,639
131,54.96,57.25,24,65,-37.18,70.99,5.56,ADYX_2004,ADYX,2004,294.22,2004-06-18,2004-12-22,,356
250,79.2,88.4,26,11,-11.26,2.4,3.33,AEO_2004,AEO,2004,201.7,2004-01-05,2004-12-30,,1004
